"split","model","aggregation","n_patients","n_early","n_advanced","auroc"
"test","Deterministic EM-MMIL","q99_prob",11,5,6,0.866666666666667
"test","Deterministic EM-MMIL","mean_prob",11,5,6,0.833333333333333
"test","Deterministic EM-MMIL","q90_prob",11,5,6,0.8
"test","Deterministic EM-MMIL","prop_gt_0.5",11,5,6,0.783333333333333
"test","Deterministic EM-MMIL","median_prob",11,5,6,0.733333333333333
"test","Deterministic EM-MMIL","prop_gt_0.9",11,5,6,0.7
"test","MCEM-MMIL","q99_prob",11,5,6,0.866666666666667
"test","MCEM-MMIL","mean_prob",11,5,6,0.833333333333333
"test","MCEM-MMIL","q90_prob",11,5,6,0.8
"test","MCEM-MMIL","prop_gt_0.5",11,5,6,0.783333333333333
"test","MCEM-MMIL","median_prob",11,5,6,0.733333333333333
"test","MCEM-MMIL","prop_gt_0.9",11,5,6,0.7
"test","Naive inherited-label classifier","q99_prob",11,5,6,0.9
"test","Naive inherited-label classifier","prop_gt_0.5",11,5,6,0.866666666666667
"test","Naive inherited-label classifier","mean_prob",11,5,6,0.833333333333333
"test","Naive inherited-label classifier","q90_prob",11,5,6,0.833333333333333
"test","Naive inherited-label classifier","median_prob",11,5,6,0.833333333333333
"test","Naive inherited-label classifier","prop_gt_0.9",11,5,6,0.783333333333333
"train","Deterministic EM-MMIL","mean_prob",33,15,18,0.922222222222222
"train","Deterministic EM-MMIL","q90_prob",33,15,18,0.911111111111111
"train","Deterministic EM-MMIL","prop_gt_0.5",33,15,18,0.862962962962963
"train","Deterministic EM-MMIL","q99_prob",33,15,18,0.855555555555556
"train","Deterministic EM-MMIL","median_prob",33,15,18,0.814814814814815
"train","Deterministic EM-MMIL","prop_gt_0.9",33,15,18,0.759259259259259
"train","MCEM-MMIL","mean_prob",33,15,18,0.918518518518519
"train","MCEM-MMIL","q90_prob",33,15,18,0.907407407407407
"train","MCEM-MMIL","prop_gt_0.5",33,15,18,0.87037037037037
"train","MCEM-MMIL","q99_prob",33,15,18,0.851851851851852
"train","MCEM-MMIL","median_prob",33,15,18,0.822222222222222
"train","MCEM-MMIL","prop_gt_0.9",33,15,18,0.759259259259259
"train","Naive inherited-label classifier","prop_gt_0.5",33,15,18,0.959259259259259
"train","Naive inherited-label classifier","mean_prob",33,15,18,0.944444444444444
"train","Naive inherited-label classifier","median_prob",33,15,18,0.903703703703704
"train","Naive inherited-label classifier","prop_gt_0.9",33,15,18,0.888888888888889
"train","Naive inherited-label classifier","q90_prob",33,15,18,0.881481481481481
"train","Naive inherited-label classifier","q99_prob",33,15,18,0.82962962962963
