"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.835625878952034,1,0.333333333333333
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.569595763351047,0.651296829971182,0.00864553314121038
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.0785353814469913,0.0114503816793893,0
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,0.0661309038984109,0,0
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.0653076216330416,0,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.0563157975066668,0,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.0416675649352344,0,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.0406284924021381,0,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.035951884268685,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.26315448893473,0.101123595505618,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.0711827574184054,0,0
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.0489276456700114,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.0473575968706872,0,0
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.0424648908938369,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.0409850050650727,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.0402496896090499,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.0380359322145969,0,0
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.0293302673633916,0,0
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.837082978621074,1,0.333333333333333
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.567085218335144,0.659942363112392,0.00864553314121038
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.0748444663330889,0.0114503816793893,0
"test","MCEM-MMIL","Advanced","NK cells",51,0.0664560257383749,0,0
"test","MCEM-MMIL","Advanced","Fibroblasts",3,0.0632505893472096,0,0
"test","MCEM-MMIL","Advanced","Undetermined",4,0.0574747285752335,0,0
"test","MCEM-MMIL","Advanced","T lymphocytes",392,0.0418978239075135,0,0
"test","MCEM-MMIL","Advanced","MAST cells",1,0.0416975002211997,0,0
"test","MCEM-MMIL","Advanced","B lymphocytes",189,0.0368992041862897,0,0
"test","MCEM-MMIL","Early","Epithelial cells",89,0.250919525079696,0.101123595505618,0
"test","MCEM-MMIL","Early","Fibroblasts",8,0.070422513242814,0,0
"test","MCEM-MMIL","Early","NK cells",50,0.0479884994966894,0,0
"test","MCEM-MMIL","Early","Myeloid cells",95,0.0464346047659306,0,0
"test","MCEM-MMIL","Early","Endothelial cells",6,0.0418355561444805,0,0
"test","MCEM-MMIL","Early","Undetermined",1,0.0412489062977516,0,0
"test","MCEM-MMIL","Early","T lymphocytes",341,0.0398500002203624,0,0
"test","MCEM-MMIL","Early","B lymphocytes",78,0.0382001147099408,0,0
"test","MCEM-MMIL","Early","MAST cells",12,0.0305527859352299,0,0
"test","Naive inherited-label classifier","Advanced","Epithelial cells",347,0.904080428885976,1,0.674351585014409
"test","Naive inherited-label classifier","Advanced","Oligodendrocytes",6,0.865166138607036,1,0.166666666666667
"test","Naive inherited-label classifier","Advanced","Fibroblasts",3,0.793452466289903,1,0
"test","Naive inherited-label classifier","Advanced","Myeloid cells",262,0.760594456928062,0.988549618320611,0.0877862595419847
"test","Naive inherited-label classifier","Advanced","NK cells",51,0.670608096686352,1,0.0196078431372549
"test","Naive inherited-label classifier","Advanced","Undetermined",4,0.653416857693389,1,0
"test","Naive inherited-label classifier","Advanced","T lymphocytes",392,0.556808448260446,0.869897959183674,0.00510204081632653
"test","Naive inherited-label classifier","Advanced","MAST cells",1,0.537677725029855,1,0
"test","Naive inherited-label classifier","Advanced","B lymphocytes",189,0.510263884535946,0.486772486772487,0
"test","Naive inherited-label classifier","Early","Epithelial cells",89,0.75438836758256,0.898876404494382,0.101123595505618
"test","Naive inherited-label classifier","Early","Undetermined",1,0.607844063727989,1,0
"test","Naive inherited-label classifier","Early","NK cells",50,0.600507744702395,1,0
"test","Naive inherited-label classifier","Early","T lymphocytes",341,0.515493577449498,0.598240469208211,0.00293255131964809
"test","Naive inherited-label classifier","Early","B lymphocytes",78,0.492141060176126,0.320512820512821,0
"test","Naive inherited-label classifier","Early","Myeloid cells",95,0.464522811551755,0.6,0
"test","Naive inherited-label classifier","Early","MAST cells",12,0.450545683644839,0,0
"test","Naive inherited-label classifier","Early","Fibroblasts",8,0.420529378973307,0.25,0
"test","Naive inherited-label classifier","Early","Endothelial cells",6,0.377208307751954,0,0
"train","Deterministic EM-MMIL","Advanced","Oligodendrocytes",15,0.914965025496074,1,0.533333333333333
"train","Deterministic EM-MMIL","Advanced","Epithelial cells",979,0.691272347270224,0.744637385086823,0.349336057201226
"train","Deterministic EM-MMIL","Advanced","Myeloid cells",566,0.0917838631243712,0.00530035335689046,0
"train","Deterministic EM-MMIL","Advanced","Undetermined",13,0.0614117042950018,0,0
"train","Deterministic EM-MMIL","Advanced","NK cells",163,0.0531888903395775,0,0
"train","Deterministic EM-MMIL","Advanced","Fibroblasts",61,0.0482171985307567,0,0
"train","Deterministic EM-MMIL","Advanced","T lymphocytes",993,0.0446839112412656,0.00100704934541793,0
"train","Deterministic EM-MMIL","Advanced","B lymphocytes",346,0.0421912089169227,0,0
"train","Deterministic EM-MMIL","Advanced","Endothelial cells",3,0.0313054005561232,0,0
"train","Deterministic EM-MMIL","Advanced","MAST cells",26,0.0181249831279788,0,0
"train","Deterministic EM-MMIL","Early","Epithelial cells",105,0.300799142807516,0.295238095238095,0.019047619047619
"train","Deterministic EM-MMIL","Early","NK cells",94,0.0458276961987183,0,0
"train","Deterministic EM-MMIL","Early","Undetermined",9,0.0440882873406456,0,0
"train","Deterministic EM-MMIL","Early","Myeloid cells",401,0.0384705451802676,0,0
"train","Deterministic EM-MMIL","Early","T lymphocytes",853,0.0368420283037841,0,0
"train","Deterministic EM-MMIL","Early","B lymphocytes",324,0.0365534091446535,0,0
"train","Deterministic EM-MMIL","Early","MAST cells",45,0.0287276585387547,0,0
"train","Deterministic EM-MMIL","Early","Fibroblasts",36,0.0255486783964098,0,0
"train","Deterministic EM-MMIL","Early","Endothelial cells",33,0.0238789550744646,0,0
"train","MCEM-MMIL","Advanced","Oligodendrocytes",15,0.914692417546332,1,0.533333333333333
"train","MCEM-MMIL","Advanced","Epithelial cells",979,0.696132380481481,0.768130745658836,0.340143003064351
"train","MCEM-MMIL","Advanced","Myeloid cells",566,0.0861685388535954,0.00530035335689046,0
"train","MCEM-MMIL","Advanced","Undetermined",13,0.0635028456984377,0,0
"train","MCEM-MMIL","Advanced","NK cells",163,0.0543260040841719,0,0
"train","MCEM-MMIL","Advanced","Fibroblasts",61,0.0478431533167786,0,0
"train","MCEM-MMIL","Advanced","T lymphocytes",993,0.0442182612046922,0.00100704934541793,0
"train","MCEM-MMIL","Advanced","B lymphocytes",346,0.0417525202647915,0,0
"train","MCEM-MMIL","Advanced","Endothelial cells",3,0.031508524850933,0,0
"train","MCEM-MMIL","Advanced","MAST cells",26,0.0190122767987286,0,0
"train","MCEM-MMIL","Early","Epithelial cells",105,0.301211843924116,0.304761904761905,0.019047619047619
"train","MCEM-MMIL","Early","NK cells",94,0.0474576205064552,0,0
"train","MCEM-MMIL","Early","Undetermined",9,0.0453778724705739,0,0
"train","MCEM-MMIL","Early","Myeloid cells",401,0.0372047172244855,0,0
"train","MCEM-MMIL","Early","B lymphocytes",324,0.0367108229848762,0,0
"train","MCEM-MMIL","Early","T lymphocytes",853,0.0365765305046283,0,0
"train","MCEM-MMIL","Early","MAST cells",45,0.0298624128674924,0,0
"train","MCEM-MMIL","Early","Fibroblasts",36,0.0248372958777245,0,0
"train","MCEM-MMIL","Early","Endothelial cells",33,0.0234080586469871,0,0
"train","Naive inherited-label classifier","Advanced","Epithelial cells",979,0.908501883465277,0.985699693564862,0.742594484167518
"train","Naive inherited-label classifier","Advanced","Oligodendrocytes",15,0.828935781388832,1,0
"train","Naive inherited-label classifier","Advanced","Myeloid cells",566,0.712410678199435,0.885159010600707,0.0547703180212014
"train","Naive inherited-label classifier","Advanced","Undetermined",13,0.69123429670106,1,0
"train","Naive inherited-label classifier","Advanced","NK cells",163,0.670650910203012,1,0.00613496932515337
"train","Naive inherited-label classifier","Advanced","Fibroblasts",61,0.592351580767702,0.557377049180328,0.0163934426229508
"train","Naive inherited-label classifier","Advanced","T lymphocytes",993,0.572070245567967,0.840886203423968,0.0110775427995972
"train","Naive inherited-label classifier","Advanced","B lymphocytes",346,0.524975983099171,0.491329479768786,0.00289017341040462
"train","Naive inherited-label classifier","Advanced","MAST cells",26,0.450800780766749,0.115384615384615,0
"train","Naive inherited-label classifier","Advanced","Endothelial cells",3,0.339562403318744,0.333333333333333,0
"train","Naive inherited-label classifier","Early","Epithelial cells",105,0.72209271907807,0.780952380952381,0.342857142857143
"train","Naive inherited-label classifier","Early","NK cells",94,0.628976232233754,0.98936170212766,0
"train","Naive inherited-label classifier","Early","Undetermined",9,0.611948586674631,1,0
"train","Naive inherited-label classifier","Early","Fibroblasts",36,0.582320340827699,0.777777777777778,0
"train","Naive inherited-label classifier","Early","T lymphocytes",853,0.511170135332287,0.535756154747948,0.0082063305978898
"train","Naive inherited-label classifier","Early","B lymphocytes",324,0.483555761093607,0.29320987654321,0.00925925925925926
"train","Naive inherited-label classifier","Early","MAST cells",45,0.439527814937322,0.2,0
"train","Naive inherited-label classifier","Early","Myeloid cells",401,0.400534535438969,0.411471321695761,0.00249376558603491
"train","Naive inherited-label classifier","Early","Endothelial cells",33,0.258378758380994,0.0909090909090909,0
