"iter","delta","mean_q_advanced","mean_q_mc_advanced","train_logloss_inherited"
1,0.0474285301058169,0.3,0.302538177988415,1.06289206346973
2,0.041827784172695,0.3,0.300242232754081,1.0786423813223
3,0.0336308551311645,0.29996441890978,0.298694049499737,1.14067321146829
4,0.026625495912535,0.299663395947714,0.297830437072143,1.23328893919118
5,0.0191332757028162,0.299302287397777,0.299010005265929,1.33804173347831
6,0.0149303767745189,0.298711283508896,0.299125855713533,1.44972147351749
7,0.0120678018585756,0.298345257291533,0.299357556608741,1.55990811608983
8,0.0107453900741364,0.297688634116905,0.297693522906793,1.68218192187253
9,0.00887928881888642,0.297058139412581,0.298167456556082,1.78235300059569
10,0.00750468954898131,0.295798281676611,0.296893101632438,1.85368125493423
11,0.00664381525095897,0.294461636151666,0.2968299104792,1.91482238265248
12,0.00521039617694984,0.293208949603498,0.295839915745129,2.00063203618249
13,0.00431219838816728,0.291530413424115,0.292996313849394,2.06814221855288
14,0.00407863883002366,0.290304292845643,0.291342812006319,2.1100989225324
15,0.00368686681889216,0.290261215193792,0.291300684570827,2.14446568829891
16,0.00308714465747939,0.289808444413161,0.290710900473934,2.17912288254805
17,0.00352051159609766,0.289182380101151,0.289478672985782,2.21518187441036
18,0.00282695207303362,0.288675650232491,0.288636124275935,2.22150688672475
19,0.00315133033486759,0.287825970544975,0.287593470247499,2.23488602204461
20,0.00278561573154273,0.287319329675061,0.287435492364402,2.27618442635828
21,0.00200023937026632,0.28714981256638,0.287604002106372,2.26395464719274
22,0.00168949206588448,0.286059828362442,0.286129541864139,2.27908366802793
23,0.00174809127495984,0.285462454704177,0.285687203791469,2.27664652563646
24,0.00157433405618171,0.284826313679955,0.28493944181148,2.27395733904867
25,0.00127049183312249,0.284935876588113,0.285086887835703,2.28161120607412
26,0.00135681288811349,0.284684010921056,0.284581358609795,2.2848005401632
27,0.00167978995507509,0.284555188351019,0.284518167456556,2.27555860085667
28,0.00181821781666085,0.28390360478903,0.283454449710374,2.27808103067508
29,0.0016195207591276,0.283763329416801,0.283285939968404,2.26953308651413
30,0.00151958390184177,0.283423988508657,0.282727751448131,2.29665281966079
