"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.38316484733541,0.397694524495677,0.0172910662824208
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,0.044068501641353,0,0
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.0370696618532141,0,0
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.0151218004250999,0.00763358778625954,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.00628877291455865,0,0
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.00619657560452527,0,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.0059590239460314,0,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.00565076940421941,0,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.0053136944770813,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.212676569442736,0.0337078651685393,0.0112359550561798
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.0262778235403331,0.0210526315789474,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.0169453894486651,0,0
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.0113426119399567,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.0060864075875053,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.00606418596689871,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.00596307218074799,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.00587436717934906,0,0
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.00546137666484962,0,0
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.405871840494467,0.446685878962536,0.0115273775216138
"test","MCEM-MMIL","Advanced","Fibroblasts",3,0.038619232053558,0,0
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.0372360047573845,0,0
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.0161346804691863,0.00763358778625954,0
"test","MCEM-MMIL","Advanced","Undetermined",4,0.0068459811154753,0,0
"test","MCEM-MMIL","Advanced","NK cells",51,0.00639294004798228,0,0
"test","MCEM-MMIL","Advanced","T lymphocytes",392,0.00594153893132675,0,0
"test","MCEM-MMIL","Advanced","B lymphocytes",189,0.00561024478227689,0,0
"test","MCEM-MMIL","Advanced","MAST cells",1,0.00556696206331253,0,0
"test","MCEM-MMIL","Early","Epithelial cells",89,0.236363000079487,0.0786516853932584,0.0224719101123595
"test","MCEM-MMIL","Early","Myeloid cells",95,0.0290534698061253,0.0210526315789474,0
"test","MCEM-MMIL","Early","Fibroblasts",8,0.0207035014173016,0,0
"test","MCEM-MMIL","Early","Endothelial cells",6,0.00865082442760467,0,0
"test","MCEM-MMIL","Early","Undetermined",1,0.00688241794705391,0,0
"test","MCEM-MMIL","Early","T lymphocytes",341,0.00606214997831109,0,0
"test","MCEM-MMIL","Early","NK cells",50,0.00598695979453623,0,0
"test","MCEM-MMIL","Early","B lymphocytes",78,0.00596198531536338,0,0
"test","MCEM-MMIL","Early","MAST cells",12,0.00552255656414976,0,0
"test","Naive inherited-label classifier","Advanced","Epithelial cells",347,0.805198240005317,0.988472622478386,0.181556195965418
"test","Naive inherited-label classifier","Advanced","Myeloid cells",262,0.763730840032337,0.938931297709924,0.103053435114504
"test","Naive inherited-label classifier","Advanced","Oligodendrocytes",6,0.759726087252299,1,0.166666666666667
"test","Naive inherited-label classifier","Advanced","Fibroblasts",3,0.709117631117503,1,0
"test","Naive inherited-label classifier","Advanced","NK cells",51,0.65538607859144,0.882352941176471,0
"test","Naive inherited-label classifier","Advanced","B lymphocytes",189,0.588732479583649,0.703703703703704,0
"test","Naive inherited-label classifier","Advanced","Undetermined",4,0.555843397974968,1,0
"test","Naive inherited-label classifier","Advanced","T lymphocytes",392,0.542639035009304,0.584183673469388,0
"test","Naive inherited-label classifier","Advanced","MAST cells",1,0.505064308643341,1,0
"test","Naive inherited-label classifier","Early","Epithelial cells",89,0.61623040511367,0.797752808988764,0.0112359550561798
"test","Naive inherited-label classifier","Early","Undetermined",1,0.561332225799561,1,0
"test","Naive inherited-label classifier","Early","NK cells",50,0.49378346145153,0.42,0
"test","Naive inherited-label classifier","Early","B lymphocytes",78,0.481641943638141,0.41025641025641,0
"test","Naive inherited-label classifier","Early","Fibroblasts",8,0.478308076038957,0.375,0
"test","Naive inherited-label classifier","Early","Myeloid cells",95,0.456087351943317,0.463157894736842,0
"test","Naive inherited-label classifier","Early","Endothelial cells",6,0.452546452482541,0.166666666666667,0
"test","Naive inherited-label classifier","Early","MAST cells",12,0.446363021930059,0.166666666666667,0
"test","Naive inherited-label classifier","Early","T lymphocytes",341,0.430699084380155,0.293255131964809,0
"train","Deterministic EM-MMIL","Advanced","Epithelial cells",979,0.8257467523436,0.85291113381001,0.738508682328907
"train","Deterministic EM-MMIL","Advanced","Oligodendrocytes",15,0.0312827142576376,0,0
"train","Deterministic EM-MMIL","Advanced","Fibroblasts",61,0.0296603283753283,0,0
"train","Deterministic EM-MMIL","Advanced","Myeloid cells",566,0.0276587887571684,0.0141342756183746,0
"train","Deterministic EM-MMIL","Advanced","Endothelial cells",3,0.00940317272519071,0,0
"train","Deterministic EM-MMIL","Advanced","T lymphocytes",993,0.00773742753911054,0.00100704934541793,0
"train","Deterministic EM-MMIL","Advanced","MAST cells",26,0.00663911225274205,0,0
"train","Deterministic EM-MMIL","Advanced","B lymphocytes",346,0.00644161056113467,0,0
"train","Deterministic EM-MMIL","Advanced","Undetermined",13,0.00628910822650561,0,0
"train","Deterministic EM-MMIL","Advanced","NK cells",163,0.0061810820426312,0,0
"train","Deterministic EM-MMIL","Early","Epithelial cells",105,0.184982302518828,0.0761904761904762,0
"train","Deterministic EM-MMIL","Early","Fibroblasts",36,0.0221312045016223,0,0
"train","Deterministic EM-MMIL","Early","Endothelial cells",33,0.014527908526361,0,0
"train","Deterministic EM-MMIL","Early","Myeloid cells",401,0.0126812635895394,0.00249376558603491,0
"train","Deterministic EM-MMIL","Early","B lymphocytes",324,0.00617699375387603,0,0
"train","Deterministic EM-MMIL","Early","T lymphocytes",853,0.00610462853527799,0,0
"train","Deterministic EM-MMIL","Early","MAST cells",45,0.0059788307795922,0,0
"train","Deterministic EM-MMIL","Early","Undetermined",9,0.005938946786854,0,0
"train","Deterministic EM-MMIL","Early","NK cells",94,0.00585638919468731,0,0
"train","MCEM-MMIL","Advanced","Epithelial cells",979,0.825718641793403,0.860061287027579,0.734422880490296
"train","MCEM-MMIL","Advanced","Myeloid cells",566,0.0306606927529543,0.019434628975265,0
"train","MCEM-MMIL","Advanced","Oligodendrocytes",15,0.0300070185214281,0,0
"train","MCEM-MMIL","Advanced","Fibroblasts",61,0.0287582128934684,0,0
"train","MCEM-MMIL","Advanced","Endothelial cells",3,0.00780889748906096,0,0
"train","MCEM-MMIL","Advanced","MAST cells",26,0.00712416899533799,0,0
"train","MCEM-MMIL","Advanced","T lymphocytes",993,0.00711430544136814,0,0
"train","MCEM-MMIL","Advanced","Undetermined",13,0.00665174686135008,0,0
"train","MCEM-MMIL","Advanced","NK cells",163,0.00648786687503563,0,0
"train","MCEM-MMIL","Advanced","B lymphocytes",346,0.00610883199782084,0,0
"train","MCEM-MMIL","Early","Epithelial cells",105,0.185614198410795,0.0952380952380952,0
"train","MCEM-MMIL","Early","Fibroblasts",36,0.0225216779443953,0,0
"train","MCEM-MMIL","Early","Myeloid cells",401,0.0120741251816606,0,0
"train","MCEM-MMIL","Early","Endothelial cells",33,0.0111039914331879,0,0
