"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.691923841834069,0.833333333333333,0
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.532835786273805,0.587896253602305,0.0749279538904899
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.0466988276697354,0.00381679389312977,0
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,0.030779995645086,0,0
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.0306107954432567,0.0196078431372549,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.0133123146370053,0,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.00968515872955322,0,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.00962247737037132,0.00510204081632653,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.00913762781158011,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.245352420694289,0.247191011235955,0.112359550561798
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.0301716205043097,0,0
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.0223293282434736,0,0
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.0165064901423951,0,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.0133169715991244,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.00999934785068035,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.00984735867510048,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.00715388382785022,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.0067139011288821,0,0
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.530759152368527,0.582132564841499,0.106628242074928
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.164417866617441,0,0
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.049402390844864,0.00381679389312977,0
"test","MCEM-MMIL","Advanced","NK cells",51,0.0323798973204605,0.0196078431372549,0.0196078431372549
"test","MCEM-MMIL","Advanced","Fibroblasts",3,0.0280507635325193,0,0
"test","MCEM-MMIL","Advanced","T lymphocytes",392,0.010258115791212,0.00510204081632653,0
"test","MCEM-MMIL","Advanced","MAST cells",1,0.0102092092856765,0,0
"test","MCEM-MMIL","Advanced","Undetermined",4,0.00954930484294892,0,0
