"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.841172597955354,1,0.333333333333333
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.57835189808053,0.657060518731988,0.00864553314121038
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.076042991764271,0.0114503816793893,0
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.0628494205896852,0,0
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,0.0599561301535561,0,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.0538205683610884,0,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.0394393173949649,0,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.0383732497009882,0,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.0338646811997522,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.263333323621767,0.112359550561798,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.0702316722062781,0,0
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.0468241420370575,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.0446956187120468,0,0
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.0402434177202675,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.0386887380651449,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.0380992816998517,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.0361181951531917,0,0
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.0272248736928928,0,0
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.838535060896269,1,0.333333333333333
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.571930492294226,0.671469740634006,0.00864553314121038
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.0737847976128722,0.0114503816793893,0
"test","MCEM-MMIL","Advanced","NK cells",51,0.0644536676992791,0,0
"test","MCEM-MMIL","Advanced","Undetermined",4,0.0554284193835354,0,0
"test","MCEM-MMIL","Advanced","Fibroblasts",3,0.0532347978622555,0,0
"test","MCEM-MMIL","Advanced","T lymphocytes",392,0.0398674945181873,0,0
"test","MCEM-MMIL","Advanced","MAST cells",1,0.0385162135637955,0,0
"test","MCEM-MMIL","Advanced","B lymphocytes",189,0.0346779268428896,0,0
