"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.709699022727413,0.833333333333333,0.166666666666667
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.644276918114665,0.723342939481268,0.172910662824208
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.05383839654967,0.0152671755725191,0.00381679389312977
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.0236760348146303,0,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.0204344585672108,0,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.0193386045083355,0,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.00775943735894361,0,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.00569066369791225,0,0
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,6.93834006815497e-07,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.255465515287519,0.168539325842697,0.0224719101123595
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.029955650803824,0,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.0227373911095903,0,0
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.0135088003142113,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.0121092991973138,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.0107146680559497,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.00839307959168177,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.00804881939235309,0,0
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.0078487439955254,0,0
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.650107651816499,0.833333333333333,0.166666666666667
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.619486666065863,0.68299711815562,0.141210374639769
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.0615055779178688,0.0152671755725191,0.00381679389312977
"test","MCEM-MMIL","Advanced","NK cells",51,0.0230696566899557,0,0
"test","MCEM-MMIL","Advanced","MAST cells",1,0.0201013832930421,0,0
"test","MCEM-MMIL","Advanced","Undetermined",4,0.0167791574969748,0,0
"test","MCEM-MMIL","Advanced","T lymphocytes",392,0.00815511256483671,0,0
"test","MCEM-MMIL","Advanced","B lymphocytes",189,0.00570955580525963,0,0
"test","MCEM-MMIL","Advanced","Fibroblasts",3,1.24555483980312e-06,0,0
"test","MCEM-MMIL","Early","Epithelial cells",89,0.220213891833944,0.157303370786517,0.0112359550561798
"test","MCEM-MMIL","Early","Myeloid cells",95,0.0318857543145699,0,0
"test","MCEM-MMIL","Early","Fibroblasts",8,0.0225508342502116,0,0
"test","MCEM-MMIL","Early","MAST cells",12,0.0133473953217824,0,0
"test","MCEM-MMIL","Early","NK cells",50,0.0111700940587919,0,0
"test","MCEM-MMIL","Early","Undetermined",1,0.00967493949475753,0,0
"test","MCEM-MMIL","Early","T lymphocytes",341,0.00842511289997215,0,0
"test","MCEM-MMIL","Early","B lymphocytes",78,0.00836155257336074,0,0
"test","MCEM-MMIL","Early","Endothelial cells",6,0.00822438277254931,0,0
"test","Naive inherited-label classifier","Advanced","Epithelial cells",347,0.93088782145423,1,0.804034582132565
"test","Naive inherited-label classifier","Advanced","Oligodendrocytes",6,0.875716771392656,1,0.166666666666667
"test","Naive inherited-label classifier","Advanced","Fibroblasts",3,0.809467816723157,1,0.333333333333333
"test","Naive inherited-label classifier","Advanced","Myeloid cells",262,0.764553127393065,0.984732824427481,0.106870229007634
"test","Naive inherited-label classifier","Advanced","NK cells",51,0.67086359511025,1,0.0196078431372549
