"split","model","aggregation","n_patients","n_early","n_advanced","auroc"
"test","Deterministic EM-MMIL","mean_prob",11,5,6,0.833333333333333
"test","Deterministic EM-MMIL","prop_gt_0.9",11,5,6,0.833333333333333
"test","Deterministic EM-MMIL","q90_prob",11,5,6,0.833333333333333
"test","Deterministic EM-MMIL","q99_prob",11,5,6,0.833333333333333
"test","Deterministic EM-MMIL","prop_gt_0.5",11,5,6,0.816666666666667
"test","Deterministic EM-MMIL","median_prob",11,5,6,0.633333333333333
"test","MCEM-MMIL","prop_gt_0.9",11,5,6,0.9
"test","MCEM-MMIL","mean_prob",11,5,6,0.866666666666667
"test","MCEM-MMIL","q90_prob",11,5,6,0.866666666666667
"test","MCEM-MMIL","q99_prob",11,5,6,0.866666666666667
"test","MCEM-MMIL","prop_gt_0.5",11,5,6,0.833333333333333
"test","MCEM-MMIL","median_prob",11,5,6,0.666666666666667
"test","Naive inherited-label classifier","prop_gt_0.5",11,5,6,1
"test","Naive inherited-label classifier","mean_prob",11,5,6,0.966666666666667
"test","Naive inherited-label classifier","median_prob",11,5,6,0.966666666666667
"test","Naive inherited-label classifier","q99_prob",11,5,6,0.966666666666667
"test","Naive inherited-label classifier","prop_gt_0.9",11,5,6,0.866666666666667
"test","Naive inherited-label classifier","q90_prob",11,5,6,0.866666666666667
"train","Deterministic EM-MMIL","q99_prob",33,15,18,0.955555555555556
"train","Deterministic EM-MMIL","mean_prob",33,15,18,0.951851851851852
"train","Deterministic EM-MMIL","prop_gt_0.5",33,15,18,0.937037037037037
"train","Deterministic EM-MMIL","q90_prob",33,15,18,0.925925925925926
"train","Deterministic EM-MMIL","prop_gt_0.9",33,15,18,0.918518518518519
"train","Deterministic EM-MMIL","median_prob",33,15,18,0.803703703703704
"train","MCEM-MMIL","mean_prob",33,15,18,0.959259259259259
"train","MCEM-MMIL","q99_prob",33,15,18,0.944444444444444
"train","MCEM-MMIL","prop_gt_0.9",33,15,18,0.942592592592593
"train","MCEM-MMIL","prop_gt_0.5",33,15,18,0.937037037037037
"train","MCEM-MMIL","q90_prob",33,15,18,0.933333333333333
"train","MCEM-MMIL","median_prob",33,15,18,0.803703703703704
"train","Naive inherited-label classifier","median_prob",33,15,18,0.977777777777778
"train","Naive inherited-label classifier","mean_prob",33,15,18,0.974074074074074
"train","Naive inherited-label classifier","prop_gt_0.5",33,15,18,0.97037037037037
"train","Naive inherited-label classifier","q90_prob",33,15,18,0.914814814814815
"train","Naive inherited-label classifier","prop_gt_0.9",33,15,18,0.907407407407407
"train","Naive inherited-label classifier","q99_prob",33,15,18,0.888888888888889
