"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.666190211393126,0.812680115273775,0.0749279538904899
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.0955459275600888,0.00763358778625954,0
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.0752245494651131,0,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.0267742927487045,0,0
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,0.0232725324689989,0,0
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.0207906523744128,0,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.0114181535408085,0,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.00679469350398499,0,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.00433233954743276,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.403837470776797,0.393258426966292,0.0112359550561798
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.020980490363059,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.0139317846787236,0,0
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.0136628350131649,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.010055144545647,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.00661138097182278,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.00344067989441519,0,0
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.00157152132707942,0,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.0014197503689949,0,0
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.648635668908347,0.792507204610951,0.0547550432276657
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.0972556678277404,0.0114503816793893,0
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.0637107553700544,0,0
"test","MCEM-MMIL","Advanced","NK cells",51,0.0225209525997335,0,0
"test","MCEM-MMIL","Advanced","MAST cells",1,0.0210420018245214,0,0
"test","MCEM-MMIL","Advanced","Fibroblasts",3,0.0183705481609801,0,0
"test","MCEM-MMIL","Advanced","B lymphocytes",189,0.011326394789853,0,0
"test","MCEM-MMIL","Advanced","T lymphocytes",392,0.00662276580209088,0,0
"test","MCEM-MMIL","Advanced","Undetermined",4,0.00442090351365077,0,0
"test","MCEM-MMIL","Early","Epithelial cells",89,0.393537469495225,0.370786516853933,0.0224719101123595
"test","MCEM-MMIL","Early","MAST cells",12,0.0173085113677348,0,0
"test","MCEM-MMIL","Early","NK cells",50,0.0156766495535397,0,0
"test","MCEM-MMIL","Early","Myeloid cells",95,0.0136424294250024,0,0
"test","MCEM-MMIL","Early","B lymphocytes",78,0.00971902728773794,0,0
"test","MCEM-MMIL","Early","T lymphocytes",341,0.00642912604541557,0,0
"test","MCEM-MMIL","Early","Undetermined",1,0.00372385518265238,0,0
"test","MCEM-MMIL","Early","Endothelial cells",6,0.000909645910127526,0,0
"test","MCEM-MMIL","Early","Fibroblasts",8,0.000874021832596256,0,0
"test","Naive inherited-label classifier","Advanced","Epithelial cells",347,0.892245378546649,1,0.645533141210375
"test","Naive inherited-label classifier","Advanced","Oligodendrocytes",6,0.727121320419782,1,0
"test","Naive inherited-label classifier","Advanced","Myeloid cells",262,0.696648555274092,0.83206106870229,0.103053435114504
"test","Naive inherited-label classifier","Advanced","Fibroblasts",3,0.695503455986977,1,0
"test","Naive inherited-label classifier","Advanced","MAST cells",1,0.663847658853628,1,0
"test","Naive inherited-label classifier","Advanced","NK cells",51,0.651833564344076,1,0
"test","Naive inherited-label classifier","Advanced","T lymphocytes",392,0.523229000761096,0.683673469387755,0
"test","Naive inherited-label classifier","Advanced","B lymphocytes",189,0.502471631158062,0.502645502645503,0
"test","Naive inherited-label classifier","Advanced","Undetermined",4,0.479782782649537,0.25,0
"test","Naive inherited-label classifier","Early","Epithelial cells",89,0.883387976851578,1,0.48314606741573
"test","Naive inherited-label classifier","Early","NK cells",50,0.653421322677794,1,0
"test","Naive inherited-label classifier","Early","MAST cells",12,0.650323769162202,1,0
"test","Naive inherited-label classifier","Early","Endothelial cells",6,0.630045203596246,1,0
"test","Naive inherited-label classifier","Early","Undetermined",1,0.542925181005785,1,0
"test","Naive inherited-label classifier","Early","Fibroblasts",8,0.53281609073142,0.5,0
"test","Naive inherited-label classifier","Early","T lymphocytes",341,0.523395661990076,0.563049853372434,0
"test","Naive inherited-label classifier","Early","B lymphocytes",78,0.490488600983748,0.282051282051282,0
"test","Naive inherited-label classifier","Early","Myeloid cells",95,0.420812840272031,0.484210526315789,0
"train","Deterministic EM-MMIL","Advanced","Epithelial cells",979,0.746070669015448,0.781409601634321,0.591419816138917
"train","Deterministic EM-MMIL","Advanced","Myeloid cells",566,0.128509511322316,0.0371024734982332,0
"train","Deterministic EM-MMIL","Advanced","Undetermined",13,0.0322504254628024,0,0
"train","Deterministic EM-MMIL","Advanced","NK cells",163,0.0132655398556892,0,0
"train","Deterministic EM-MMIL","Advanced","B lymphocytes",346,0.012456223289878,0,0
"train","Deterministic EM-MMIL","Advanced","MAST cells",26,0.00989216256440187,0,0
"train","Deterministic EM-MMIL","Advanced","T lymphocytes",993,0.00907831608277408,0,0
"train","Deterministic EM-MMIL","Advanced","Fibroblasts",61,0.00228989134397746,0,0
"train","Deterministic EM-MMIL","Advanced","Oligodendrocytes",15,0.00219416175533098,0,0
"train","Deterministic EM-MMIL","Advanced","Endothelial cells",3,0.000561217840415712,0,0
"train","Deterministic EM-MMIL","Early","Epithelial cells",105,0.373030885817163,0.380952380952381,0.238095238095238
"train","Deterministic EM-MMIL","Early","Myeloid cells",401,0.0287551278784295,0.00249376558603491,0
"train","Deterministic EM-MMIL","Early","MAST cells",45,0.0182151066809032,0,0
"train","Deterministic EM-MMIL","Early","NK cells",94,0.0107098077634712,0,0
"train","Deterministic EM-MMIL","Early","B lymphocytes",324,0.00943252324946101,0,0
"train","Deterministic EM-MMIL","Early","T lymphocytes",853,0.00681800815822345,0,0
"train","Deterministic EM-MMIL","Early","Undetermined",9,0.0017591983131485,0,0
"train","Deterministic EM-MMIL","Early","Endothelial cells",33,0.00144920759142768,0,0
"train","Deterministic EM-MMIL","Early","Fibroblasts",36,0.00114178925312346,0,0
"train","MCEM-MMIL","Advanced","Epithelial cells",979,0.739954106246722,0.778345250255363,0.591419816138917
"train","MCEM-MMIL","Advanced","Myeloid cells",566,0.129118176587444,0.0371024734982332,0
"train","MCEM-MMIL","Advanced","Undetermined",13,0.0295152271793085,0,0
"train","MCEM-MMIL","Advanced","NK cells",163,0.0153722293294907,0,0
"train","MCEM-MMIL","Advanced","B lymphocytes",346,0.0122783799601711,0,0
"train","MCEM-MMIL","Advanced","T lymphocytes",993,0.00902996985657792,0,0
"train","MCEM-MMIL","Advanced","MAST cells",26,0.00844227806350327,0,0
"train","MCEM-MMIL","Advanced","Fibroblasts",61,0.00159239601153523,0,0
"train","MCEM-MMIL","Advanced","Oligodendrocytes",15,0.00122419940685167,0,0
"train","MCEM-MMIL","Advanced","Endothelial cells",3,0.000300652985378754,0,0
"train","MCEM-MMIL","Early","Epithelial cells",105,0.368388492218236,0.371428571428571,0.238095238095238
"train","MCEM-MMIL","Early","Myeloid cells",401,0.0292113844046878,0.00249376558603491,0
"train","MCEM-MMIL","Early","MAST cells",45,0.0154801487322636,0,0
"train","MCEM-MMIL","Early","NK cells",94,0.012888734380064,0,0
"train","MCEM-MMIL","Early","B lymphocytes",324,0.0093774592826967,0,0
"train","MCEM-MMIL","Early","T lymphocytes",853,0.00666598442949989,0,0
"train","MCEM-MMIL","Early","Undetermined",9,0.00196753734024051,0,0
"train","MCEM-MMIL","Early","Endothelial cells",33,0.000924071013352039,0,0
"train","MCEM-MMIL","Early","Fibroblasts",36,0.000679817271797762,0,0
"train","Naive inherited-label classifier","Advanced","Epithelial cells",979,0.913510400021866,1,0.737487231869254
"train","Naive inherited-label classifier","Advanced","Myeloid cells",566,0.699805336124854,0.879858657243816,0.0901060070671378
"train","Naive inherited-label classifier","Advanced","NK cells",163,0.648338785650749,0.993865030674847,0
"train","Naive inherited-label classifier","Advanced","Oligodendrocytes",15,0.626361766547262,1,0
"train","Naive inherited-label classifier","Advanced","MAST cells",26,0.625478934406875,1,0
"train","Naive inherited-label classifier","Advanced","Fibroblasts",61,0.584111645566609,0.901639344262295,0
"train","Naive inherited-label classifier","Advanced","Endothelial cells",3,0.579824598897918,1,0
"train","Naive inherited-label classifier","Advanced","Undetermined",13,0.559272149149153,1,0
