"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.512050514877036,0.579250720461095,0.236311239193084
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,0.385208408037821,0.333333333333333,0
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.228691920017203,0.166666666666667,0.166666666666667
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.0998940043443558,0.0980392156862745,0.0392156862745098
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.0475382208824158,0,0
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.0380391581543856,0.0114503816793893,0.00763358778625954
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.0216923971258833,0,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.0176208084692694,0,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.00374305044533685,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.303328039857109,0.393258426966292,0
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.157720244179169,0.166666666666667,0
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.0246364623308182,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.0236111896811053,0,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.0167361401254311,0,0
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.0118516807861038,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.00893747782241826,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.00803125676555702,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.00589066650718451,0,0
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.523612365356086,0.602305475504323,0.24207492795389
"test","MCEM-MMIL","Advanced","Fibroblasts",3,0.376798411210378,0.333333333333333,0
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.22402700719734,0.166666666666667,0.166666666666667
"test","MCEM-MMIL","Advanced","NK cells",51,0.09875428487145,0.0980392156862745,0.0392156862745098
"test","MCEM-MMIL","Advanced","MAST cells",1,0.0445839837193489,0,0
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.0373877138477032,0.0114503816793893,0.00763358778625954
"test","MCEM-MMIL","Advanced","B lymphocytes",189,0.0209991061128676,0.00529100529100529,0
"test","MCEM-MMIL","Advanced","T lymphocytes",392,0.0182841684400788,0,0
"test","MCEM-MMIL","Advanced","Undetermined",4,0.0034720238763839,0,0
"test","MCEM-MMIL","Early","Epithelial cells",89,0.315716474892551,0.393258426966292,0
"test","MCEM-MMIL","Early","Endothelial cells",6,0.177870473824441,0.166666666666667,0
"test","MCEM-MMIL","Early","MAST cells",12,0.0211192085795725,0,0
"test","MCEM-MMIL","Early","NK cells",50,0.021060903808102,0,0
"test","MCEM-MMIL","Early","Fibroblasts",8,0.0148654198274016,0,0
"test","MCEM-MMIL","Early","Myeloid cells",95,0.0129844800397558,0,0
"test","MCEM-MMIL","Early","T lymphocytes",341,0.0085335690214072,0,0
"test","MCEM-MMIL","Early","B lymphocytes",78,0.00775497330006403,0,0
"test","MCEM-MMIL","Early","Undetermined",1,0.0046024713665247,0,0
"test","Naive inherited-label classifier","Advanced","Oligodendrocytes",6,0.880378723144531,1,0.166666666666667
"test","Naive inherited-label classifier","Advanced","Fibroblasts",3,0.842829008897146,1,0.333333333333333
"test","Naive inherited-label classifier","Advanced","Epithelial cells",347,0.798865640369547,0.968299711815562,0.498559077809798
"test","Naive inherited-label classifier","Advanced","MAST cells",1,0.769566535949707,1,0
"test","Naive inherited-label classifier","Advanced","NK cells",51,0.666296402028963,0.862745098039216,0.0784313725490196
"test","Naive inherited-label classifier","Advanced","Myeloid cells",262,0.642821297447645,0.675572519083969,0.118320610687023
"test","Naive inherited-label classifier","Advanced","T lymphocytes",392,0.559779414374913,0.586734693877551,0
"test","Naive inherited-label classifier","Advanced","B lymphocytes",189,0.53015975015504,0.486772486772487,0.00529100529100529
"test","Naive inherited-label classifier","Advanced","Undetermined",4,0.263590801507235,0,0
"test","Naive inherited-label classifier","Early","Epithelial cells",89,0.7052294153176,0.730337078651685,0.303370786516854
"test","Naive inherited-label classifier","Early","Endothelial cells",6,0.685822978615761,0.833333333333333,0
"test","Naive inherited-label classifier","Early","Undetermined",1,0.662585616111755,1,0
"test","Naive inherited-label classifier","Early","NK cells",50,0.638299770653248,0.86,0.02
"test","Naive inherited-label classifier","Early","MAST cells",12,0.580080151557922,0.5,0
"test","Naive inherited-label classifier","Early","Myeloid cells",95,0.443388586216851,0.389473684210526,0.0105263157894737
"test","Naive inherited-label classifier","Early","T lymphocytes",341,0.401989381465394,0.310850439882698,0
"test","Naive inherited-label classifier","Early","Fibroblasts",8,0.362811865285039,0.25,0
"test","Naive inherited-label classifier","Early","B lymphocytes",78,0.361738758973586,0.153846153846154,0
"train","Deterministic EM-MMIL","Advanced","Epithelial cells",979,0.780810526677762,0.827374872318693,0.605720122574055
"train","Deterministic EM-MMIL","Advanced","Oligodendrocytes",15,0.134618953304986,0.0666666666666667,0.0666666666666667
"train","Deterministic EM-MMIL","Advanced","Fibroblasts",61,0.134298569125841,0.0819672131147541,0.0327868852459016
"train","Deterministic EM-MMIL","Advanced","Myeloid cells",566,0.0677330626763877,0.0353356890459364,0.0088339222614841
"train","Deterministic EM-MMIL","Advanced","NK cells",163,0.0427150119873095,0.0122699386503067,0
"train","Deterministic EM-MMIL","Advanced","Undetermined",13,0.0384746987659198,0,0
"train","Deterministic EM-MMIL","Advanced","Endothelial cells",3,0.0366149451583624,0,0
"train","Deterministic EM-MMIL","Advanced","B lymphocytes",346,0.0356812705588662,0.00578034682080925,0
"train","Deterministic EM-MMIL","Advanced","T lymphocytes",993,0.0326370760406417,0.013091641490433,0
"train","Deterministic EM-MMIL","Advanced","MAST cells",26,0.0291597800365148,0,0
"train","Deterministic EM-MMIL","Early","Epithelial cells",105,0.288568680520569,0.266666666666667,0.0285714285714286
"train","Deterministic EM-MMIL","Early","Fibroblasts",36,0.0353774251416326,0,0
"train","Deterministic EM-MMIL","Early","MAST cells",45,0.0204367355495278,0,0
"train","Deterministic EM-MMIL","Early","Undetermined",9,0.0139735089614987,0,0
"train","Deterministic EM-MMIL","Early","Myeloid cells",401,0.0130957226748543,0,0
"train","Deterministic EM-MMIL","Early","NK cells",94,0.0127371439829152,0,0
"train","Deterministic EM-MMIL","Early","Endothelial cells",33,0.01209235046708,0,0
"train","Deterministic EM-MMIL","Early","B lymphocytes",324,0.0107395478594692,0,0
"train","Deterministic EM-MMIL","Early","T lymphocytes",853,0.0105566447873677,0,0
"train","MCEM-MMIL","Advanced","Epithelial cells",979,0.787779272923035,0.843718079673136,0.601634320735444
"train","MCEM-MMIL","Advanced","Fibroblasts",61,0.122505001021458,0.0819672131147541,0.0327868852459016
"train","MCEM-MMIL","Advanced","Oligodendrocytes",15,0.115867620768646,0.0666666666666667,0.0666666666666667
"train","MCEM-MMIL","Advanced","Myeloid cells",566,0.063181434401357,0.0335689045936396,0.0106007067137809
"train","MCEM-MMIL","Advanced","NK cells",163,0.0380712691080282,0.0122699386503067,0
"train","MCEM-MMIL","Advanced","B lymphocytes",346,0.0342895644070914,0.00867052023121387,0
"train","MCEM-MMIL","Advanced","T lymphocytes",993,0.0333583106203352,0.013091641490433,0
"train","MCEM-MMIL","Advanced","Endothelial cells",3,0.0321570833524068,0,0
"train","MCEM-MMIL","Advanced","Undetermined",13,0.0309160392409047,0,0
"train","MCEM-MMIL","Advanced","MAST cells",26,0.0258537454602237,0,0
"train","MCEM-MMIL","Early","Epithelial cells",105,0.289660671424298,0.266666666666667,0.00952380952380952
"train","MCEM-MMIL","Early","Fibroblasts",36,0.0277612971969776,0,0
"train","MCEM-MMIL","Early","MAST cells",45,0.018209618024735,0,0
"train","MCEM-MMIL","Early","Myeloid cells",401,0.0129108708497007,0.00249376558603491,0
"train","MCEM-MMIL","Early","Endothelial cells",33,0.011889103616616,0,0
"train","MCEM-MMIL","Early","NK cells",94,0.011564732970115,0,0
"train","MCEM-MMIL","Early","Undetermined",9,0.0111420097657376,0,0
"train","MCEM-MMIL","Early","T lymphocytes",853,0.0106635997675093,0,0
"train","MCEM-MMIL","Early","B lymphocytes",324,0.00961293611549025,0,0
"train","Naive inherited-label classifier","Advanced","Epithelial cells",979,0.920383339700222,0.995914198161389,0.792645556690501
"train","Naive inherited-label classifier","Advanced","Myeloid cells",566,0.738558695273138,0.856890459363958,0.18904593639576
"train","Naive inherited-label classifier","Advanced","NK cells",163,0.704551647685788,0.895705521472393,0.0736196319018405
"train","Naive inherited-label classifier","Advanced","Fibroblasts",61,0.704164941779903,0.819672131147541,0.163934426229508
"train","Naive inherited-label classifier","Advanced","Undetermined",13,0.692850032678017,0.923076923076923,0.0769230769230769
"train","Naive inherited-label classifier","Advanced","MAST cells",26,0.680534260777327,0.846153846153846,0
"train","Naive inherited-label classifier","Advanced","Oligodendrocytes",15,0.676476538181305,0.8,0.2
"train","Naive inherited-label classifier","Advanced","T lymphocytes",993,0.654213099381235,0.784491440080564,0.0100704934541793
"train","Naive inherited-label classifier","Advanced","Endothelial cells",3,0.651325841744741,1,0
"train","Naive inherited-label classifier","Advanced","B lymphocytes",346,0.628319941676421,0.687861271676301,0.00867052023121387
"train","Naive inherited-label classifier","Early","Epithelial cells",105,0.66647183185532,0.723809523809524,0.114285714285714
"train","Naive inherited-label classifier","Early","Undetermined",9,0.559520221418805,0.555555555555556,0
"train","Naive inherited-label classifier","Early","MAST cells",45,0.496931386987368,0.444444444444444,0
"train","Naive inherited-label classifier","Early","Fibroblasts",36,0.490827038056321,0.361111111111111,0.0277777777777778
"train","Naive inherited-label classifier","Early","NK cells",94,0.435409169089287,0.308510638297872,0.0106382978723404
"train","Naive inherited-label classifier","Early","T lymphocytes",853,0.424727679067592,0.30715123094959,0
"train","Naive inherited-label classifier","Early","B lymphocytes",324,0.380600349126775,0.16358024691358,0
"train","Naive inherited-label classifier","Early","Myeloid cells",401,0.329125347633166,0.216957605985037,0.0199501246882793
"train","Naive inherited-label classifier","Early","Endothelial cells",33,0.31424737563639,0.0909090909090909,0
