"split","model","aggregation","n_patients","n_early","n_advanced","auroc"
"test","Deterministic EM-MMIL","q99_prob",11,5,6,0.9
"test","Deterministic EM-MMIL","mean_prob",11,5,6,0.833333333333333
"test","Deterministic EM-MMIL","median_prob",11,5,6,0.8
"test","Deterministic EM-MMIL","prop_gt_0.5",11,5,6,0.8
"test","Deterministic EM-MMIL","q90_prob",11,5,6,0.8
"test","Deterministic EM-MMIL","prop_gt_0.9",11,5,6,0.75
"test","MCEM-MMIL","q99_prob",11,5,6,0.9
"test","MCEM-MMIL","mean_prob",11,5,6,0.833333333333333
"test","MCEM-MMIL","q90_prob",11,5,6,0.833333333333333
"test","MCEM-MMIL","median_prob",11,5,6,0.8
"test","MCEM-MMIL","prop_gt_0.5",11,5,6,0.8
"test","MCEM-MMIL","prop_gt_0.9",11,5,6,0.75
"test","Naive inherited-label classifier","mean_prob",11,5,6,0.9
"test","Naive inherited-label classifier","prop_gt_0.5",11,5,6,0.9
"test","Naive inherited-label classifier","median_prob",11,5,6,0.866666666666667
"test","Naive inherited-label classifier","q90_prob",11,5,6,0.866666666666667
"test","Naive inherited-label classifier","prop_gt_0.9",11,5,6,0.8
"test","Naive inherited-label classifier","q99_prob",11,5,6,0.8
"train","Deterministic EM-MMIL","median_prob",33,15,18,0.977777777777778
"train","Deterministic EM-MMIL","q90_prob",33,15,18,0.966666666666667
"train","Deterministic EM-MMIL","mean_prob",33,15,18,0.959259259259259
"train","Deterministic EM-MMIL","q99_prob",33,15,18,0.918518518518519
"train","Deterministic EM-MMIL","prop_gt_0.5",33,15,18,0.892592592592593
"train","Deterministic EM-MMIL","prop_gt_0.9",33,15,18,0.709259259259259
"train","MCEM-MMIL","median_prob",33,15,18,0.977777777777778
"train","MCEM-MMIL","q90_prob",33,15,18,0.959259259259259
"train","MCEM-MMIL","mean_prob",33,15,18,0.948148148148148
"train","MCEM-MMIL","prop_gt_0.5",33,15,18,0.924074074074074
"train","MCEM-MMIL","q99_prob",33,15,18,0.914814814814815
"train","MCEM-MMIL","prop_gt_0.9",33,15,18,0.759259259259259
"train","Naive inherited-label classifier","mean_prob",33,15,18,1
"train","Naive inherited-label classifier","prop_gt_0.5",33,15,18,1
"train","Naive inherited-label classifier","median_prob",33,15,18,0.992592592592593
"train","Naive inherited-label classifier","q90_prob",33,15,18,0.985185185185185
"train","Naive inherited-label classifier","prop_gt_0.9",33,15,18,0.966666666666667
"train","Naive inherited-label classifier","q99_prob",33,15,18,0.959259259259259
