"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.427355607589673,0.438040345821326,0.213256484149856
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.121072526908169,0.103053435114504,0.0229007633587786
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.105778208620345,0.166666666666667,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.0854671935671499,0.0586734693877551,0.0204081632653061
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.0737820477805981,0.0476190476190476,0.0211640211640212
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,0.0545943009852794,0,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.0313024761451023,0,0
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.0255131220019812,0,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.0118757075399036,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.0871152328789487,0.0337078651685393,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.0132822019440048,0.00879765395894428,0
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.0121520179713212,0.0105263157894737,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.00506584503236092,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.00430296356755092,0,0
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.00276445086698313,0,0
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.000895730707776609,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.000166532262994645,0,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,1.11775721110946e-05,0,0
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.423617778816533,0.438040345821326,0.204610951008646
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.128466605891231,0.106870229007634,0.0267175572519084
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.101194946767791,0.166666666666667,0
"test","MCEM-MMIL","Advanced","T lymphocytes",392,0.0845045147435289,0.0586734693877551,0.0204081632653061
"test","MCEM-MMIL","Advanced","B lymphocytes",189,0.0735325743708093,0.0476190476190476,0.0211640211640212
"test","MCEM-MMIL","Advanced","Fibroblasts",3,0.0524257751789294,0,0
"test","MCEM-MMIL","Advanced","MAST cells",1,0.0313851364282055,0,0
