"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.542081546907856,0.833333333333333,0
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.488709538191072,0.501440922190202,0
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,0.152275242540953,0,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.136490829753543,0,0
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.131338000977814,0.0229007633587786,0
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.0649127266876583,0,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.0510012401486384,0,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.0476208922824968,0,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.0362941327277614,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.244042493520418,0.0786516853932584,0
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.0689204480422871,0,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.0425068177917026,0,0
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.0341273374737292,0,0
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.0304052103227405,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.0275093607590623,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.0258917735316992,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.0235426081390508,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.0153320420795564,0,0
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.587566266592747,0.833333333333333,0
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.491323055651767,0.524495677233429,0
"test","MCEM-MMIL","Advanced","Fibroblasts",3,0.154512236821146,0,0
"test","MCEM-MMIL","Advanced","MAST cells",1,0.136867932592866,0,0
