"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.843602132799555,0.939278704358306
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.702931750831178,0.9095490925286
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.683605930125727,0.998994013820289
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.461380204308386,0.809885898328479
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.423776984376508,0.526787356510145
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.421924085912459,0.549830722269271
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.399804591290487,0.510067672178308
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.38691896505056,0.38691896505056
"test","Categorical EM-MMIL","I","NK cells","I",55,0.301398329671493,0.396301850841247
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.347290756667356,0.589558311096052
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.00676172701303241,0.00676172701303241
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.00662714283795601,0.00786902736052996
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.00645098212825442,0.00764853348447624
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.0062557892327396,0.00807330087461529
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.00594326728338111,0.00705554174361636
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.00548423699161868,0.00678738732658836
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.00259091080845115,0.00675912195420538
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.00230598120247541,0.0050471575046073
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.691974527490551,0.793559765065044
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.606319307936408,0.606319307936408
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.593744426581259,0.71442139184846
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.570279748340111,0.640951412133257
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.533135558699995,0.896777288369811
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.313803159065821,0.986151105652079
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.294762267966347,0.557131303195569
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.230785157420184,0.413106045821936
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.150142077967706,0.213464775915866
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.916640206946553,0.949530310182979
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.463428986788128,0.839696311716985
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.45448429147484,0.45448429147484
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.446306952884267,0.998938259857171
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.428226383165801,0.508535771419075
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.384082467243396,0.475365885761504
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.318100429274941,0.386987223518511
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.315465907128166,0.322986995037537
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.243893788486117,0.371073698532173
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.584491898876005,0.80932973750548
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.00680756338951008,0.00750449072553373
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.00645933005756051,0.006703130033436
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.00634092113304748,0.00734027663331678
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.00573427708621589,0.00690796790359676
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.00541118051309318,0.00541118051309318
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.0053170330080237,0.00695149988509903
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.00489776493374154,0.00550391380973307
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.00188595776035216,0.00442500439889229
"test","Categorical EM-MMIL","II_III","Undetermined","IV",2,0.678074762814272,0.685839650699519
"test","Categorical EM-MMIL","II_III","NK cells","IV",20,0.675092007335549,0.771367552741675
"test","Categorical EM-MMIL","II_III","B lymphocytes","IV",35,0.610183255670388,0.66214129716329
"test","Categorical EM-MMIL","II_III","T lymphocytes","IV",108,0.565432695701152,0.655496914522481
"test","Categorical EM-MMIL","II_III","Epithelial cells","IV",41,0.551807089355381,0.990432876071808
"test","Categorical EM-MMIL","II_III","Endothelial cells","IV",1,0.540104528012067,0.540104528012067
"test","Categorical EM-MMIL","II_III","Myeloid cells","IV",54,0.531253980203848,0.94021912969937
"test","Categorical EM-MMIL","II_III","Fibroblasts","IV",3,0.171614312637878,0.294684040985227
"test","Categorical EM-MMIL","II_III","MAST cells","IV",6,0.078462028119706,0.12499689679236
"test","Categorical EM-MMIL","IV","Fibroblasts","I",5,0.360585029476654,0.481507713737376
"test","Categorical EM-MMIL","IV","T lymphocytes","I",211,0.359152999480886,0.45060625842493
"test","Categorical EM-MMIL","IV","B lymphocytes","I",77,0.341323095206311,0.406523124857447
"test","Categorical EM-MMIL","IV","Undetermined","I",8,0.253188160356945,0.289192654399155
"test","Categorical EM-MMIL","IV","NK cells","I",42,0.236423025333331,0.308105625191293
"test","Categorical EM-MMIL","IV","Myeloid cells","I",146,0.164159452755115,0.326549854081052
"test","Categorical EM-MMIL","IV","Epithelial cells","I",379,0.1180930248091,0.287843425608225
"test","Categorical EM-MMIL","IV","Oligodendrocytes","I",2,0.00308557834999225,0.00447161963337683
