"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,0.860673822220767,0.75,0.6,0.829059829059829,"mean_prob"
"test","Categorical EM-MMIL",12,0.865194699936533,0.75,0.6,0.829059829059829,"median_prob"
"test","Categorical EM-MMIL",12,0.943175469467824,0.666666666666667,0.533333333333333,0.732142857142857,"q90_prob"
"test","Categorical EM-MMIL",12,0.955767286856038,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Categorical MCEM-MMIL",12,0.863763552619148,0.75,0.6,0.829059829059829,"mean_prob"
"test","Categorical MCEM-MMIL",12,0.868199326991924,0.75,0.6,0.829059829059829,"median_prob"
"test","Categorical MCEM-MMIL",12,0.944978407441231,0.666666666666667,0.533333333333333,0.732142857142857,"q90_prob"
"test","Categorical MCEM-MMIL",12,0.95378892446412,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Naive inherited-label classifier",12,0.740773698399431,0.833333333333333,0.666666666666667,0.916666666666667,"median_prob"
"test","Naive inherited-label classifier",12,0.766865228322122,0.833333333333333,0.666666666666667,0.916666666666667,"mean_prob"
"test","Naive inherited-label classifier",12,0.864646735998821,0.666666666666667,0.533333333333333,0.732142857142857,"q90_prob"
"test","Naive inherited-label classifier",12,0.945968318122996,0.5,0.4,0.479166666666667,"q99_prob"
"train","Categorical EM-MMIL",32,0.758837548565224,0.71875,0.555555555555556,0.769041769041769,"mean_prob"
"train","Categorical EM-MMIL",32,0.76521171701989,0.71875,0.555555555555556,0.769041769041769,"median_prob"
"train","Categorical EM-MMIL",32,0.81035190284201,0.71875,0.555555555555556,0.775689223057644,"q90_prob"
"train","Categorical EM-MMIL",32,0.893589249053979,0.6875,0.527777777777778,0.734615384615385,"q99_prob"
"train","Categorical MCEM-MMIL",32,0.761335409175001,0.71875,0.555555555555556,0.769041769041769,"mean_prob"
"train","Categorical MCEM-MMIL",32,0.765600247104312,0.71875,0.555555555555556,0.769041769041769,"median_prob"
"train","Categorical MCEM-MMIL",32,0.815633035657847,0.71875,0.555555555555556,0.775689223057644,"q90_prob"
"train","Categorical MCEM-MMIL",32,0.895325140891282,0.65625,0.5,0.69078947368421,"q99_prob"
"train","Naive inherited-label classifier",32,0.701812546278872,0.75,0.583333333333333,0.807971014492754,"median_prob"
"train","Naive inherited-label classifier",32,0.724411927755828,0.71875,0.555555555555556,0.769041769041769,"mean_prob"
"train","Naive inherited-label classifier",32,0.799974673172389,0.71875,0.555555555555556,0.769041769041769,"q90_prob"
"train","Naive inherited-label classifier",32,0.885106329514373,0.625,0.472222222222222,0.651260504201681,"q99_prob"
