"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.974910115901916,0.999397905962024
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.737869097294879,0.881709848360303
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.683644050435928,0.956533205747784
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.682324120238013,0.996359677920011
"test","Categorical EM-MMIL","I","NK cells","I",55,0.611003808618533,0.932708632473714
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.602569567453945,0.937999671343902
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.544597906849312,0.980685518851435
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.526350644007665,0.909760508408344
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.00561098782393996,0.00561098782393996
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.35048726374095,0.650265837845973
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.108275114975832,0.237912291176327
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.0967069702929564,0.190230526668177
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.0871449953063781,0.237447669799706
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.0472333690397187,0.16161142613637
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.0114761031998994,0.0155957509419735
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.00969485987593711,0.0184916883700178
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.00239061434462156,0.00605789535120975
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.00117270372985286,0.00117270372985286
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.993216308446207,0.993216308446207
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.37930133150553,0.850421588462047
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.365374241016504,0.996909257472237
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.310285437239677,0.857738341708431
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.306199776562088,0.994122070627488
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.269122580524353,0.686663057326829
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.165423932412164,0.384879056196018
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.104914829409738,0.342363160393104
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.0226992697534631,0.0669009580123004
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.996808923941128,0.996808923941128
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.513675808259622,0.903817928200909
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.503140874130982,0.928776858739493
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.48540712993913,0.823143531051564
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.446794835461171,0.850433216084074
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.40958864998909,0.794598690662114
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.395815519618309,0.995537781139973
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.380989840404076,0.710869168334636
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.0180098397450399,0.0268484033139316
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.515229016884405,0.84197424282739
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.120251630003502,0.244872347695074
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.0683433789630141,0.186785480190695
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.0629920979982528,0.109086862524516
