"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,0.815385547371092,0.833333333333333,0.666666666666667,0.909090909090909,"mean_prob"
"test","Categorical EM-MMIL",12,0.982989445682159,0.75,0.6,0.816666666666667,"q90_prob"
"test","Categorical EM-MMIL",12,0.997322465171336,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Categorical EM-MMIL",12,1.0309716501093,0.833333333333333,0.666666666666667,0.909090909090909,"median_prob"
"test","Categorical MCEM-MMIL",12,0.818988006238471,0.833333333333333,0.666666666666667,0.909090909090909,"mean_prob"
"test","Categorical MCEM-MMIL",12,0.989243247757745,0.75,0.6,0.816666666666667,"q90_prob"
"test","Categorical MCEM-MMIL",12,0.996595931230061,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Categorical MCEM-MMIL",12,1.03565628541126,0.833333333333333,0.666666666666667,0.909090909090909,"median_prob"
"test","Naive inherited-label classifier",12,0.683258348660334,0.833333333333333,0.666666666666667,0.909090909090909,"median_prob"
"test","Naive inherited-label classifier",12,0.730148249742558,0.833333333333333,0.666666666666667,0.909090909090909,"mean_prob"
"test","Naive inherited-label classifier",12,0.84566663338573,0.75,0.6,0.816666666666667,"q90_prob"
"test","Naive inherited-label classifier",12,0.954882650002667,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"train","Categorical EM-MMIL",32,0.522619736666588,0.90625,0.8,0.820749143329789,"mean_prob"
"train","Categorical EM-MMIL",32,0.595128844337849,0.90625,0.8,0.820749143329789,"median_prob"
"train","Categorical EM-MMIL",32,0.733722801080966,0.875,0.772222222222222,0.796309523809524,"q90_prob"
"train","Categorical EM-MMIL",32,0.880941444846409,0.8125,0.677777777777778,0.686680469289165,"q99_prob"
"train","Categorical MCEM-MMIL",32,0.523269476280448,0.90625,0.8,0.820749143329789,"mean_prob"
"train","Categorical MCEM-MMIL",32,0.606077138801341,0.90625,0.8,0.820749143329789,"median_prob"
"train","Categorical MCEM-MMIL",32,0.748443843413546,0.875,0.772222222222222,0.796309523809524,"q90_prob"
"train","Categorical MCEM-MMIL",32,0.876743349759231,0.8125,0.677777777777778,0.686680469289165,"q99_prob"
"train","Naive inherited-label classifier",32,0.459454334522066,0.90625,0.8,0.820749143329789,"median_prob"
"train","Naive inherited-label classifier",32,0.533634330633706,0.90625,0.8,0.820749143329789,"mean_prob"
"train","Naive inherited-label classifier",32,0.671056451375201,0.875,0.772222222222222,0.796309523809524,"q90_prob"
"train","Naive inherited-label classifier",32,0.845299384566919,0.78125,0.65,0.667095667095667,"q99_prob"
