"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.355770245489627,0.355770245489627
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.348186611422263,0.421166888908922
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.348046679141498,0.4218412929719
"test","Categorical EM-MMIL","I","NK cells","I",55,0.339438267114986,0.400924671640314
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.336453221607374,0.409588653842354
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.32934863891315,0.406959564896856
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.323066223989191,0.36672411631773
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.320522097526685,0.395309610257524
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.310074365197532,0.386570298940922
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.364989971117447,0.480341405664529
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.346903222887251,0.440272489008857
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.338889546576431,0.40943051119919
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.32980415011973,0.406498496806038
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.327680866636492,0.400098058588824
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.32602024848929,0.413674819620562
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.325839896916569,0.3971610681335
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.315860999133655,0.401486438524694
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.281395435639967,0.281395435639967
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.362834318870406,0.362834318870406
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.340847210967119,0.424873412342172
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.338044229434378,0.37786806940375
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.335952389444082,0.391621887803474
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.335865911756134,0.410460317814503
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.334721835968445,0.414998812599504
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.332574679586064,0.425014891979911
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.325933072369212,0.362296264007886
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.324935663685021,0.411219096052583
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.353879310200737,0.353879310200737
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.348934832606828,0.48807161544726
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.340680755745067,0.409486741721671
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.331848180792833,0.39992884631873
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.331098997291985,0.366661142933027
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.329750331448729,0.333513571358897
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.326175350828137,0.404124438538832
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.3145015912793,0.361456124838656
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.287398869697627,0.342258366414363
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.380936697016225,0.413490336581447
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.354990513976085,0.368359141994939
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.345591330991954,0.450295277908321
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.340919516176426,0.340919516176426
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.333745798099406,0.387127572836467
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.330457050580726,0.387952954909019
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.329960446936095,0.400782586538974
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.324496190771299,0.414784324721495
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.271128454275057,0.348550057612625
"test","Categorical EM-MMIL","II_III","MAST cells","IV",6,0.441472676027316,0.50218773261519
"test","Categorical EM-MMIL","II_III","B lymphocytes","IV",35,0.351752610621294,0.407178495131906
"test","Categorical EM-MMIL","II_III","NK cells","IV",20,0.338191372271073,0.385909018050298
"test","Categorical EM-MMIL","II_III","T lymphocytes","IV",108,0.328862193674207,0.405840010830947
"test","Categorical EM-MMIL","II_III","Myeloid cells","IV",54,0.328233318179909,0.416866316331326
"test","Categorical EM-MMIL","II_III","Epithelial cells","IV",41,0.326568976621873,0.415312440066436
"test","Categorical EM-MMIL","II_III","Fibroblasts","IV",3,0.31391048873193,0.346928733036573
"test","Categorical EM-MMIL","II_III","Endothelial cells","IV",1,0.305201173622837,0.305201173622837
"test","Categorical EM-MMIL","II_III","Undetermined","IV",2,0.289312971535047,0.3181033711901
"test","Categorical EM-MMIL","IV","Myeloid cells","I",146,0.339402621481072,0.407835578288756
"test","Categorical EM-MMIL","IV","Epithelial cells","I",379,0.3342348126547,0.417375102567206
"test","Categorical EM-MMIL","IV","T lymphocytes","I",211,0.331391056091985,0.399441750983699
"test","Categorical EM-MMIL","IV","B lymphocytes","I",77,0.329823772181085,0.398154866419669
"test","Categorical EM-MMIL","IV","Oligodendrocytes","I",2,0.327695402064807,0.350670834094159
"test","Categorical EM-MMIL","IV","Undetermined","I",8,0.32574438595559,0.379414110811498
"test","Categorical EM-MMIL","IV","NK cells","I",42,0.324543861967922,0.399237534416693
"test","Categorical EM-MMIL","IV","Fibroblasts","I",5,0.310668262199045,0.351732570411596
"test","Categorical EM-MMIL","IV","Oligodendrocytes","II_III",2,0.361545297772738,0.388427461776398
"test","Categorical EM-MMIL","IV","B lymphocytes","II_III",77,0.343719557899313,0.423792665742236
"test","Categorical EM-MMIL","IV","Undetermined","II_III",8,0.337737848876366,0.440582827939995
"test","Categorical EM-MMIL","IV","Myeloid cells","II_III",146,0.335404514448198,0.404544825402686
"test","Categorical EM-MMIL","IV","NK cells","II_III",42,0.334149863299543,0.421298436353917
"test","Categorical EM-MMIL","IV","T lymphocytes","II_III",211,0.332040043749014,0.401933095717494
"test","Categorical EM-MMIL","IV","Epithelial cells","II_III",379,0.331865415207822,0.412565472990556
"test","Categorical EM-MMIL","IV","Fibroblasts","II_III",5,0.280060598134949,0.325136750185706
"test","Categorical EM-MMIL","IV","Fibroblasts","IV",5,0.409271139666006,0.461587662717982
"test","Categorical EM-MMIL","IV","NK cells","IV",42,0.341306274732535,0.412406916233027
"test","Categorical EM-MMIL","IV","T lymphocytes","IV",211,0.336568900159001,0.403671310316557
"test","Categorical EM-MMIL","IV","Undetermined","IV",8,0.336517765168044,0.401502728980414
"test","Categorical EM-MMIL","IV","Epithelial cells","IV",379,0.333899772137478,0.415021647885338
"test","Categorical EM-MMIL","IV","B lymphocytes","IV",77,0.326456669919602,0.408070668401441
"test","Categorical EM-MMIL","IV","Myeloid cells","IV",146,0.32519286407073,0.403747918993105
"test","Categorical EM-MMIL","IV","Oligodendrocytes","IV",2,0.310759300162456,0.314666032136763
"test","Categorical MCEM-MMIL","I","Undetermined","I",1,0.366383910234222,0.366383910234222
"test","Categorical MCEM-MMIL","I","MAST cells","I",21,0.346384894340851,0.425682235508056
"test","Categorical MCEM-MMIL","I","NK cells","I",55,0.342772766459618,0.403600721541155
"test","Categorical MCEM-MMIL","I","Endothelial cells","I",6,0.339558435960004,0.413981775227681
"test","Categorical MCEM-MMIL","I","Myeloid cells","I",212,0.334422877740244,0.413550175654983
"test","Categorical MCEM-MMIL","I","T lymphocytes","I",273,0.329931253148789,0.407825426331894
"test","Categorical MCEM-MMIL","I","B lymphocytes","I",43,0.329179716195682,0.374259148231188
