"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,1.10195761539812,0.333333333333333,0.366666666666667,0.348148148148148,"median_prob"
"test","Categorical EM-MMIL",12,1.10342502424465,0.333333333333333,0.366666666666667,0.337878787878788,"mean_prob"
"test","Categorical EM-MMIL",12,1.10678007795612,0.416666666666667,0.433333333333333,0.407407407407407,"q90_prob"
"test","Categorical EM-MMIL",12,1.12327823424339,0.166666666666667,0.133333333333333,0.4,"q99_prob"
"test","Categorical MCEM-MMIL",12,1.09997453409706,0.416666666666667,0.433333333333333,0.41005291005291,"median_prob"
"test","Categorical MCEM-MMIL",12,1.10285270673979,0.25,0.3,0.257142857142857,"mean_prob"
"test","Categorical MCEM-MMIL",12,1.10625132789887,0.416666666666667,0.433333333333333,0.407407407407407,"q90_prob"
"test","Categorical MCEM-MMIL",12,1.11460340259531,0.25,0.2,0.306818181818182,"q99_prob"
"test","Naive inherited-label classifier",12,1.09001374671123,0.333333333333333,0.366666666666667,0.33968253968254,"median_prob"
"test","Naive inherited-label classifier",12,1.10220385666527,0.166666666666667,0.233333333333333,0.233766233766234,"mean_prob"
"test","Naive inherited-label classifier",12,1.1137001307737,0.333333333333333,0.466666666666667,0.472222222222222,"q90_prob"
"test","Naive inherited-label classifier",12,1.13043448784137,0.166666666666667,0.233333333333333,0.222222222222222,"q99_prob"
"train","Categorical EM-MMIL",32,1.09537273399433,0.34375,0.316666666666667,0.331908831908832,"median_prob"
"train","Categorical EM-MMIL",32,1.09584743487917,0.34375,0.311111111111111,0.311709224752703,"q99_prob"
"train","Categorical EM-MMIL",32,1.09636030047496,0.34375,0.316666666666667,0.323853615520282,"mean_prob"
"train","Categorical EM-MMIL",32,1.09738474227368,0.3125,0.288888888888889,0.289113355780022,"q90_prob"
"train","Categorical MCEM-MMIL",32,1.09637798738115,0.34375,0.361111111111111,0.344444444444444,"mean_prob"
"train","Categorical MCEM-MMIL",32,1.0964775375459,0.34375,0.311111111111111,0.331384015594542,"median_prob"
"train","Categorical MCEM-MMIL",32,1.0971399573151,0.34375,0.361111111111111,0.334444444444444,"q90_prob"
"train","Categorical MCEM-MMIL",32,1.09912317183206,0.40625,0.405555555555556,0.389946524064171,"q99_prob"
"train","Naive inherited-label classifier",32,1.09336750694814,0.375,0.338888888888889,0.357511425622881,"median_prob"
"train","Naive inherited-label classifier",32,1.09488898735206,0.3125,0.288888888888889,0.292107583774251,"mean_prob"
"train","Naive inherited-label classifier",32,1.09563603659623,0.3125,0.294444444444444,0.293260869565217,"q90_prob"
"train","Naive inherited-label classifier",32,1.09701261924788,0.34375,0.35,0.329004329004329,"q99_prob"
