"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.965518085977811,0.995628094812951
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.698797472208848,0.96108963536523
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.687020650320907,0.999970165976423
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.534473196821293,0.963138800916276
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.472750147931751,0.664067113807472
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.460234880725452,0.460234880725452
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.4384773790046,0.639516684319095
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.428343353607576,0.622577641673758
"test","Categorical EM-MMIL","I","NK cells","I",55,0.289848786733614,0.465000689834153
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.377275470208361,0.674388105578465
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.0059413506161781,0.0059413506161781
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.00586632104218781,0.00748403682199838
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.00579045689595176,0.00723944709945375
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.00498093698281159,0.00623601195169046
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.00393704513356686,0.00618818296816125
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.00277019900333033,0.00415333015567745
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.00196189006350448,0.00450767357374586
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.00143976106402069,0.00548534061620661
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.704284892224198,0.849358451444774
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.565866189496472,0.792551077723063
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.53382376865837,0.53382376865837
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.522268915085437,0.664565829930724
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.46158975804514,0.972167662698882
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.311539588615072,0.999640395272656
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.299240637727648,0.646156772168383
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.184247150787039,0.378708372948408
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.0317117150188584,0.0508067246836415
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.991786219703722,0.996916704990826
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.528262476215073,0.976829267013468
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.478173054034117,0.637902454475874
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.42215546773904,0.999970620365489
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.404991076211976,0.576978694149845
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.35267117129868,0.35267117129868
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.315815291654557,0.439514923439221
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.312256001885508,0.321505848173555
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.224220480638856,0.415499527826705
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.652750111925882,0.879147362410391
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.00618417598495398,0.00715398302056004
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.00575886977921755,0.00666765775488933
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.00559315425142762,0.0058583920154874
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.00493298443860079,0.00493298443860079
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.00484409915292997,0.00609805957890052
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.00355958592805205,0.00623484426752813
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.00152072072378596,0.00210423357663442
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.000689299254021358,0.0020646473482217
