"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,1.17838586133381,0.583333333333333,0.466666666666667,0.619047619047619,"mean_prob"
"test","Categorical EM-MMIL",12,1.18238030598526,0.75,0.6,0.816666666666667,"q99_prob"
"test","Categorical EM-MMIL",12,1.27839167594483,0.5,0.4,0.479166666666667,"median_prob"
"test","Categorical EM-MMIL",12,1.33156789413802,0.666666666666667,0.533333333333333,0.717948717948718,"q90_prob"
"test","Categorical MCEM-MMIL",12,1.18139739773117,0.583333333333333,0.466666666666667,0.619047619047619,"mean_prob"
"test","Categorical MCEM-MMIL",12,1.18959059829538,0.75,0.6,0.816666666666667,"q99_prob"
"test","Categorical MCEM-MMIL",12,1.28197710949033,0.5,0.4,0.479166666666667,"median_prob"
"test","Categorical MCEM-MMIL",12,1.33539739994286,0.666666666666667,0.533333333333333,0.717948717948718,"q90_prob"
"test","Naive inherited-label classifier",12,0.906546851913306,0.416666666666667,0.333333333333333,0.588235294117647,"median_prob"
"test","Naive inherited-label classifier",12,0.908577909132251,0.416666666666667,0.333333333333333,0.588235294117647,"mean_prob"
"test","Naive inherited-label classifier",12,0.93742389188804,0.5,0.4,0.479166666666667,"q99_prob"
"test","Naive inherited-label classifier",12,0.938201092004679,0.416666666666667,0.333333333333333,0.588235294117647,"q90_prob"
"train","Categorical EM-MMIL",32,1.04311507902847,0.5625,0.422222222222222,0.560526315789474,"q90_prob"
"train","Categorical EM-MMIL",32,1.08849460980666,0.59375,0.45,0.608974358974359,"mean_prob"
"train","Categorical EM-MMIL",32,1.15044624982689,0.5625,0.422222222222222,0.560526315789474,"q99_prob"
"train","Categorical EM-MMIL",32,1.28835285115484,0.59375,0.45,0.613157894736842,"median_prob"
"train","Categorical MCEM-MMIL",32,1.04762057911665,0.5625,0.422222222222222,0.560526315789474,"q90_prob"
"train","Categorical MCEM-MMIL",32,1.09265867787102,0.59375,0.45,0.608974358974359,"mean_prob"
"train","Categorical MCEM-MMIL",32,1.15260744298333,0.5625,0.422222222222222,0.560526315789474,"q99_prob"
"train","Categorical MCEM-MMIL",32,1.2949514646402,0.59375,0.45,0.613157894736842,"median_prob"
"train","Naive inherited-label classifier",32,0.864296588165341,0.46875,0.338888888888889,0.382539682539683,"q90_prob"
"train","Naive inherited-label classifier",32,0.879693052812289,0.5,0.366666666666667,0.451515151515152,"mean_prob"
"train","Naive inherited-label classifier",32,0.901955196135185,0.4375,0.311111111111111,0.608695652173913,"median_prob"
"train","Naive inherited-label classifier",32,0.931761965492336,0.46875,0.338888888888889,0.384848484848485,"q99_prob"
