"iter","delta","mean_entropy","mean_mc_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0710950117454892,0.678508041378999,0.786391897736456,0.888508466323915,0.597989949748744
2,0.0391316969217229,0.583994048403867,0.643165518648623,0.81685557485237,0.607267104754542
3,0.0236322726002177,0.523477184402434,0.548428485075045,0.806825640529137,0.619250096637031
4,0.0163788809623591,0.480611433833185,0.491883944098079,0.821757890177276,0.632006184770004
5,0.0133388425856619,0.446134114420986,0.44938456162413,0.852318756620472,0.64070351758794
6,0.0111619207241603,0.418295105518546,0.411984043891713,0.891397773262854,0.656551990722845
7,0.00768591152016967,0.399581138431257,0.390783489706855,0.926913827830007,0.66505604947816
8,0.00691832545753637,0.383194779505616,0.37120945883349,0.965568114919643,0.67240046385775
9,0.00496585682324943,0.370999079574726,0.358063749674063,0.998104731523564,0.676845767298029
10,0.00452117127563819,0.360391083349963,0.345229063088283,1.02957921097269,0.681291070738307
11,0.00347086264370321,0.351507995324735,0.335022615188268,1.05717811782704,0.681484344800928
12,0.00233873071654544,0.345798157433052,0.329739239734025,1.07499777666027,0.682450715114032
13,0.00228225109284067,0.340026625140644,0.320438554305111,1.09304786380554,0.683223811364515
14,0.00184711146464783,0.335713639250121,0.317304421307113,1.10727905675171,0.685543100115964
15,0.00162580254228519,0.331809862387707,0.313609544617188,1.11996990047698,0.685156551990723
16,0.00112932426884123,0.329289988275508,0.307506125977926,1.12822144158754,0.685736374178585
17,0.00105482808646446,0.326673694010525,0.306205352048416,1.13653708082528,0.685156551990723
18,0.00133036044570821,0.323740657409074,0.301581555519909,1.14520161298494,0.685929648241206
19,0.000768976873534968,0.322628665250253,0.300071934086655,1.14874358997098,0.685929648241206
20,0.00119710701535124,0.3220901617652,0.301080901524056,1.15002418338232,0.687089292616931
21,0.000969983452708356,0.321137222104608,0.299664031064077,1.15291362677793,0.687862388867414
22,0.000691450525256833,0.321450597684497,0.300313105725938,1.15318179851526,0.688055662930035
23,0.000772289057522165,0.320471979941095,0.298407461025859,1.15514647186278,0.687669114804793
24,0.000675063547197617,0.321087994955951,0.298241199022975,1.1529540973787,0.688635485117897
25,0.00113611333323084,0.319792876721872,0.299451836367196,1.15693916558905,0.687862388867414
26,0.000746703181499697,0.319518491459879,0.297393684548063,1.15778584363876,0.688055662930035
27,0.00089921951682664,0.319063652167641,0.29806308438038,1.15989411924474,0.687862388867414
28,0.0011738518756925,0.320303985200817,0.299336089464152,1.15397076679676,0.688055662930035
29,0.000444802595205596,0.320692283303377,0.297973804881583,1.15300867204007,0.687862388867414
30,0.0005327407247645,0.320695474969258,0.299700258330946,1.1533520178589,0.68689601855431
