"iter","delta","mean_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0819051753103318,0.629373304404346,0.810461783539539,0.714534209509084
2,0.0429619937484533,0.507736279109064,0.707653816732342,0.718592964824121
3,0.0224759431801889,0.442649326210101,0.687652911688794,0.721298801700812
4,0.0122357341106115,0.408003443774039,0.692779680877695,0.723618090452261
5,0.00712604270271948,0.388525071887108,0.703122796777416,0.724584460765365
6,0.00448075750354413,0.376760769694628,0.713310364827674,0.724391186702744
7,0.00298441959279276,0.369218517574257,0.72205138148469,0.723424816389641
8,0.00206881660137984,0.36418567145939,0.729098272457419,0.723618090452261
9,0.0014791167998511,0.36073005539512,0.734567078482032,0.723424816389641
10,0.00108704502101688,0.358290446425418,0.738746055811025,0.723424816389641
11,0.000820978695748996,0.356516075973104,0.741952516931778,0.723618090452261
12,0.000635581346766202,0.35518626068449,0.744449366223702,0.72323154232702
13,0.000503495464756422,0.354160823496097,0.746429901942076,0.72323154232702
14,0.000406921781661706,0.353349029711488,0.748031148449357,0.723038268264399
15,0.000334745257812741,0.352690768727322,0.749350090161129,0.723038268264399
16,0.000279802355561402,0.352145785463626,0.750455484652642,0.723038268264399
17,0.000237275097577299,0.351684954196209,0.751398339497122,0.723038268264399
18,0.000203922537749243,0.351288421915607,0.752215254163046,0.723038268264399
19,0.000177392495234596,0.350941785398507,0.752933428661961,0.722844994201778
20,0.000156090484158142,0.350634421102195,0.753573347775554,0.722844994201778
21,0.000138861455509619,0.350358365403881,0.754150635618589,0.722844994201778
22,0.0001248571611839,0.350107558138152,0.754677351794008,0.722844994201778
23,0.000113349158450355,0.349877324458905,0.755162906750918,0.722844994201778
24,0.000103837038529281,0.349664014365502,0.75561471575744,0.722651720139157
25,9.5926351707573e-05,0.349464747844414,0.756038672074166,0.723038268264399
