"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.849286382354027,0.957139277869236
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.663937413519517,0.804468741804837
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.614307132588696,0.973156436644802
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.566443563460261,0.778357148302552
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.54659097048605,0.90682375435907
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.515269767331056,0.761963889288765
"test","Categorical EM-MMIL","I","NK cells","I",55,0.455132352785523,0.646574964342743
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.415833697021207,0.823358079199584
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.131239374305152,0.131239374305152
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.339118727450883,0.531520784933776
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.0639520858096861,0.12742990907563
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.055421743847199,0.0873407576213368
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.0423551503724611,0.106441175045294
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.0394609252952105,0.0550742304170159
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.0371113761583429,0.0371113761583429
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.0298783542021415,0.0490324648992891
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.0155219135274412,0.0278745101771633
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.010085556787758,0.0194402075341718
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.831649249536505,0.831649249536505
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.514989293012335,0.751756514598326
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.420778146859258,0.696631308336266
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.397987285666751,0.888236728787184
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.391201286167278,0.635970875653001
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.375607310623546,0.942751135850622
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.296601661185272,0.447564336468302
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.24504757552791,0.548435103588255
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.135191704118532,0.292358482940163
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.827316482769493,0.827316482769493
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.501065143020411,0.692800990961194
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.49266534942838,0.925144275168977
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.455948722292027,0.706808683042678
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.448859603888535,0.706682943866072
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.379467759433556,0.954347499239943
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.319458761437041,0.467206430088849
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.262569634695985,0.482635327939537
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.176825857303955,0.218490406194486
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.417948811448455,0.653913117209772
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.0516563861450029,0.105969254982965
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.0488710958620964,0.0787286258909003
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.0476899543005083,0.109323396632716
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.0427774544883014,0.0500784279749694
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.0304503065800722,0.0429596678746171
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.0244006380298987,0.0429754431390403
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.0195024728402586,0.0195024728402586
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.00873926638722692,0.0167680992056485
"test","Categorical EM-MMIL","II_III","Undetermined","IV",2,0.780396688207743,0.829362210584942
"test","Categorical EM-MMIL","II_III","NK cells","IV",20,0.65614060053306,0.833461686496562
"test","Categorical EM-MMIL","II_III","Epithelial cells","IV",41,0.611792974179217,0.986793614229051
"test","Categorical EM-MMIL","II_III","B lymphocytes","IV",35,0.503450441810957,0.748335347226263
"test","Categorical EM-MMIL","II_III","T lymphocytes","IV",108,0.49239489156297,0.74916960055137
"test","Categorical EM-MMIL","II_III","MAST cells","IV",6,0.468484550399517,0.803387397445243
"test","Categorical EM-MMIL","II_III","Myeloid cells","IV",54,0.458463554709523,0.935150755708861
"test","Categorical EM-MMIL","II_III","Fibroblasts","IV",3,0.319481553855559,0.412149707750452
"test","Categorical EM-MMIL","II_III","Endothelial cells","IV",1,0.153181044390249,0.153181044390249
"test","Categorical EM-MMIL","IV","B lymphocytes","I",77,0.394797757168147,0.626328161818269
"test","Categorical EM-MMIL","IV","Fibroblasts","I",5,0.335213450532623,0.721067235514644
"test","Categorical EM-MMIL","IV","T lymphocytes","I",211,0.254790966634288,0.49861763703222
"test","Categorical EM-MMIL","IV","NK cells","I",42,0.198356892472215,0.341788582362386
"test","Categorical EM-MMIL","IV","Myeloid cells","I",146,0.110650555241394,0.358320151011599
"test","Categorical EM-MMIL","IV","Epithelial cells","I",379,0.0625297776006483,0.12313543045035
"test","Categorical EM-MMIL","IV","Undetermined","I",8,0.035862975105799,0.0658860572366908
"test","Categorical EM-MMIL","IV","Oligodendrocytes","I",2,0.0189360104545582,0.0189839637636059
"test","Categorical EM-MMIL","IV","Oligodendrocytes","II_III",2,0.112718835081745,0.181421145227644
