"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.948928060774091,0.999160720518481
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.731599988272427,0.878102961325566
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.685845210938396,0.999657435090003
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.675627328068147,0.945772903290983
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.599230945866608,0.932434915219157
"test","Categorical EM-MMIL","I","NK cells","I",55,0.573202942994449,0.909230138547169
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.544354252363665,0.905050782071029
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.521199589444999,0.985744797508653
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.00780703513718205,0.00780703513718205
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.37449046612597,0.766166605706469
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.111100657883362,0.227804788993746
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.0921019497029683,0.252546264332481
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.07548911822389,0.129924890402693
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.0502905946769869,0.168489018152274
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.0132174749431569,0.0287818536155507
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.00268588747929834,0.00547493727342002
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.00187528911557592,0.00187528911557592
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.00115899487956687,0.00332566914751203
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.990317675747242,0.990317675747242
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.413579582062394,0.873605351504773
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.344545089752972,0.994472088706907
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.311468901582306,0.994763474258628
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.308667104430423,0.856772925683561
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.274082077254866,0.691922370284689
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.192910893503683,0.468150502880196
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.104309944429032,0.342467249540239
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.0499129443463425,0.137799302464754
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.991198488914065,0.991198488914065
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.515179612178516,0.894940471343258
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.495185449141904,0.914843992709039
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.465591665687058,0.865733749056073
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.448006119294407,0.788356182760856
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.403355394406205,0.999639642522898
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.379533225200592,0.767013244242323
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.327544444869714,0.641693622700336
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.0226429428764187,0.0328516954089572
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.529693422254309,0.860694663185873
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.1141830346192,0.199695314713154
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.0665744846930147,0.200424994803931
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.0556870649007197,0.145851157898878
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.0506276523185103,0.0870211711790998
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.00759365231355293,0.0182244290098363
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.00590399106658068,0.00837525224882036
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.00107567295468166,0.00107567295468166
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.000918662858338708,0.0028488662836712
"test","Categorical EM-MMIL","II_III","Undetermined","IV",2,0.971453066057,0.984133079771779
"test","Categorical EM-MMIL","II_III","NK cells","IV",20,0.664861902816733,0.929756297793908
"test","Categorical EM-MMIL","II_III","Epithelial cells","IV",41,0.595725942735456,0.999922141273713
"test","Categorical EM-MMIL","II_III","MAST cells","IV",6,0.501366228387083,0.971020341213197
"test","Categorical EM-MMIL","II_III","B lymphocytes","IV",35,0.449127485957376,0.839427213321951
"test","Categorical EM-MMIL","II_III","Myeloid cells","IV",54,0.420225299693742,0.99873691325351
"test","Categorical EM-MMIL","II_III","T lymphocytes","IV",108,0.41824590312847,0.888896794201731
"test","Categorical EM-MMIL","II_III","Fibroblasts","IV",3,0.0907733525450985,0.182817970226909
"test","Categorical EM-MMIL","II_III","Endothelial cells","IV",1,0.007725838131253,0.007725838131253
