"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.358784572727393,0.430385382398667
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.345284882172298,0.39487408165105
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.335535928816595,0.399484720461304
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.334674621782489,0.334674621782489
"test","Categorical EM-MMIL","I","NK cells","I",55,0.331205749617936,0.378826781847915
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.330769053285007,0.394911137526418
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.329064705963579,0.375780810326245
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.324623665223345,0.39532959000391
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.303773667897186,0.367681328019382
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.3719657508208,0.45217575481978
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.338683092779113,0.429199861995485
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.335128824085084,0.383702847623891
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.334758143665309,0.40410282431997
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.332756523298679,0.405168173096115
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.329508436989491,0.385350510090205
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.328439549194052,0.395340206674155
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.315413323831051,0.336714395617452
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.299392161870263,0.299392161870263
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.365933216347248,0.365933216347248
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.340791397520942,0.416398677457591
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.336693241997542,0.430830606110841
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.336177150371112,0.382333369301589
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.33366542629698,0.380442606185144
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.331707547884726,0.390015855145669
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.325802103441556,0.386430424515326
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.325206680838211,0.368407237221918
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.324260581282014,0.403484126351758
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.388545902120694,0.416651139962465
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.343367899434464,0.422768204644083
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.339036886452469,0.478623337634269
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.338869263655559,0.338869263655559
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.335830741520385,0.380514895280875
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.335561589388938,0.400945862603155
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.329759076267075,0.382304225161928
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.326088714862159,0.377294636058987
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.284893812183703,0.313529429212034
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.361090584908497,0.385929016795959
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.341174419776864,0.397430716283745
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.339055517703655,0.411372413290421
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.332559689427484,0.389939123289362
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.329121173712408,0.369429819512522
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.319646470612113,0.426423988382191
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.318114005034736,0.375573270345217
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.273543789454558,0.290035338956242
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.258289542546099,0.258289542546099
"test","Categorical EM-MMIL","II_III","MAST cells","IV",6,0.441562398361739,0.465604003928154
"test","Categorical EM-MMIL","II_III","Endothelial cells","IV",1,0.402841193798342,0.402841193798342
"test","Categorical EM-MMIL","II_III","Epithelial cells","IV",41,0.341316642935418,0.456288456267178
"test","Categorical EM-MMIL","II_III","NK cells","IV",20,0.3385180955308,0.37433044575377
"test","Categorical EM-MMIL","II_III","B lymphocytes","IV",35,0.332736865360977,0.387060262008834
"test","Categorical EM-MMIL","II_III","T lymphocytes","IV",108,0.331878721183579,0.386126936080294
"test","Categorical EM-MMIL","II_III","Myeloid cells","IV",54,0.33118540602927,0.394370139232858
"test","Categorical EM-MMIL","II_III","Undetermined","IV",2,0.303078673571118,0.322924395444146
