"iter","delta","mean_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.095278444150875,0.573032335855262,0.720968667912305,0.772902976420564
2,0.0471486994313476,0.415791563508863,0.576415458077067,0.780247390800155
3,0.0245460088495571,0.330857770505624,0.543517135644113,0.785852338616158
4,0.0139278999371111,0.283873373374534,0.551564655219221,0.787205257054503
5,0.00839928595860129,0.256652827457927,0.571415579118246,0.790877464244298
6,0.00534427412982038,0.240177695180967,0.592110576203405,0.792810204870506
7,0.0036368329887747,0.229708517722021,0.610520886964955,0.794742945496714
8,0.00259286592940445,0.222799827780224,0.626050757743919,0.797835330498647
9,0.00195900586043672,0.218121718573946,0.638847354422507,0.799188248936993
10,0.00151458871119562,0.214951910733397,0.648951798391988,0.799961345187476
11,0.00119821323339687,0.2127768283959,0.65686145236346,0.799961345187476
12,0.000939613271525631,0.211273170370088,0.662868756864082,0.800154619250097
13,0.000732283690336491,0.210222120016139,0.667362215149147,0.799961345187476
14,0.000582810117731718,0.209479113472085,0.670717836496245,0.799574797062234
15,0.000473191110595764,0.208933963103228,0.673253723221753,0.800154619250097
16,0.000389664624689434,0.208519039464837,0.675174359444201,0.800347893312717
17,0.000329924573611524,0.208198229696354,0.676619475489759,0.800541167375338
18,0.000289463441304499,0.207942272646946,0.677753399920557,0.800734441437959
19,0.000262373960222306,0.207728960439452,0.678661411339619,0.800734441437959
20,0.000252810468572565,0.207548716016299,0.679388674608496,0.800541167375338
21,0.000250876415976295,0.207376744147759,0.680036259378684,0.80092771550058
22,0.000260483843544081,0.207204315312692,0.680641873373795,0.800154619250097
23,0.000278523401994105,0.207023949755502,0.681241647811331,0.799961345187476
24,0.000298955760549833,0.206828323129504,0.681884123693164,0.799961345187476
25,0.00031297319921856,0.206630999289111,0.682554450710479,0.799768071124855
26,0.000309304706908693,0.206444491171507,0.683241439353572,0.799768071124855
27,0.00028412683686243,0.206282870524222,0.683903463562055,0.800154619250097
28,0.000243887875202453,0.206154743705738,0.684490781818431,0.800734441437959
29,0.000199541583462265,0.206058794013669,0.684977603480074,0.80092771550058
30,0.000158742033481613,0.2059891670676,0.685362885301019,0.800541167375338
