"iter","delta","mean_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0950480972682256,0.573774430697166,0.721864870823264,0.772129880170081
2,0.0471333687112848,0.416627788707998,0.577024487399671,0.780247390800155
3,0.0247147510553948,0.331082056394839,0.543651836602567,0.785272516428295
4,0.0143141148803701,0.282777785026904,0.5519957636895,0.789911093931194
5,0.00900235355710147,0.253815925618924,0.57383474280007,0.793003478933127
6,0.00603708865624224,0.235474828779119,0.598195610822616,0.795322767684577
7,0.00430446337284413,0.223298139485253,0.621234303464902,0.798415152686509
8,0.00317087263730068,0.214957942815993,0.641390663292929,0.800347893312717
9,0.00239441417740329,0.20923490943832,0.657974326617404,0.802860456126788
10,0.00185646771540876,0.205240981777531,0.671581134052294,0.80344027831465
11,0.00146128308444787,0.202368932725901,0.682805029873367,0.803633552377271
12,0.00113847810278858,0.20032071403949,0.691554762048746,0.803633552377271
13,0.000903940515169537,0.19883876706956,0.698080587581122,0.803826826439892
14,0.000723356418986683,0.197760086395645,0.703038441380755,0.803826826439892
15,0.000609554741551843,0.196937750291439,0.706864485073414,0.803826826439892
16,0.000539751673560297,0.196276730376517,0.709915531018685,0.804213374565133
17,0.000506147859533764,0.195709889100773,0.712448557451859,0.804406648627754
18,0.000500436413703604,0.195193022446734,0.714664234491953,0.804213374565133
19,0.000506285818023188,0.194706644064362,0.716709022056089,0.804213374565133
20,0.000499277737806025,0.194259445041,0.718646439150878,0.803633552377271
21,0.000458758489861183,0.193870127553151,0.720443778536161,0.804406648627754
22,0.000392333510168229,0.193549561120284,0.722013610927372,0.804406648627754
23,0.000320984633455214,0.193293183823543,0.723314796688476,0.804020100502513
24,0.000257557766719043,0.193091913246768,0.724349905143223,0.803826826439892
25,0.000206268090662589,0.192930690679953,0.72516962522395,0.803633552377271
26,0.000166814834639715,0.192799898935435,0.725822722032682,0.803633552377271
27,0.000137070125322859,0.1926918142066,0.726347973285053,0.803826826439892
28,0.000114779860685303,0.192600734679254,0.726780388569461,0.803633552377271
29,9.79103490544991e-05,0.19252126879477,0.727146779284225,0.803633552377271
