"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,1.09995980912165,0.5,0.5,0.450793650793651,"median_prob"
"test","Categorical EM-MMIL",12,1.1035325481687,0.166666666666667,0.233333333333333,0.340909090909091,"mean_prob"
"test","Categorical EM-MMIL",12,1.10754795344959,0.25,0.3,0.274074074074074,"q99_prob"
"test","Categorical EM-MMIL",12,1.10885901925495,0.0833333333333333,0.0666666666666667,0.2,"q90_prob"
"test","Categorical MCEM-MMIL",12,1.10131291104271,0.333333333333333,0.366666666666667,0.366666666666667,"q90_prob"
"test","Categorical MCEM-MMIL",12,1.10285076260223,0.25,0.3,0.416666666666667,"mean_prob"
"test","Categorical MCEM-MMIL",12,1.10357778204941,0.25,0.3,0.366666666666667,"median_prob"
"test","Categorical MCEM-MMIL",12,1.1065224382468,0.333333333333333,0.366666666666667,0.361952861952862,"q99_prob"
"test","Naive inherited-label classifier",12,1.10489388613916,0.333333333333333,0.366666666666667,0.340740740740741,"median_prob"
"test","Naive inherited-label classifier",12,1.10548516997974,0.333333333333333,0.366666666666667,0.340740740740741,"mean_prob"
"test","Naive inherited-label classifier",12,1.10992528573095,0.0833333333333333,0.0666666666666667,0.181818181818182,"q99_prob"
"test","Naive inherited-label classifier",12,1.11308970152071,0.166666666666667,0.233333333333333,0.290909090909091,"q90_prob"
"train","Categorical EM-MMIL",32,1.1000446448091,0.3125,0.25,0.417391304347826,"q90_prob"
"train","Categorical EM-MMIL",32,1.10173132536308,0.28125,0.266666666666667,0.266268826371128,"mean_prob"
"train","Categorical EM-MMIL",32,1.10199049544767,0.34375,0.311111111111111,0.317777777777778,"median_prob"
"train","Categorical EM-MMIL",32,1.10458726407135,0.1875,0.194444444444444,0.180976430976431,"q99_prob"
"train","Categorical MCEM-MMIL",32,1.10016920437021,0.375,0.383333333333333,0.361111111111111,"q99_prob"
"train","Categorical MCEM-MMIL",32,1.10174780967522,0.25,0.244444444444444,0.236791443850267,"mean_prob"
"train","Categorical MCEM-MMIL",32,1.102239722783,0.28125,0.255555555555556,0.256553903612727,"median_prob"
"train","Categorical MCEM-MMIL",32,1.10492486989546,0.25,0.194444444444444,0.342857142857143,"q90_prob"
"train","Naive inherited-label classifier",32,1.09818537172982,0.375,0.344444444444444,0.347222222222222,"q90_prob"
"train","Naive inherited-label classifier",32,1.10291177231096,0.25,0.244444444444444,0.235289855072464,"mean_prob"
"train","Naive inherited-label classifier",32,1.10786427272564,0.21875,0.172222222222222,0.285,"median_prob"
"train","Naive inherited-label classifier",32,1.11257865005536,0.25,0.233333333333333,0.228615520282187,"q99_prob"
