"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.999936391150046,0.999996207801865
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.657245871482862,0.858705765615559
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.550427382006121,0.777215620675478
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.51398547208279,0.999681895733701
"test","Categorical EM-MMIL","I","NK cells","I",55,0.504471940421976,0.814844984771096
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.451618446452262,0.451618446452262
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.420965072209177,0.67749682952586
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.409571406226305,0.530088661910422
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.318455645676491,0.535981168266234
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.484483091898386,0.66455399367715
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.0864926145465762,0.120459531684666
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.0743486465050702,0.200148655964156
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.0128877785120588,0.0204133495128869
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.00880330064742901,0.0113854984394395
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.00774293701908702,0.0121294491372108
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.0045039209077088,0.0045039209077088
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.00127729998667166,0.00288063273190767
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,3.44350984663184e-05,7.17858237368883e-05
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.67274105367608,0.876146072225448
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.543877632640029,0.543877632640029
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.504686281285753,0.761677703271269
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.484737227930539,0.999950067006815
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.482640281065965,0.723500362824497
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.441829680974792,0.609888301295501
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.256261513970562,0.516723596059574
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.105945501875309,0.237460137788476
"test","Categorical EM-MMIL","I","MAST cells","IV",21,2.917375148763e-05,4.67871538596194e-05
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.999995594958166,0.999999199522444
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.810172616660014,0.819372774770843
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.504167195664932,0.740247590944931
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.46376769320731,0.654267257311909
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.45585326984407,0.623898339419308
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.41431198432631,0.999832485765321
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.326055148263727,0.510487904734698
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.229344828541355,0.271638712176205
