"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.728396848358399,0.944359184563093
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.640971160055045,0.951859338623901
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.584819947359215,0.969609549977083
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.57693929103663,0.855699289362717
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.575244172171288,0.934633085268739
"test","Categorical EM-MMIL","I","NK cells","I",55,0.515754757675366,0.923093344400876
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.502448182080745,0.984144322037388
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.445631591601435,0.445631591601435
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.436055141914951,0.688520796176391
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.335364433753131,0.563211873718636
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.131331052793746,0.382822763139381
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.083644944089991,0.180650144464518
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.0418340035055713,0.0759837900195316
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.0240874496597665,0.0568409067446697
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.0191925694378613,0.0465322014982774
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.015836628421312,0.015836628421312
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.00860938067916815,0.0152463202742021
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.00542855563809729,0.013806717761587
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.538531779977253,0.538531779977253
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.522110854579478,0.838668517369616
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.492123262281158,0.98375625235069
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.460157792664867,0.887496963081963
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.406570671961616,0.747670759378259
