"iter","delta","mean_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0988608815518122,0.56430407631008,0.70914214920547,0.783146501739467
2,0.0478125289523264,0.405139841567394,0.566314731476188,0.788558175492849
3,0.0248611805069637,0.319314001732841,0.536605124272891,0.791457286432161
4,0.014733613108966,0.269431673017906,0.548280622969732,0.79609586393506
5,0.00951569855805237,0.237998424424669,0.576676060072556,0.799188248936993
6,0.00645436713362032,0.217090981136687,0.612778180859579,0.803826826439892
7,0.0046199757073036,0.202886646858022,0.655249603117093,0.805566293003479
8,0.00345731750558909,0.193344654038531,0.698714329439373,0.807305759567066
9,0.00257726596524024,0.186861523014274,0.731659202417657,0.809818322381136
10,0.00199083024560796,0.18223005558026,0.751829755651131,0.810977966756861
11,0.00162324462337857,0.178739847983407,0.766620651195981,0.811751063007344
12,0.00136488772416674,0.175997413275263,0.78019167571745,0.811751063007344
13,0.00117802980800076,0.173773090723573,0.794121872218897,0.812717433320448
14,0.00108175114986691,0.171845737037558,0.812183296399185,0.814070351758794
15,0.000953948938551117,0.170350419851318,0.831582546823426,0.815036722071898
16,0.00067417140341505,0.169393712481599,0.843313460056764,0.81561654425976
17,0.000502761941929313,0.168757098465135,0.849670162911993,0.81542327019714
18,0.000401338258880077,0.168285497983109,0.853936247826831,0.815036722071898
19,0.000335076209842008,0.167918285545062,0.857185386088506,0.81542327019714
20,0.000288626375435926,0.167614713384462,0.859836262587694,0.814843448009277
21,0.000254127772979182,0.167359234589639,0.862064157696052,0.815036722071898
22,0.00022831703164585,0.167137484873143,0.863982308654708,0.815036722071898
23,0.000208209009031087,0.166942412529424,0.865659054222039,0.815036722071898
24,0.000192281257462835,0.166763929327601,0.867162195015679,0.815036722071898
25,0.000176847921018568,0.166602373382962,0.868546734848875,0.815229996134519
26,0.000165992914953275,0.166456665380537,0.86976333177356,0.815229996134519
27,0.00015651339931953,0.166322764254436,0.870885053923893,0.815036722071898
28,0.000148295453530464,0.166199513317642,0.871926256830337,0.814843448009277
29,0.00014081049711612,0.166086667711638,0.87290951959721,0.814650173946656
30,0.000134306377284802,0.165992247265608,0.873740452107112,0.814650173946656
