"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,0.900163849001517,0.75,0.6,0.816666666666667,"mean_prob"
"test","Categorical EM-MMIL",12,1.00629207762036,0.75,0.6,0.829059829059829,"q99_prob"
"test","Categorical EM-MMIL",12,1.02774040798824,0.75,0.6,0.816666666666667,"q90_prob"
"test","Categorical EM-MMIL",12,1.30300910441046,0.75,0.6,0.816666666666667,"median_prob"
"test","Categorical MCEM-MMIL",12,0.897802420627011,0.75,0.6,0.816666666666667,"mean_prob"
"test","Categorical MCEM-MMIL",12,1.0051261744872,0.75,0.6,0.829059829059829,"q99_prob"
"test","Categorical MCEM-MMIL",12,1.01350845387345,0.75,0.6,0.816666666666667,"q90_prob"
"test","Categorical MCEM-MMIL",12,1.30926539635721,0.75,0.6,0.816666666666667,"median_prob"
"test","Naive inherited-label classifier",12,0.724921178369809,0.75,0.6,0.816666666666667,"median_prob"
"test","Naive inherited-label classifier",12,0.748569014458686,0.75,0.6,0.816666666666667,"mean_prob"
"test","Naive inherited-label classifier",12,0.856727114078384,0.75,0.6,0.816666666666667,"q90_prob"
"test","Naive inherited-label classifier",12,0.94714087232166,0.75,0.6,0.829059829059829,"q99_prob"
"train","Categorical EM-MMIL",32,0.535383860744956,0.875,0.772222222222222,0.796309523809524,"mean_prob"
"train","Categorical EM-MMIL",32,0.614963523587512,0.90625,0.8,0.820749143329789,"median_prob"
"train","Categorical EM-MMIL",32,0.750849309350365,0.84375,0.705555555555555,0.707474747474747,"q90_prob"
"train","Categorical EM-MMIL",32,0.874764164655885,0.78125,0.611111111111111,0.841176470588235,"q99_prob"
"train","Categorical MCEM-MMIL",32,0.536097464423162,0.875,0.772222222222222,0.796309523809524,"mean_prob"
"train","Categorical MCEM-MMIL",32,0.625433437901729,0.90625,0.8,0.820749143329789,"median_prob"
"train","Categorical MCEM-MMIL",32,0.748569642223049,0.84375,0.705555555555555,0.707474747474747,"q90_prob"
"train","Categorical MCEM-MMIL",32,0.87254865940698,0.78125,0.611111111111111,0.841176470588235,"q99_prob"
"train","Naive inherited-label classifier",32,0.462547193571124,0.90625,0.8,0.820749143329789,"median_prob"
"train","Naive inherited-label classifier",32,0.540676049616477,0.90625,0.8,0.820749143329789,"mean_prob"
"train","Naive inherited-label classifier",32,0.691325740498321,0.84375,0.705555555555555,0.707474747474747,"q90_prob"
"train","Naive inherited-label classifier",32,0.852967038987446,0.75,0.583333333333333,0.814496314496315,"q99_prob"
