"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.355063876350507,0.394784745275942
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.341681095652613,0.408283091517872
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.333972218391383,0.333972218391383
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.333132845298347,0.405852907056885
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.332130890133775,0.393874062691132
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.32978522639686,0.397780694405381
"test","Categorical EM-MMIL","I","NK cells","I",55,0.3269393724188,0.396922767959208
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.325954522212155,0.422786493832258
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.312476885662566,0.39463926057812
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.375578998792912,0.429180063416036
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.336569712948734,0.425561142308628
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.335670537429403,0.38796323128166
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.331207064718478,0.403675651395955
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.330093882221625,0.419069619255717
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.32675079785205,0.39936218430379
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.326573325144047,0.326573325144047
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.325343136587679,0.390077988680188
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.324696236896821,0.3906785742104
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.34630982972915,0.414762969047123
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.345518536706319,0.41490011298885
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.342838413069367,0.407623831467219
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.342525973278546,0.414107148055137
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.33945445646457,0.33945445646457
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.336773272480027,0.413404952880158
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.321749191398653,0.401215331635461
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.311944115544522,0.39727596059201
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.30926558622009,0.348101976553658
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.369208070665561,0.402832019571027
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.346876155614728,0.439585230493972
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.334328346037761,0.395728752452387
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.327513509039974,0.405224979960724
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.322447629254929,0.398092439905123
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.316227758810423,0.374596028674549
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.298456655741475,0.298456655741475
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.294559988621951,0.305334018103442
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.278208619786686,0.36374748048156
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.372149153752941,0.395793504143235
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.345989631265294,0.37026737958417
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.339784902032895,0.411210027832961
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.336468596311763,0.392378580946664
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.331913323089064,0.387645860814454
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.330246039016966,0.40395125121486
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.325731312621658,0.425466787918799
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.30507959187651,0.393408072420245
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.233573157718829,0.233573157718829
"test","Categorical EM-MMIL","II_III","Endothelial cells","IV",1,0.467970186539695,0.467970186539695
"test","Categorical EM-MMIL","II_III","MAST cells","IV",6,0.416711788336804,0.489762448351077
"test","Categorical EM-MMIL","II_III","B lymphocytes","IV",35,0.347303644877814,0.425670417482208
"test","Categorical EM-MMIL","II_III","NK cells","IV",20,0.34224045194306,0.40116504629206
"test","Categorical EM-MMIL","II_III","Myeloid cells","IV",54,0.337767468712176,0.426864859053339
"test","Categorical EM-MMIL","II_III","T lymphocytes","IV",108,0.333758330873175,0.39068728733024
"test","Categorical EM-MMIL","II_III","Undetermined","IV",2,0.333290857625108,0.34616117853391
