"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,1.09839612277035,0.333333333333333,0.366666666666667,0.340740740740741,"q99_prob"
"test","Categorical EM-MMIL",12,1.10133304807793,0.25,0.3,0.416666666666667,"mean_prob"
"test","Categorical EM-MMIL",12,1.10293733560423,0.25,0.3,0.416666666666667,"median_prob"
"test","Categorical EM-MMIL",12,1.10609493785924,0.25,0.3,0.381818181818182,"q90_prob"
"test","Categorical MCEM-MMIL",12,1.08625579106442,0.5,0.5,0.481818181818182,"q99_prob"
"test","Categorical MCEM-MMIL",12,1.09913246420728,0.333333333333333,0.466666666666667,0.372222222222222,"median_prob"
"test","Categorical MCEM-MMIL",12,1.10142447304688,0.25,0.3,0.416666666666667,"mean_prob"
"test","Categorical MCEM-MMIL",12,1.10432226664747,0.333333333333333,0.366666666666667,0.407407407407407,"q90_prob"
"test","Naive inherited-label classifier",12,1.08937353738357,0.333333333333333,0.266666666666667,0.415584415584416,"q99_prob"
"test","Naive inherited-label classifier",12,1.09812014254339,0.25,0.3,0.416666666666667,"median_prob"
"test","Naive inherited-label classifier",12,1.10550875905543,0.166666666666667,0.233333333333333,0.290909090909091,"mean_prob"
"test","Naive inherited-label classifier",12,1.10856463376798,0.333333333333333,0.366666666666667,0.337878787878788,"q90_prob"
"train","Categorical EM-MMIL",32,1.09554230487815,0.4375,0.438888888888889,0.413303604607952,"q99_prob"
"train","Categorical EM-MMIL",32,1.09854971956709,0.34375,0.311111111111111,0.311688311688312,"mean_prob"
"train","Categorical EM-MMIL",32,1.09937151476732,0.25,0.194444444444444,0.328042328042328,"median_prob"
"train","Categorical EM-MMIL",32,1.10064283613529,0.34375,0.311111111111111,0.316798941798942,"q90_prob"
"train","Categorical MCEM-MMIL",32,1.09618578222199,0.40625,0.405555555555556,0.387662578966927,"q99_prob"
"train","Categorical MCEM-MMIL",32,1.09870123077984,0.3125,0.288888888888889,0.287017866728012,"mean_prob"
"train","Categorical MCEM-MMIL",32,1.09893841639727,0.25,0.244444444444444,0.234444444444444,"median_prob"
"train","Categorical MCEM-MMIL",32,1.10101025495647,0.3125,0.283333333333333,0.283501683501683,"q90_prob"
"train","Naive inherited-label classifier",32,1.0922789205993,0.5,0.483333333333333,0.47,"q99_prob"
"train","Naive inherited-label classifier",32,1.09682073328414,0.3125,0.288888888888889,0.286153846153846,"median_prob"
"train","Naive inherited-label classifier",32,1.09816609468899,0.3125,0.25,0.385185185185185,"mean_prob"
"train","Naive inherited-label classifier",32,1.09964152326349,0.3125,0.233333333333333,0.393509127789047,"q90_prob"
