experiment_id,comparison,delta,mean_delta,median_delta,pct_positive
EXP001_binary_PCAk10_glmnet_ridge_seed2026,MCEM - Naive,-0.03333333333333299,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP001_binary_PCAk10_glmnet_ridge_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP002_binary_PCAk10_glmnet_elasticnet_seed2026,MCEM - Naive,-0.03333333333333299,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP002_binary_PCAk10_glmnet_elasticnet_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP003_binary_PCAk10_glmnet_lasso_seed2026,MCEM - Naive,0,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP003_binary_PCAk10_glmnet_lasso_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP004_binary_PCAk10_xgboost_seed2026,MCEM - Naive,-0.16666666666666596,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP004_binary_PCAk10_xgboost_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP005_binary_PCAk20_glmnet_ridge_seed2026,MCEM - Naive,-0.03333333333333299,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP005_binary_PCAk20_glmnet_ridge_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP006_binary_PCAk20_glmnet_elasticnet_seed2026,MCEM - Naive,-0.09999999999999998,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP006_binary_PCAk20_glmnet_elasticnet_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP007_binary_PCAk20_glmnet_lasso_seed2026,MCEM - Naive,-0.16666666666666696,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP007_binary_PCAk20_glmnet_lasso_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP008_binary_PCAk20_xgboost_seed2026,MCEM - Naive,-0.13333333333333297,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
