rank,experiment_id,feature_method,n_components,model_backend,glmnet_alpha,model_short,aggregation,primary_metric,auroc
1,EXP005_binary_PCAk20_glmnet_ridge_seed2026,PCA,20,glmnet,0,Naive,prop_gt_0.5,1,1
2,EXP006_binary_PCAk20_glmnet_elasticnet_seed2026,PCA,20,glmnet,0.5,Naive,prop_gt_0.5,1,1
3,EXP007_binary_PCAk20_glmnet_lasso_seed2026,PCA,20,glmnet,1,Naive,prop_gt_0.5,1,1
4,EXP008_binary_PCAk20_xgboost_seed2026,PCA,20,xgboost,NA,Naive,mean_prob,1,1
5,EXP009_binary_PCAk50_glmnet_ridge_seed2026,PCA,50,glmnet,0,Naive,mean_prob,1,1
6,EXP009_binary_PCAk50_glmnet_ridge_seed2026,PCA,50,glmnet,0,EM-MMIL,median_prob,1,1
7,EXP009_binary_PCAk50_glmnet_ridge_seed2026,PCA,50,glmnet,0,MCEM-MMIL,median_prob,1,1
8,EXP010_binary_PCAk50_glmnet_elasticnet_seed2026,PCA,50,glmnet,0.5,Naive,mean_prob,1,1
9,EXP010_binary_PCAk50_glmnet_elasticnet_seed2026,PCA,50,glmnet,0.5,EM-MMIL,median_prob,1,1
10,EXP011_binary_PCAk50_glmnet_lasso_seed2026,PCA,50,glmnet,1,Naive,mean_prob,1,1
