"Stage_broad","Cell_type","n_cells","stage_total_cells","proportion_within_stage"
"I","B lymphocytes",13435,94648,0.141947003634519
"I","Endothelial cells",1546,94648,0.016334206744992
"I","Epithelial cells",8189,94648,0.0865205815231172
"I","Fibroblasts",1880,94648,0.0198630715915814
"I","MAST cells",2372,94648,0.0250612796889528
"I","Myeloid cells",20375,94648,0.21527132110557
"I","NK cells",6031,94648,0.0637203110472487
"I","T lymphocytes",40625,94648,0.429221959259572
"I","Undetermined",195,94648,0.00206026540444595
"II","B lymphocytes",2004,13007,0.154070884908126
"II","Endothelial cells",85,13007,0.00653494272314907
"II","Epithelial cells",503,13007,0.0386714845852233
"II","Fibroblasts",75,13007,0.00576612593219036
"II","MAST cells",159,13007,0.0122241869762436
"II","Myeloid cells",2832,13007,0.217728915199508
"II","NK cells",282,13007,0.0216806335050358
"II","T lymphocytes",7007,13007,0.538709925424771
"II","Undetermined",60,13007,0.00461290074575229
"III","B lymphocytes",1386,20357,0.0680846883136022
"III","Endothelial cells",365,20357,0.0179299503856167
"III","Epithelial cells",2625,20357,0.128948273321216
"III","Fibroblasts",1450,20357,0.0712285700250528
"III","MAST cells",360,20357,0.0176843346269097
"III","Myeloid cells",4048,20357,0.198850518249251
"III","NK cells",1691,20357,0.083067249594734
"III","Oligodendrocytes",394,20357,0.0193545217861178
"III","T lymphocytes",8034,20357,0.394655401090534
"III","Undetermined",4,20357,0.000196492606965663
"IV","B lymphocytes",10832,80494,0.134569036201456
"IV","Epithelial cells",25150,80494,0.312445648122841
"IV","Fibroblasts",767,80494,0.00952866052128109
"IV","MAST cells",505,80494,0.00627375953487216
"IV","Myeloid cells",14990,80494,0.186225060252938
"IV","NK cells",3547,80494,0.0440653961785972
"IV","Oligodendrocytes",322,80494,0.00400029815886898
"IV","T lymphocytes",24010,80494,0.2982831018461
"IV","Undetermined",371,80494,0.0046090391830447
