"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.429778657394618,0.386167146974063,0.0518731988472622
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.0425145168558063,0.00381679389312977,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.0286391331858498,0,0
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.0127082031329081,0,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.0103578074984873,0,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.00725943034217192,0,0
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.00399215433143612,0,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.0020749740803445,0,0
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,1.04364406574126e-08,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.159728294855025,0.0898876404494382,0.0224719101123595
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.0325128728100939,0,0
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.0288251529595548,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.0122627169741962,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.00670533263914286,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.00114258846759532,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.000785698611776382,0,0
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,5.57686008651138e-08,0,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,1e-08,0,0
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.426028811765137,0.380403458213256,0.0518731988472622
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.0416188824885155,0.00381679389312977,0
"test","MCEM-MMIL","Advanced","MAST cells",1,0.0262732287153888,0,0
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.0117095430608454,0,0
"test","MCEM-MMIL","Advanced","B lymphocytes",189,0.0109791303829269,0,0
"test","MCEM-MMIL","Advanced","T lymphocytes",392,0.00743307041329936,0,0
"test","MCEM-MMIL","Advanced","NK cells",51,0.00502243581191379,0,0
"test","MCEM-MMIL","Advanced","Undetermined",4,0.00233808294541153,0,0
"test","MCEM-MMIL","Advanced","Fibroblasts",3,1.09787370296033e-08,0,0
"test","MCEM-MMIL","Early","Epithelial cells",89,0.16227039199244,0.112359550561798,0.0224719101123595
"test","MCEM-MMIL","Early","MAST cells",12,0.0305695252919308,0,0
"test","MCEM-MMIL","Early","Myeloid cells",95,0.0283825590042021,0,0
"test","MCEM-MMIL","Early","B lymphocytes",78,0.0127996327491568,0,0
"test","MCEM-MMIL","Early","T lymphocytes",341,0.00684962486052471,0,0
"test","MCEM-MMIL","Early","Undetermined",1,0.00129199915599874,0,0
"test","MCEM-MMIL","Early","NK cells",50,0.00116657951651736,0,0
"test","MCEM-MMIL","Early","Endothelial cells",6,5.95567875326685e-08,0,0
"test","MCEM-MMIL","Early","Fibroblasts",8,1e-08,0,0
"test","Naive inherited-label classifier","Advanced","Epithelial cells",347,0.923568970353595,1,0.809798270893372
"test","Naive inherited-label classifier","Advanced","Oligodendrocytes",6,0.721785723763017,1,0.166666666666667
"test","Naive inherited-label classifier","Advanced","Fibroblasts",3,0.68352922064972,1,0
"test","Naive inherited-label classifier","Advanced","Myeloid cells",262,0.674008810492396,0.984732824427481,0.00763358778625954
"test","Naive inherited-label classifier","Advanced","NK cells",51,0.662160958516222,1,0
"test","Naive inherited-label classifier","Advanced","MAST cells",1,0.649146315255192,1,0
"test","Naive inherited-label classifier","Advanced","Undetermined",4,0.569925148531183,1,0
"test","Naive inherited-label classifier","Advanced","T lymphocytes",392,0.520801527428087,0.637755102040816,0
"test","Naive inherited-label classifier","Advanced","B lymphocytes",189,0.498853891859661,0.439153439153439,0
"test","Naive inherited-label classifier","Early","Epithelial cells",89,0.800009112440688,0.887640449438202,0.337078651685393
"test","Naive inherited-label classifier","Early","NK cells",50,0.652955044408851,1,0
"test","Naive inherited-label classifier","Early","MAST cells",12,0.647667827798219,1,0
"test","Naive inherited-label classifier","Early","Undetermined",1,0.537031311346669,1,0
"test","Naive inherited-label classifier","Early","Myeloid cells",95,0.524812814937625,0.568421052631579,0
"test","Naive inherited-label classifier","Early","Fibroblasts",8,0.519028403781402,0.5,0
"test","Naive inherited-label classifier","Early","T lymphocytes",341,0.514409649339615,0.50733137829912,0
"test","Naive inherited-label classifier","Early","B lymphocytes",78,0.492457100414047,0.384615384615385,0
"test","Naive inherited-label classifier","Early","Endothelial cells",6,0.44748606200039,0.166666666666667,0
"train","Deterministic EM-MMIL","Advanced","Epithelial cells",979,0.7730487100489,0.800817160367722,0.601634320735444
"train","Deterministic EM-MMIL","Advanced","Myeloid cells",566,0.049339542768683,0.00176678445229682,0
"train","Deterministic EM-MMIL","Advanced","MAST cells",26,0.0204747326592158,0,0
"train","Deterministic EM-MMIL","Advanced","B lymphocytes",346,0.0146481067752364,0,0
"train","Deterministic EM-MMIL","Advanced","Undetermined",13,0.0103890114118221,0,0
"train","Deterministic EM-MMIL","Advanced","T lymphocytes",993,0.00728033942286149,0,0
"train","Deterministic EM-MMIL","Advanced","NK cells",163,0.00127854064127463,0,0
"train","Deterministic EM-MMIL","Advanced","Fibroblasts",61,0.000218500471398306,0,0
"train","Deterministic EM-MMIL","Advanced","Oligodendrocytes",15,0.000103764937421813,0,0
"train","Deterministic EM-MMIL","Advanced","Endothelial cells",3,1e-08,0,0
"train","Deterministic EM-MMIL","Early","Epithelial cells",105,0.320032953248592,0.295238095238095,0.142857142857143
"train","Deterministic EM-MMIL","Early","MAST cells",45,0.0296408196447094,0,0
"train","Deterministic EM-MMIL","Early","Myeloid cells",401,0.016329462259474,0,0
"train","Deterministic EM-MMIL","Early","B lymphocytes",324,0.00992331685336505,0,0
"train","Deterministic EM-MMIL","Early","T lymphocytes",853,0.00578896014461878,0,0
"train","Deterministic EM-MMIL","Early","Undetermined",9,0.00223671587797213,0,0
"train","Deterministic EM-MMIL","Early","NK cells",94,0.000617269155110548,0,0
"train","Deterministic EM-MMIL","Early","Endothelial cells",33,7.26797741791526e-07,0,0
"train","Deterministic EM-MMIL","Early","Fibroblasts",36,1e-08,0,0
"train","MCEM-MMIL","Advanced","Epithelial cells",979,0.77205388598318,0.800817160367722,0.598569969356486
"train","MCEM-MMIL","Advanced","Myeloid cells",566,0.048479895260689,0.00176678445229682,0
"train","MCEM-MMIL","Advanced","MAST cells",26,0.018866669550024,0,0
"train","MCEM-MMIL","Advanced","B lymphocytes",346,0.0153436686338277,0,0
"train","MCEM-MMIL","Advanced","Undetermined",13,0.0111074505533416,0,0
"train","MCEM-MMIL","Advanced","T lymphocytes",993,0.00761356990526258,0,0
"train","MCEM-MMIL","Advanced","NK cells",163,0.00180271120921864,0,0
"train","MCEM-MMIL","Advanced","Oligodendrocytes",15,9.16887362908726e-05,0,0
"train","MCEM-MMIL","Advanced","Fibroblasts",61,5.81968150705607e-05,0,0
"train","MCEM-MMIL","Advanced","Endothelial cells",3,1e-08,0,0
"train","MCEM-MMIL","Early","Epithelial cells",105,0.319341809191411,0.295238095238095,0.152380952380952
"train","MCEM-MMIL","Early","MAST cells",45,0.0274062402973622,0,0
"train","MCEM-MMIL","Early","Myeloid cells",401,0.0157006745856741,0,0
"train","MCEM-MMIL","Early","B lymphocytes",324,0.010463728690085,0,0
"train","MCEM-MMIL","Early","T lymphocytes",853,0.00596955125722036,0,0
"train","MCEM-MMIL","Early","Undetermined",9,0.00254251290347972,0,0
"train","MCEM-MMIL","Early","NK cells",94,0.000931837239136621,0,0
"train","MCEM-MMIL","Early","Endothelial cells",33,7.20107989365993e-07,0,0
"train","MCEM-MMIL","Early","Fibroblasts",36,1e-08,0,0
"train","Naive inherited-label classifier","Advanced","Epithelial cells",979,0.929030254984532,0.96220633299285,0.853932584269663
"train","Naive inherited-label classifier","Advanced","NK cells",163,0.662205840993212,1,0
"train","Naive inherited-label classifier","Advanced","Oligodendrocytes",15,0.661877021344315,1,0
"train","Naive inherited-label classifier","Advanced","Myeloid cells",566,0.659451524009998,0.892226148409894,0
"train","Naive inherited-label classifier","Advanced","Undetermined",13,0.595679220899718,0.923076923076923,0
"train","Naive inherited-label classifier","Advanced","Fibroblasts",61,0.590375141873391,0.754098360655738,0.0163934426229508
"train","Naive inherited-label classifier","Advanced","MAST cells",26,0.574745654215794,0.769230769230769,0
"train","Naive inherited-label classifier","Advanced","T lymphocytes",993,0.551114919623849,0.794561933534743,0
"train","Naive inherited-label classifier","Advanced","B lymphocytes",346,0.516845915806538,0.583815028901734,0
"train","Naive inherited-label classifier","Advanced","Endothelial cells",3,0.47797982869162,0.333333333333333,0
"train","Naive inherited-label classifier","Early","Epithelial cells",105,0.752388305834168,0.780952380952381,0.40952380952381
"train","Naive inherited-label classifier","Early","NK cells",94,0.640752246870611,1,0
"train","Naive inherited-label classifier","Early","MAST cells",45,0.609194860688573,0.933333333333333,0
"train","Naive inherited-label classifier","Early","Fibroblasts",36,0.566648641471463,0.805555555555556,0
"train","Naive inherited-label classifier","Early","Undetermined",9,0.562177470573761,1,0
"train","Naive inherited-label classifier","Early","T lymphocytes",853,0.512644993891068,0.518171160609613,0
"train","Naive inherited-label classifier","Early","B lymphocytes",324,0.489935310565903,0.404320987654321,0
"train","Naive inherited-label classifier","Early","Myeloid cells",401,0.448451856883977,0.399002493765586,0
"train","Naive inherited-label classifier","Early","Endothelial cells",33,0.308556997558239,0.0606060606060606,0
