"split","model","aggregation","n_patients","n_early","n_advanced","auroc"
"test","Deterministic EM-MMIL","q99_prob",11,5,6,0.9
"test","Deterministic EM-MMIL","prop_gt_0.5",11,5,6,0.85
"test","Deterministic EM-MMIL","q90_prob",11,5,6,0.833333333333333
"test","Deterministic EM-MMIL","mean_prob",11,5,6,0.733333333333333
"test","Deterministic EM-MMIL","median_prob",11,5,6,0.733333333333333
"test","Deterministic EM-MMIL","prop_gt_0.9",11,5,6,0.7
"test","MCEM-MMIL","q99_prob",11,5,6,0.9
"test","MCEM-MMIL","prop_gt_0.5",11,5,6,0.816666666666667
"test","MCEM-MMIL","q90_prob",11,5,6,0.8
"test","MCEM-MMIL","mean_prob",11,5,6,0.733333333333333
"test","MCEM-MMIL","median_prob",11,5,6,0.733333333333333
"test","MCEM-MMIL","prop_gt_0.9",11,5,6,0.7
"test","Naive inherited-label classifier","q99_prob",11,5,6,0.9
"test","Naive inherited-label classifier","prop_gt_0.5",11,5,6,0.866666666666667
"test","Naive inherited-label classifier","mean_prob",11,5,6,0.833333333333333
"test","Naive inherited-label classifier","q90_prob",11,5,6,0.833333333333333
"test","Naive inherited-label classifier","median_prob",11,5,6,0.833333333333333
"test","Naive inherited-label classifier","prop_gt_0.9",11,5,6,0.783333333333333
"train","Deterministic EM-MMIL","mean_prob",33,15,18,0.9
"train","Deterministic EM-MMIL","prop_gt_0.5",33,15,18,0.877777777777778
"train","Deterministic EM-MMIL","q90_prob",33,15,18,0.877777777777778
"train","Deterministic EM-MMIL","q99_prob",33,15,18,0.814814814814815
"train","Deterministic EM-MMIL","prop_gt_0.9",33,15,18,0.785185185185185
"train","Deterministic EM-MMIL","median_prob",33,15,18,0.759259259259259
"train","MCEM-MMIL","mean_prob",33,15,18,0.896296296296296
"train","MCEM-MMIL","q90_prob",33,15,18,0.888888888888889
"train","MCEM-MMIL","prop_gt_0.5",33,15,18,0.877777777777778
"train","MCEM-MMIL","q99_prob",33,15,18,0.811111111111111
"train","MCEM-MMIL","prop_gt_0.9",33,15,18,0.785185185185185
"train","MCEM-MMIL","median_prob",33,15,18,0.777777777777778
"train","Naive inherited-label classifier","prop_gt_0.5",33,15,18,0.959259259259259
"train","Naive inherited-label classifier","mean_prob",33,15,18,0.948148148148148
"train","Naive inherited-label classifier","median_prob",33,15,18,0.907407407407407
"train","Naive inherited-label classifier","prop_gt_0.9",33,15,18,0.888888888888889
"train","Naive inherited-label classifier","q90_prob",33,15,18,0.881481481481481
"train","Naive inherited-label classifier","q99_prob",33,15,18,0.82962962962963
