"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.111104855984879,0.037463976945245,0.00864553314121038
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.0231202480693658,0,0
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,0.019143809719632,0,0
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.0165687975018705,0.00763358778625954,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.00669851154088974,0,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.0057423119409466,0,0
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.00565362479720338,0,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.00543523184023798,0,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.00541335317705359,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.137723151835079,0.0674157303370786,0.0337078651685393
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.0384032434195672,0.0315789473684211,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.0282362166326493,0,0
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.00839900691062211,0,0
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.00677001177488516,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.00570862757973373,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.00567162036895752,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.00563276302522797,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.00550869981853817,0,0
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.106041775813718,0.037463976945245,0.00864553314121038
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.0232121283188462,0,0
"test","MCEM-MMIL","Advanced","Fibroblasts",3,0.0167799598226945,0,0
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.0166205753081741,0.00381679389312977,0
"test","MCEM-MMIL","Advanced","MAST cells",1,0.00677992915734649,0,0
"test","MCEM-MMIL","Advanced","NK cells",51,0.00610265948389675,0,0
"test","MCEM-MMIL","Advanced","T lymphocytes",392,0.00608339902650261,0,0
"test","MCEM-MMIL","Advanced","Undetermined",4,0.00597039028070867,0,0
"test","MCEM-MMIL","Advanced","B lymphocytes",189,0.00572953867435297,0,0
"test","MCEM-MMIL","Early","Epithelial cells",89,0.133415304040641,0.0674157303370786,0.0337078651685393
"test","MCEM-MMIL","Early","Myeloid cells",95,0.038021709529781,0.0210526315789474,0
"test","MCEM-MMIL","Early","Fibroblasts",8,0.0353448293171823,0,0
"test","MCEM-MMIL","Early","Endothelial cells",6,0.00953878819321593,0,0
"test","MCEM-MMIL","Early","MAST cells",12,0.00701082695741207,0,0
"test","MCEM-MMIL","Early","Undetermined",1,0.00628908863291144,0,0
