"split","model","aggregation","n_patients","n_early","n_advanced","auroc"
"test","Deterministic EM-MMIL","q99_prob",11,5,6,0.966666666666667
"test","Deterministic EM-MMIL","prop_gt_0.5",11,5,6,0.9
"test","Deterministic EM-MMIL","mean_prob",11,5,6,0.866666666666667
"test","Deterministic EM-MMIL","q90_prob",11,5,6,0.866666666666667
"test","Deterministic EM-MMIL","median_prob",11,5,6,0.8
"test","Deterministic EM-MMIL","prop_gt_0.9",11,5,6,0.75
"test","MCEM-MMIL","q99_prob",11,5,6,0.966666666666667
"test","MCEM-MMIL","prop_gt_0.5",11,5,6,0.9
"test","MCEM-MMIL","mean_prob",11,5,6,0.866666666666667
"test","MCEM-MMIL","median_prob",11,5,6,0.866666666666667
"test","MCEM-MMIL","q90_prob",11,5,6,0.866666666666667
"test","MCEM-MMIL","prop_gt_0.9",11,5,6,0.75
"test","Naive inherited-label classifier","prop_gt_0.5",11,5,6,1
"test","Naive inherited-label classifier","mean_prob",11,5,6,0.966666666666667
"test","Naive inherited-label classifier","median_prob",11,5,6,0.966666666666667
"test","Naive inherited-label classifier","prop_gt_0.9",11,5,6,0.966666666666667
"test","Naive inherited-label classifier","q99_prob",11,5,6,0.966666666666667
"test","Naive inherited-label classifier","q90_prob",11,5,6,0.933333333333333
"train","Deterministic EM-MMIL","q90_prob",33,15,18,0.925925925925926
"train","Deterministic EM-MMIL","prop_gt_0.5",33,15,18,0.92037037037037
"train","Deterministic EM-MMIL","mean_prob",33,15,18,0.914814814814815
"train","Deterministic EM-MMIL","q99_prob",33,15,18,0.907407407407407
"train","Deterministic EM-MMIL","median_prob",33,15,18,0.862962962962963
"train","Deterministic EM-MMIL","prop_gt_0.9",33,15,18,0.725925925925926
"train","MCEM-MMIL","prop_gt_0.5",33,15,18,0.927777777777778
"train","MCEM-MMIL","q90_prob",33,15,18,0.925925925925926
"train","MCEM-MMIL","mean_prob",33,15,18,0.918518518518519
"train","MCEM-MMIL","q99_prob",33,15,18,0.907407407407407
"train","MCEM-MMIL","median_prob",33,15,18,0.855555555555556
"train","MCEM-MMIL","prop_gt_0.9",33,15,18,0.725925925925926
"train","Naive inherited-label classifier","mean_prob",33,15,18,0.97037037037037
"train","Naive inherited-label classifier","median_prob",33,15,18,0.97037037037037
"train","Naive inherited-label classifier","prop_gt_0.5",33,15,18,0.962962962962963
"train","Naive inherited-label classifier","prop_gt_0.9",33,15,18,0.914814814814815
"train","Naive inherited-label classifier","q99_prob",33,15,18,0.914814814814815
"train","Naive inherited-label classifier","q90_prob",33,15,18,0.907407407407407
