"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.802939860356178,0.833333333333333,0.666666666666667
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.661236045989118,0.769452449567723,0.123919308357349
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.0625380537527836,0.0114503816793893,0.00381679389312977
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.0256213795824398,0,0
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.0221191601961665,0,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.0208163908898303,0,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.00983218898819955,0,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.00967730257030479,0,0
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,7.28720092635193e-05,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.260139286560263,0.146067415730337,0.0112359550561798
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.0350553779962041,0,0
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.0312897914892159,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.0150158584617163,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.0136768257420602,0,0
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.0112821312877326,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.00945609801836796,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.00862530295272364,0,0
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.00311582737418559,0,0
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.814782192120724,0.833333333333333,0.666666666666667
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.652788170889829,0.76657060518732,0.109510086455331
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.0609739089588529,0.0114503816793893,0.00381679389312977
