"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.0461970657615795,0.3,1.06814034867992
2,0.0380101271045707,0.3,1.07313336258094
3,0.0301102999300335,0.3,1.11024421940079
4,0.0233420049135326,0.299880874710458,1.16306709883405
5,0.0181050055206732,0.299613421024371,1.21950272621629
6,0.014196489380174,0.29918396835978,1.27124455798266
7,0.0113405316978046,0.298703535063526,1.31470250629643
8,0.00937868053983078,0.298267550717614,1.34967985225712
9,0.00795956832383234,0.297616479991163,1.37779739591854
10,0.00669531534367638,0.296623230927614,1.40085875407272
11,0.00547255695502929,0.295365939686082,1.41996962879822
12,0.00444836217321796,0.294159078448432,1.43571586488475
13,0.00373708446316395,0.293210407704303,1.4485635735297
14,0.00329548612035226,0.292551452591153,1.45923646662578
15,0.00298320229245125,0.292048647522525,1.46851698190766
16,0.00267033770347466,0.291554158397098,1.47696565080899
17,0.00232181633999722,0.291033512886277,1.48477603309975
18,0.00195630950274728,0.290485467086755,1.4918140138463
19,0.00161502195834142,0.289943888634657,1.49790055306524
20,0.00134758263937409,0.289474567031818,1.50297090581341
21,0.00116896265625852,0.289101607940063,1.50706840206429
22,0.00104695243301598,0.288808098490551,1.51038387951493
23,0.000967502219701886,0.288580172323686,1.51311828896442
24,0.000920448220309447,0.288405578791968,1.5154307093366
25,0.000891626795057442,0.288263472353397,1.51744140046861
26,0.00088179736129856,0.288149442926886,1.51923332330413
27,0.00088270012187488,0.288049339569364,1.5208680530202
28,0.000893872209210987,0.28796024748505,1.52238602572086
29,0.000894956806726934,0.287847556305155,1.52382325983058
30,0.000878255802060314,0.287703295788392,1.52516973329441
