"split","model","aggregation","n_patients","n_early","n_advanced","auroc"
"test","Deterministic EM-MMIL","prop_gt_0.9",11,5,6,0.9
"test","Deterministic EM-MMIL","q99_prob",11,5,6,0.9
"test","Deterministic EM-MMIL","mean_prob",11,5,6,0.866666666666667
"test","Deterministic EM-MMIL","prop_gt_0.5",11,5,6,0.866666666666667
"test","Deterministic EM-MMIL","q90_prob",11,5,6,0.866666666666667
"test","Deterministic EM-MMIL","median_prob",11,5,6,0.733333333333333
"test","MCEM-MMIL","prop_gt_0.5",11,5,6,0.933333333333333
"test","MCEM-MMIL","q99_prob",11,5,6,0.933333333333333
"test","MCEM-MMIL","prop_gt_0.9",11,5,6,0.9
"test","MCEM-MMIL","mean_prob",11,5,6,0.866666666666667
"test","MCEM-MMIL","q90_prob",11,5,6,0.866666666666667
"test","MCEM-MMIL","median_prob",11,5,6,0.766666666666667
"test","Naive inherited-label classifier","prop_gt_0.5",11,5,6,1
"test","Naive inherited-label classifier","mean_prob",11,5,6,0.966666666666667
"test","Naive inherited-label classifier","median_prob",11,5,6,0.966666666666667
"test","Naive inherited-label classifier","q99_prob",11,5,6,0.966666666666667
"test","Naive inherited-label classifier","q90_prob",11,5,6,0.9
"test","Naive inherited-label classifier","prop_gt_0.9",11,5,6,0.866666666666667
"train","Deterministic EM-MMIL","mean_prob",33,15,18,0.940740740740741
"train","Deterministic EM-MMIL","prop_gt_0.5",33,15,18,0.92962962962963
"train","Deterministic EM-MMIL","q99_prob",33,15,18,0.92962962962963
"train","Deterministic EM-MMIL","q90_prob",33,15,18,0.922222222222222
"train","Deterministic EM-MMIL","prop_gt_0.9",33,15,18,0.87962962962963
"train","Deterministic EM-MMIL","median_prob",33,15,18,0.840740740740741
"train","MCEM-MMIL","mean_prob",33,15,18,0.951851851851852
"train","MCEM-MMIL","prop_gt_0.5",33,15,18,0.925925925925926
"train","MCEM-MMIL","q90_prob",33,15,18,0.925925925925926
"train","MCEM-MMIL","q99_prob",33,15,18,0.925925925925926
"train","MCEM-MMIL","prop_gt_0.9",33,15,18,0.87962962962963
"train","MCEM-MMIL","median_prob",33,15,18,0.844444444444444
"train","Naive inherited-label classifier","mean_prob",33,15,18,0.974074074074074
"train","Naive inherited-label classifier","median_prob",33,15,18,0.974074074074074
"train","Naive inherited-label classifier","prop_gt_0.5",33,15,18,0.97037037037037
"train","Naive inherited-label classifier","q90_prob",33,15,18,0.914814814814815
"train","Naive inherited-label classifier","prop_gt_0.9",33,15,18,0.907407407407407
"train","Naive inherited-label classifier","q99_prob",33,15,18,0.896296296296296
