"iter","delta","mean_q_advanced","mean_q_mc_advanced","train_logloss_inherited"
1,0.0463790506908298,0.3,0.302538177988415,1.06314072577738
2,0.0414846628632018,0.3,0.300484465508162,1.07740972164103
3,0.0335424577826064,0.299972503476857,0.298715113217483,1.13851984762702
4,0.0270494668823183,0.299667237385212,0.297577672459189,1.23137162264133
5,0.0199136183393708,0.299287718227137,0.299368088467615,1.33592381870772
6,0.0153989417611463,0.298675558395219,0.298957345971564,1.44567977702319
7,0.0129711695216384,0.298229761068968,0.299652448657188,1.55911691171561
8,0.0116245957199299,0.29702270937411,0.297851500789889,1.69430682283595
9,0.00887579674819277,0.295295698901066,0.297082675092154,1.80682945247502
10,0.00682810842008334,0.29310664671313,0.295450236966825,1.90066463292238
11,0.00620954857627192,0.291498377524437,0.294765666140074,1.99204107404333
12,0.00529734735110679,0.29023326032303,0.293175355450237,2.08869535397809
13,0.00444290246991676,0.288143282622943,0.289225908372828,2.18982285422654
14,0.00389498726697137,0.286957374294221,0.287509215376514,2.24355541428794
15,0.00401998055947575,0.287020043111738,0.287561874670879,2.29628333600522
16,0.0035137035489924,0.28685657017078,0.287467087941022,2.34772148516886
17,0.00384067693962042,0.286010644818895,0.286108478146393,2.39841223037584
18,0.00301476086621313,0.285349828858949,0.28548709847288,2.41502603167309
19,0.00288595735724148,0.284833645519597,0.285318588730911,2.43745915615817
20,0.00284642555046324,0.284224082174086,0.284676145339652,2.48413686357473
21,0.00247475658741139,0.283924008381308,0.284612954186414,2.48111375604314
22,0.00215182230988296,0.283004977395236,0.283075302790943,2.51144900257892
23,0.00191049751660961,0.283412859105334,0.284391785150079,2.49525298040802
24,0.00208451931619596,0.282119327396862,0.282411795681938,2.48587655458567
25,0.00160126645684478,0.281517990482021,0.281664033701948,2.48058347755826
26,0.00181764951088431,0.281067203110925,0.281211163770406,2.49814708669889
27,0.00225634681918049,0.280816305708021,0.281084781463928,2.49041455392594
28,0.00218253302334313,0.279728034894495,0.279652448657188,2.49436372402187
29,0.00173538179852663,0.279698506755573,0.279915745129015,2.46857448847773
30,0.00159636407369762,0.279128048971102,0.279505002632965,2.4872168955888
