"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.583276580030703,0.5,0.166666666666667
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.179211947535144,0.0979827089337176,0.00288184438040346
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.147771822125516,0.0877862595419847,0.0229007633587786
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,0.106546708092933,0,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.0648188311357382,0,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.0616377348974742,0.0105820105820106,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.0493654110835997,0.00510204081632653,0
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.0446187469985392,0,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.0190953573867866,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.0849347959195313,0.0224719101123595,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.0347378984210086,0,0
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.0202996261275674,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.0182332379322332,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.013994305485394,0,0
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.0136015400633489,0,0
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.00988453406287109,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.0090589617271176,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.00145626340220318,0,0
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.646321677623436,0.5,0.5
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.17596144431104,0.0951008645533141,0.00288184438040346
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.156158103675273,0.103053435114504,0.0267175572519084
"test","MCEM-MMIL","Advanced","Fibroblasts",3,0.098365939200385,0,0
"test","MCEM-MMIL","Advanced","Undetermined",4,0.0607969280794335,0,0
"test","MCEM-MMIL","Advanced","B lymphocytes",189,0.0572355064562082,0.0105820105820106,0
"test","MCEM-MMIL","Advanced","T lymphocytes",392,0.0537325056517721,0.0076530612244898,0
"test","MCEM-MMIL","Advanced","NK cells",51,0.0472290299216889,0,0
"test","MCEM-MMIL","Advanced","MAST cells",1,0.014952059658809,0,0
"test","MCEM-MMIL","Early","Epithelial cells",89,0.0863141505802528,0.0224719101123595,0
"test","MCEM-MMIL","Early","Fibroblasts",8,0.0277518648033045,0,0
"test","MCEM-MMIL","Early","Endothelial cells",6,0.019100234756776,0,0
"test","MCEM-MMIL","Early","B lymphocytes",78,0.016563869527977,0,0
"test","MCEM-MMIL","Early","NK cells",50,0.0156653807573329,0,0
"test","MCEM-MMIL","Early","Myeloid cells",95,0.0153606420512869,0,0
"test","MCEM-MMIL","Early","T lymphocytes",341,0.00938898451906346,0,0
"test","MCEM-MMIL","Early","MAST cells",12,0.0081100915990157,0,0
"test","MCEM-MMIL","Early","Undetermined",1,0.00152970842202239,0,0
"test","Naive inherited-label classifier","Advanced","Oligodendrocytes",6,0.991432473553635,1,1
"test","Naive inherited-label classifier","Advanced","Fibroblasts",3,0.936367560075614,1,0.666666666666667
"test","Naive inherited-label classifier","Advanced","Epithelial cells",347,0.877291763783017,0.997118155619596,0.481268011527378
"test","Naive inherited-label classifier","Advanced","Myeloid cells",262,0.815330235361471,0.919847328244275,0.450381679389313
"test","Naive inherited-label classifier","Advanced","B lymphocytes",189,0.666340606547254,0.841269841269841,0.0793650793650794
"test","Naive inherited-label classifier","Advanced","NK cells",51,0.646486642401084,0.823529411764706,0.0392156862745098
"test","Naive inherited-label classifier","Advanced","T lymphocytes",392,0.631558106555592,0.755102040816326,0.086734693877551
"test","Naive inherited-label classifier","Advanced","Undetermined",4,0.584901281568704,0.75,0
"test","Naive inherited-label classifier","Advanced","MAST cells",1,0.566862610130078,1,0
"test","Naive inherited-label classifier","Early","Epithelial cells",89,0.681912943233748,0.752808988764045,0.202247191011236
"test","Naive inherited-label classifier","Early","Fibroblasts",8,0.557284364695675,0.625,0.125
"test","Naive inherited-label classifier","Early","NK cells",50,0.49237234289036,0.48,0
"test","Naive inherited-label classifier","Early","B lymphocytes",78,0.47699563377317,0.423076923076923,0
