"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.51063447636227,0.5,0.166666666666667
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.181237442828799,0.121037463976945,0.00576368876080692
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.12849568941579,0.0801526717557252,0.0305343511450382
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,0.106522172960166,0,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.0690891227174805,0.0211640211640212,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.060105250066881,0,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.0505582900333734,0.0076530612244898,0
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.0431407682611919,0,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.017092623022722,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.0883687810018816,0.0224719101123595,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.036160570372248,0,0
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.0192932631623286,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.0162857348599343,0,0
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.0131837742056713,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.0123296942514264,0,0
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.00877065981348142,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.00733612686068803,0.00293255131964809,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.000649895248631119,0,0
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.635097288835947,0.666666666666667,0.5
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.182890593085957,0.118155619596542,0.00576368876080692
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.145306168009077,0.0954198473282443,0.0343511450381679
"test","MCEM-MMIL","Advanced","Fibroblasts",3,0.110732661564914,0,0
"test","MCEM-MMIL","Advanced","B lymphocytes",189,0.0647841488189812,0.0211640211640212,0
"test","MCEM-MMIL","Advanced","Undetermined",4,0.0575440971824628,0,0
"test","MCEM-MMIL","Advanced","T lymphocytes",392,0.0517875819087662,0.0127551020408163,0
"test","MCEM-MMIL","Advanced","NK cells",51,0.0458420591632952,0,0
"test","MCEM-MMIL","Advanced","MAST cells",1,0.0144992328378566,0,0
"test","MCEM-MMIL","Early","Epithelial cells",89,0.0912825916348618,0.0224719101123595,0
"test","MCEM-MMIL","Early","Fibroblasts",8,0.0315774471829361,0,0
"test","MCEM-MMIL","Early","Endothelial cells",6,0.0168676966498687,0,0
"test","MCEM-MMIL","Early","B lymphocytes",78,0.0155176951666531,0,0
"test","MCEM-MMIL","Early","Myeloid cells",95,0.0143818450132607,0,0
"test","MCEM-MMIL","Early","NK cells",50,0.0139092275910928,0,0
"test","MCEM-MMIL","Early","MAST cells",12,0.00739379802018813,0,0
"test","MCEM-MMIL","Early","T lymphocytes",341,0.0071909098178283,0.00293255131964809,0
"test","MCEM-MMIL","Early","Undetermined",1,0.000694347649620853,0,0
"test","Naive inherited-label classifier","Advanced","Oligodendrocytes",6,0.991334013787673,1,1
"test","Naive inherited-label classifier","Advanced","Fibroblasts",3,0.93487866276491,1,0.666666666666667
"test","Naive inherited-label classifier","Advanced","Epithelial cells",347,0.8781492572063,0.997118155619596,0.489913544668588
"test","Naive inherited-label classifier","Advanced","Myeloid cells",262,0.815913635059002,0.919847328244275,0.450381679389313
"test","Naive inherited-label classifier","Advanced","B lymphocytes",189,0.667376517936118,0.841269841269841,0.0793650793650794
"test","Naive inherited-label classifier","Advanced","NK cells",51,0.647359620223897,0.823529411764706,0.0392156862745098
"test","Naive inherited-label classifier","Advanced","T lymphocytes",392,0.631689265694676,0.755102040816326,0.0841836734693878
"test","Naive inherited-label classifier","Advanced","Undetermined",4,0.588817645531217,0.75,0
"test","Naive inherited-label classifier","Advanced","MAST cells",1,0.566878686670051,1,0
"test","Naive inherited-label classifier","Early","Epithelial cells",89,0.683607891615862,0.752808988764045,0.213483146067416
"test","Naive inherited-label classifier","Early","Fibroblasts",8,0.555179444743903,0.625,0.125
"test","Naive inherited-label classifier","Early","NK cells",50,0.492509630445708,0.48,0
"test","Naive inherited-label classifier","Early","B lymphocytes",78,0.476986379467955,0.423076923076923,0
"test","Naive inherited-label classifier","Early","MAST cells",12,0.470312784864596,0.416666666666667,0
"test","Naive inherited-label classifier","Early","Myeloid cells",95,0.389941942221806,0.336842105263158,0.0315789473684211
"test","Naive inherited-label classifier","Early","Endothelial cells",6,0.383261880721648,0.333333333333333,0
"test","Naive inherited-label classifier","Early","T lymphocytes",341,0.334603421851874,0.205278592375367,0.00293255131964809
"test","Naive inherited-label classifier","Early","Undetermined",1,0.128798869108664,0,0
