"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.605744455742856,0.688760806916426,0.0835734870317003
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.108344389558352,0.0458015267175573,0
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.0464478447393709,0,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.0171122026778923,0,0
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.0168031125061894,0,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.00885940360080959,0.00529100529100529,0
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,0.00331012046049499,0,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.00269306282135685,0,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.000630729337067453,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.309376462852808,0.247191011235955,0.0112359550561798
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.0158455341602543,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.0113503967486374,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.00959648843563803,0,0
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.00942813791840282,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.00409705501853667,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.000493167061506628,0,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.00011075146425274,0,0
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.000103867642928058,0,0
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.564307065169958,0.645533141210375,0.069164265129683
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.109581203866097,0.0458015267175573,0
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.0264490234332939,0,0
"test","MCEM-MMIL","Advanced","NK cells",51,0.0193023843873954,0,0
"test","MCEM-MMIL","Advanced","MAST cells",1,0.0115888832944765,0,0
"test","MCEM-MMIL","Advanced","B lymphocytes",189,0.00882436471815564,0.00529100529100529,0
