"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.0516968875969205,0.3,1.04164335679471
2,0.0384038466677651,0.3,1.05678204641179
3,0.0284361506819602,0.299959955765045,1.12323824215494
4,0.0214891699967347,0.299823842970538,1.21277675941727
5,0.0166970324114527,0.299660841422479,1.30934371452139
6,0.0135440194446466,0.299555323078298,1.40401593347018
7,0.0114244531708841,0.299498160961046,1.49145151972914
8,0.00997664044955432,0.299476954105625,1.56900793522917
9,0.00898263100229908,0.299473186641881,1.63647932168314
10,0.00830143245054252,0.299428966342886,1.69574553720714
11,0.00774214565224663,0.299229461895968,1.74954325916037
12,0.00699799125198291,0.298692342856223,1.80224581610677
13,0.00621861404843017,0.297828609728738,1.85342601384146
14,0.0053390463105374,0.296659429578041,1.90427556492494
15,0.00443836924371118,0.29545912367912,1.95451337108821
16,0.00361169285960255,0.294440997067748,2.00092518147751
17,0.00291184209430266,0.293624246736278,2.04124299097939
18,0.00235660739260326,0.293010728512145,2.07454050865103
19,0.00194244988368331,0.292581525266963,2.10164246848934
20,0.00163526516084833,0.292284386395216,2.1240122876312
21,0.00138495965087031,0.2920716462715,2.14241222588775
22,0.00118428099507749,0.291918381354435,2.15733881039605
23,0.00102722841966379,0.291813928529831,2.16936076566124
24,0.00090396448428751,0.291744280992608,2.17920336135613
25,0.000801764271345951,0.29169602583765,2.18739225500248
26,0.000717134404882553,0.291664222565918,2.19428233995373
27,0.00064623272162865,0.291643471517158,2.20022534212892
28,0.000585875006882448,0.291630727786521,2.20544082846728
29,0.000533886046547775,0.291623230885358,2.21009468416263
30,0.000488498139138572,0.291619174132694,2.21430223760957
