"split","model","aggregation","n_patients","n_early","n_advanced","auroc"
"test","Deterministic EM-MMIL","median_prob",11,5,6,1
"test","Deterministic EM-MMIL","mean_prob",11,5,6,0.966666666666667
"test","Deterministic EM-MMIL","q90_prob",11,5,6,0.966666666666667
"test","Deterministic EM-MMIL","q99_prob",11,5,6,0.933333333333333
"test","Deterministic EM-MMIL","prop_gt_0.9",11,5,6,0.916666666666667
"test","Deterministic EM-MMIL","prop_gt_0.5",11,5,6,0.866666666666667
"test","MCEM-MMIL","mean_prob",11,5,6,0.966666666666667
"test","MCEM-MMIL","median_prob",11,5,6,0.966666666666667
"test","MCEM-MMIL","q90_prob",11,5,6,0.966666666666667
"test","MCEM-MMIL","q99_prob",11,5,6,0.933333333333333
"test","MCEM-MMIL","prop_gt_0.9",11,5,6,0.916666666666667
"test","MCEM-MMIL","prop_gt_0.5",11,5,6,0.866666666666667
"test","Naive inherited-label classifier","mean_prob",11,5,6,1
"test","Naive inherited-label classifier","median_prob",11,5,6,1
"test","Naive inherited-label classifier","prop_gt_0.5",11,5,6,1
"test","Naive inherited-label classifier","q90_prob",11,5,6,0.966666666666667
"test","Naive inherited-label classifier","prop_gt_0.9",11,5,6,0.933333333333333
"test","Naive inherited-label classifier","q99_prob",11,5,6,0.9
"train","Deterministic EM-MMIL","q90_prob",33,15,18,0.862962962962963
"train","Deterministic EM-MMIL","mean_prob",33,15,18,0.855555555555556
"train","Deterministic EM-MMIL","q99_prob",33,15,18,0.844444444444444
"train","Deterministic EM-MMIL","median_prob",33,15,18,0.777777777777778
"train","Deterministic EM-MMIL","prop_gt_0.9",33,15,18,0.774074074074074
"train","Deterministic EM-MMIL","prop_gt_0.5",33,15,18,0.772222222222222
"train","MCEM-MMIL","q90_prob",33,15,18,0.866666666666667
"train","MCEM-MMIL","mean_prob",33,15,18,0.855555555555556
"train","MCEM-MMIL","q99_prob",33,15,18,0.840740740740741
"train","MCEM-MMIL","median_prob",33,15,18,0.788888888888889
"train","MCEM-MMIL","prop_gt_0.9",33,15,18,0.774074074074074
"train","MCEM-MMIL","prop_gt_0.5",33,15,18,0.737037037037037
"train","Naive inherited-label classifier","mean_prob",33,15,18,0.988888888888889
"train","Naive inherited-label classifier","median_prob",33,15,18,0.988888888888889
"train","Naive inherited-label classifier","prop_gt_0.5",33,15,18,0.985185185185185
"train","Naive inherited-label classifier","q90_prob",33,15,18,0.944444444444444
"train","Naive inherited-label classifier","prop_gt_0.9",33,15,18,0.911111111111111
"train","Naive inherited-label classifier","q99_prob",33,15,18,0.866666666666667
