"split","model","aggregation","n_patients","n_early","n_advanced","auroc"
"test","Deterministic EM-MMIL","median_prob",11,5,6,0.933333333333333
"test","Deterministic EM-MMIL","q90_prob",11,5,6,0.933333333333333
"test","Deterministic EM-MMIL","mean_prob",11,5,6,0.833333333333333
"test","Deterministic EM-MMIL","prop_gt_0.5",11,5,6,0.7
"test","Deterministic EM-MMIL","q99_prob",11,5,6,0.666666666666667
"test","Deterministic EM-MMIL","prop_gt_0.9",11,5,6,0.616666666666667
"test","MCEM-MMIL","q90_prob",11,5,6,0.866666666666667
"test","MCEM-MMIL","median_prob",11,5,6,0.8
"test","MCEM-MMIL","mean_prob",11,5,6,0.766666666666667
"test","MCEM-MMIL","prop_gt_0.5",11,5,6,0.7
"test","MCEM-MMIL","q99_prob",11,5,6,0.633333333333333
"test","MCEM-MMIL","prop_gt_0.9",11,5,6,0.433333333333333
"test","Naive inherited-label classifier","mean_prob",11,5,6,1
"test","Naive inherited-label classifier","prop_gt_0.5",11,5,6,1
"test","Naive inherited-label classifier","q90_prob",11,5,6,1
"test","Naive inherited-label classifier","q99_prob",11,5,6,1
"test","Naive inherited-label classifier","median_prob",11,5,6,0.966666666666667
"test","Naive inherited-label classifier","prop_gt_0.9",11,5,6,0.933333333333333
"train","Deterministic EM-MMIL","q90_prob",33,15,18,0.959259259259259
"train","Deterministic EM-MMIL","mean_prob",33,15,18,0.940740740740741
"train","Deterministic EM-MMIL","median_prob",33,15,18,0.885185185185185
"train","Deterministic EM-MMIL","q99_prob",33,15,18,0.844444444444444
"train","Deterministic EM-MMIL","prop_gt_0.5",33,15,18,0.82962962962963
"train","Deterministic EM-MMIL","prop_gt_0.9",33,15,18,0.738888888888889
"train","MCEM-MMIL","q90_prob",33,15,18,0.933333333333333
"train","MCEM-MMIL","mean_prob",33,15,18,0.896296296296296
"train","MCEM-MMIL","median_prob",33,15,18,0.885185185185185
"train","MCEM-MMIL","q99_prob",33,15,18,0.814814814814815
"train","MCEM-MMIL","prop_gt_0.5",33,15,18,0.775925925925926
"train","MCEM-MMIL","prop_gt_0.9",33,15,18,0.751851851851852
"train","Naive inherited-label classifier","mean_prob",33,15,18,1
"train","Naive inherited-label classifier","median_prob",33,15,18,1
"train","Naive inherited-label classifier","prop_gt_0.5",33,15,18,1
"train","Naive inherited-label classifier","q90_prob",33,15,18,0.992592592592593
"train","Naive inherited-label classifier","q99_prob",33,15,18,0.959259259259259
"train","Naive inherited-label classifier","prop_gt_0.9",33,15,18,0.942592592592593
