"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.816062213816271,1,0.333333333333333
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.429997738041494,0.417867435158501,0.0403458213256484
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.133092517951907,0.0725190839694656,0.0190839694656489
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.103219218884585,0,0
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,0.0715146919685067,0,0
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.0464232636632724,0,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.0461828206914938,0.0127551020408163,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.0248965167947581,0,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.00620996610490045,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.173740918489969,0.101123595505618,0.0112359550561798
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.00698784851316451,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.00643411889047208,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.00555715722311537,0,0
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.00510271198115131,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.00375724403883214,0,0
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.00232199107821861,0,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.00180170731115499,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.000347676812264844,0,0
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.82944751869114,1,0.333333333333333
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.40585191964544,0.368876080691643,0.031700288184438
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.128412866737697,0.0725190839694656,0.0190839694656489
"test","MCEM-MMIL","Advanced","NK cells",51,0.106651891651802,0,0
"test","MCEM-MMIL","Advanced","T lymphocytes",392,0.0491907423549073,0.0127551020408163,0
"test","MCEM-MMIL","Advanced","Fibroblasts",3,0.0481377998872046,0,0
"test","MCEM-MMIL","Advanced","MAST cells",1,0.0429082153339395,0,0
"test","MCEM-MMIL","Advanced","B lymphocytes",189,0.0248128382881312,0,0
"test","MCEM-MMIL","Advanced","Undetermined",4,0.00636338719860542,0,0
"test","MCEM-MMIL","Early","Epithelial cells",89,0.169190599053268,0.0786516853932584,0.0112359550561798
"test","MCEM-MMIL","Early","NK cells",50,0.00605128524724279,0,0
"test","MCEM-MMIL","Early","Endothelial cells",6,0.00581509537734772,0,0
"test","MCEM-MMIL","Early","T lymphocytes",341,0.00549422422555317,0,0
"test","MCEM-MMIL","Early","Myeloid cells",95,0.00536143204415789,0,0
"test","MCEM-MMIL","Early","B lymphocytes",78,0.00349694328825322,0,0
"test","MCEM-MMIL","Early","MAST cells",12,0.00226971902778558,0,0
"test","MCEM-MMIL","Early","Fibroblasts",8,0.000879717833877457,0,0
"test","MCEM-MMIL","Early","Undetermined",1,0.000293669894097063,0,0
"test","Naive inherited-label classifier","Advanced","Oligodendrocytes",6,0.997512338131469,1,1
"test","Naive inherited-label classifier","Advanced","Epithelial cells",347,0.939939981664518,1,0.861671469740634
"test","Naive inherited-label classifier","Advanced","Fibroblasts",3,0.866540166264314,1,0.666666666666667
"test","Naive inherited-label classifier","Advanced","MAST cells",1,0.825245843275032,1,0
"test","Naive inherited-label classifier","Advanced","Myeloid cells",262,0.815501555293332,0.958015267175573,0.458015267175573
"test","Naive inherited-label classifier","Advanced","NK cells",51,0.768154978670815,0.980392156862745,0.196078431372549
"test","Naive inherited-label classifier","Advanced","B lymphocytes",189,0.661500445589699,0.835978835978836,0.0846560846560847
"test","Naive inherited-label classifier","Advanced","T lymphocytes",392,0.599298051999822,0.686224489795918,0.0714285714285714
"test","Naive inherited-label classifier","Advanced","Undetermined",4,0.424815838524068,0.25,0
"test","Naive inherited-label classifier","Early","Epithelial cells",89,0.824910403168974,0.943820224719101,0.49438202247191
"test","Naive inherited-label classifier","Early","Fibroblasts",8,0.509699350157179,0.625,0
"test","Naive inherited-label classifier","Early","NK cells",50,0.478302379653115,0.46,0.06
"test","Naive inherited-label classifier","Early","B lymphocytes",78,0.414075200449823,0.269230769230769,0
"test","Naive inherited-label classifier","Early","MAST cells",12,0.403357630702852,0.166666666666667,0
"test","Naive inherited-label classifier","Early","Endothelial cells",6,0.382601449008852,0.5,0
"test","Naive inherited-label classifier","Early","Myeloid cells",95,0.336475637720443,0.242105263157895,0.0210526315789474
"test","Naive inherited-label classifier","Early","T lymphocytes",341,0.330706517083478,0.19941348973607,0.00879765395894428
"test","Naive inherited-label classifier","Early","Undetermined",1,0.136455407867217,0,0
"train","Deterministic EM-MMIL","Advanced","Oligodendrocytes",15,0.758423544454226,0.733333333333333,0.466666666666667
"train","Deterministic EM-MMIL","Advanced","Epithelial cells",979,0.603294884063309,0.588355464759959,0.415730337078652
"train","Deterministic EM-MMIL","Advanced","NK cells",163,0.19700307324042,0.141104294478528,0.049079754601227
"train","Deterministic EM-MMIL","Advanced","Undetermined",13,0.183051165688398,0.153846153846154,0
"train","Deterministic EM-MMIL","Advanced","T lymphocytes",993,0.177966421520884,0.148036253776435,0.0614300100704935
"train","Deterministic EM-MMIL","Advanced","Myeloid cells",566,0.173493988326508,0.123674911660777,0.0371024734982332
"train","Deterministic EM-MMIL","Advanced","Fibroblasts",61,0.0398901917567329,0.0327868852459016,0
"train","Deterministic EM-MMIL","Advanced","B lymphocytes",346,0.025038969291415,0.00867052023121387,0.00867052023121387
"train","Deterministic EM-MMIL","Advanced","MAST cells",26,0.00635819948703355,0,0
"train","Deterministic EM-MMIL","Advanced","Endothelial cells",3,0.00296052057667921,0,0
"train","Deterministic EM-MMIL","Early","Epithelial cells",105,0.0584382705942512,0.0285714285714286,0
"train","Deterministic EM-MMIL","Early","Myeloid cells",401,0.0102751583507799,0.00498753117206983,0
"train","Deterministic EM-MMIL","Early","Fibroblasts",36,0.00841903589758437,0,0
"train","Deterministic EM-MMIL","Early","NK cells",94,0.00837258663808818,0,0
"train","Deterministic EM-MMIL","Early","MAST cells",45,0.00797795364225501,0,0
"train","Deterministic EM-MMIL","Early","T lymphocytes",853,0.0064922467212974,0.00117233294255569,0
"train","Deterministic EM-MMIL","Early","Endothelial cells",33,0.00460847846573651,0,0
"train","Deterministic EM-MMIL","Early","B lymphocytes",324,0.00295213645485108,0,0
"train","Deterministic EM-MMIL","Early","Undetermined",9,0.0014919569392003,0,0
"train","MCEM-MMIL","Advanced","Oligodendrocytes",15,0.764768451767133,0.733333333333333,0.533333333333333
"train","MCEM-MMIL","Advanced","Epithelial cells",979,0.599491806236804,0.584269662921348,0.417773237997957
"train","MCEM-MMIL","Advanced","NK cells",163,0.20697741147572,0.153374233128834,0.049079754601227
"train","MCEM-MMIL","Advanced","Undetermined",13,0.187481690206929,0.153846153846154,0
"train","MCEM-MMIL","Advanced","T lymphocytes",993,0.184917479848692,0.156092648539778,0.0634441087613293
"train","MCEM-MMIL","Advanced","Myeloid cells",566,0.170158960827882,0.125441696113074,0.0353356890459364
"train","MCEM-MMIL","Advanced","Fibroblasts",61,0.0318854419880864,0.0163934426229508,0
"train","MCEM-MMIL","Advanced","B lymphocytes",346,0.0243399986159385,0.00867052023121387,0.00867052023121387
"train","MCEM-MMIL","Advanced","MAST cells",26,0.00695224850112263,0,0
"train","MCEM-MMIL","Advanced","Endothelial cells",3,0.00403593105983271,0,0
"train","MCEM-MMIL","Early","Epithelial cells",105,0.0591717405738277,0.00952380952380952,0
"train","MCEM-MMIL","Early","Myeloid cells",401,0.0103531781032256,0.00748129675810474,0
"train","MCEM-MMIL","Early","NK cells",94,0.00804169934533446,0,0
"train","MCEM-MMIL","Early","MAST cells",45,0.00773432334845036,0,0
"train","MCEM-MMIL","Early","T lymphocytes",853,0.00658501117549321,0,0
"train","MCEM-MMIL","Early","Endothelial cells",33,0.0054045984238682,0,0
"train","MCEM-MMIL","Early","Fibroblasts",36,0.0050745604944268,0,0
"train","MCEM-MMIL","Early","B lymphocytes",324,0.00267654976934979,0,0
"train","MCEM-MMIL","Early","Undetermined",9,0.00158687773051982,0,0
"train","Naive inherited-label classifier","Advanced","Oligodendrocytes",15,0.999072476947056,1,1
"train","Naive inherited-label classifier","Advanced","Epithelial cells",979,0.938581042970916,0.983656792645557,0.825331971399387
"train","Naive inherited-label classifier","Advanced","Myeloid cells",566,0.770417908459398,0.823321554770318,0.443462897526502
"train","Naive inherited-label classifier","Advanced","NK cells",163,0.757485505387206,0.846625766871166,0.404907975460123
"train","Naive inherited-label classifier","Advanced","Undetermined",13,0.752357749832607,1,0.230769230769231
"train","Naive inherited-label classifier","Advanced","T lymphocytes",993,0.707481840384338,0.779456193353474,0.289023162134945
"train","Naive inherited-label classifier","Advanced","Fibroblasts",61,0.65153952526158,0.721311475409836,0.114754098360656
"train","Naive inherited-label classifier","Advanced","B lymphocytes",346,0.633104644174141,0.765895953757225,0.0953757225433526
"train","Naive inherited-label classifier","Advanced","MAST cells",26,0.539656045836433,0.576923076923077,0.0384615384615385
"train","Naive inherited-label classifier","Advanced","Endothelial cells",3,0.38766228573536,0.333333333333333,0.333333333333333
"train","Naive inherited-label classifier","Early","Epithelial cells",105,0.63356802296816,0.695238095238095,0.19047619047619
"train","Naive inherited-label classifier","Early","Fibroblasts",36,0.542276986065625,0.583333333333333,0.0555555555555556
"train","Naive inherited-label classifier","Early","MAST cells",45,0.414643106128902,0.333333333333333,0.0222222222222222
"train","Naive inherited-label classifier","Early","NK cells",94,0.405595152268358,0.340425531914894,0
"train","Naive inherited-label classifier","Early","B lymphocytes",324,0.388974521885705,0.271604938271605,0.00308641975308642
"train","Naive inherited-label classifier","Early","T lymphocytes",853,0.332402717347699,0.227432590855803,0.0128956623681125
"train","Naive inherited-label classifier","Early","Myeloid cells",401,0.307502616275507,0.231920199501247,0.0423940149625935
"train","Naive inherited-label classifier","Early","Undetermined",9,0.259495771324559,0,0
"train","Naive inherited-label classifier","Early","Endothelial cells",33,0.220305198757939,0.0909090909090909,0
