"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"test","Deterministic EM-MMIL","Advanced","Epithelial cells",347,0.678020612266913,0.685878962536023,0.599423631123919
"test","Deterministic EM-MMIL","Advanced","MAST cells",1,0.382073551416397,0,0
"test","Deterministic EM-MMIL","Advanced","Oligodendrocytes",6,0.177805237627278,0.166666666666667,0.166666666666667
"test","Deterministic EM-MMIL","Advanced","Fibroblasts",3,0.133451549336314,0,0
"test","Deterministic EM-MMIL","Advanced","Myeloid cells",262,0.11267587187245,0.0687022900763359,0.00381679389312977
"test","Deterministic EM-MMIL","Advanced","NK cells",51,0.0708031002706026,0.0196078431372549,0
"test","Deterministic EM-MMIL","Advanced","T lymphocytes",392,0.0599727708090819,0.0102040816326531,0
"test","Deterministic EM-MMIL","Advanced","B lymphocytes",189,0.0338865871314531,0.0105820105820106,0
"test","Deterministic EM-MMIL","Advanced","Undetermined",4,0.0227963128127157,0,0
"test","Deterministic EM-MMIL","Early","Epithelial cells",89,0.407168057276292,0.382022471910112,0.337078651685393
"test","Deterministic EM-MMIL","Early","Endothelial cells",6,0.196242449261869,0.166666666666667,0
"test","Deterministic EM-MMIL","Early","MAST cells",12,0.0519483538422112,0,0
"test","Deterministic EM-MMIL","Early","T lymphocytes",341,0.0312656976017675,0,0
"test","Deterministic EM-MMIL","Early","Undetermined",1,0.0214969050139189,0,0
"test","Deterministic EM-MMIL","Early","Myeloid cells",95,0.0213082021641496,0,0
"test","Deterministic EM-MMIL","Early","B lymphocytes",78,0.0195656553125725,0,0
"test","Deterministic EM-MMIL","Early","Fibroblasts",8,0.0169895135913976,0,0
"test","Deterministic EM-MMIL","Early","NK cells",50,0.016061694463715,0,0
"test","MCEM-MMIL","Advanced","Epithelial cells",347,0.693919220383706,0.70028818443804,0.599423631123919
"test","MCEM-MMIL","Advanced","MAST cells",1,0.378498375415802,0,0
"test","MCEM-MMIL","Advanced","Oligodendrocytes",6,0.178466337112089,0.166666666666667,0.166666666666667
"test","MCEM-MMIL","Advanced","Fibroblasts",3,0.155806239073475,0,0
"test","MCEM-MMIL","Advanced","Myeloid cells",262,0.116317720938019,0.0725190839694656,0.00763358778625954
"test","MCEM-MMIL","Advanced","NK cells",51,0.0732985638428991,0.0196078431372549,0
"test","MCEM-MMIL","Advanced","T lymphocytes",392,0.0629910305035491,0.0076530612244898,0
"test","MCEM-MMIL","Advanced","B lymphocytes",189,0.0341965649079867,0.0105820105820106,0
"test","MCEM-MMIL","Advanced","Undetermined",4,0.0189370885491371,0,0
"test","MCEM-MMIL","Early","Epithelial cells",89,0.417462127544823,0.404494382022472,0.325842696629214
"test","MCEM-MMIL","Early","Endothelial cells",6,0.201706887843708,0.166666666666667,0
"test","MCEM-MMIL","Early","MAST cells",12,0.0490471792096893,0,0
"test","MCEM-MMIL","Early","T lymphocytes",341,0.0310916475681288,0,0
"test","MCEM-MMIL","Early","Myeloid cells",95,0.0201027911597569,0,0
"test","MCEM-MMIL","Early","Undetermined",1,0.018996074795723,0,0
"test","MCEM-MMIL","Early","B lymphocytes",78,0.018713463545562,0,0
"test","MCEM-MMIL","Early","Fibroblasts",8,0.0179209287161939,0,0
"test","MCEM-MMIL","Early","NK cells",50,0.0164668509270996,0,0
"test","Naive inherited-label classifier","Advanced","Epithelial cells",347,0.869497220351304,1,0.30835734870317
"test","Naive inherited-label classifier","Advanced","MAST cells",1,0.86679470539093,1,0
"test","Naive inherited-label classifier","Advanced","Oligodendrocytes",6,0.828180472056071,1,0.333333333333333
"test","Naive inherited-label classifier","Advanced","Fibroblasts",3,0.79581751426061,1,0.333333333333333
"test","Naive inherited-label classifier","Advanced","Myeloid cells",262,0.725761338272168,0.912213740458015,0.106870229007634
"test","Naive inherited-label classifier","Advanced","NK cells",51,0.66039486024894,0.901960784313726,0
"test","Naive inherited-label classifier","Advanced","B lymphocytes",189,0.648029116726426,0.830687830687831,0.0105820105820106
"test","Naive inherited-label classifier","Advanced","T lymphocytes",392,0.614296172916585,0.714285714285714,0.038265306122449
"test","Naive inherited-label classifier","Advanced","Undetermined",4,0.469601549208164,0.25,0
"test","Naive inherited-label classifier","Early","Epithelial cells",89,0.709620695770456,0.842696629213483,0.0786516853932584
"test","Naive inherited-label classifier","Early","Endothelial cells",6,0.542099465926488,0.666666666666667,0
"test","Naive inherited-label classifier","Early","MAST cells",12,0.488816988964875,0.416666666666667,0.0833333333333333
"test","Naive inherited-label classifier","Early","Fibroblasts",8,0.458508763462305,0.625,0
"test","Naive inherited-label classifier","Early","B lymphocytes",78,0.448222774152572,0.333333333333333,0
"test","Naive inherited-label classifier","Early","T lymphocytes",341,0.401293483123052,0.26099706744868,0.00293255131964809
"test","Naive inherited-label classifier","Early","Myeloid cells",95,0.383588285665763,0.252631578947368,0
"test","Naive inherited-label classifier","Early","NK cells",50,0.364184410274029,0.18,0
"test","Naive inherited-label classifier","Early","Undetermined",1,0.311765968799591,0,0
"train","Deterministic EM-MMIL","Advanced","Epithelial cells",979,0.610864753433455,0.612870275791624,0.486210418794688
"train","Deterministic EM-MMIL","Advanced","Undetermined",13,0.230323957852446,0.230769230769231,0
"train","Deterministic EM-MMIL","Advanced","T lymphocytes",993,0.142835961074699,0.13091641490433,0.00100704934541793
"train","Deterministic EM-MMIL","Advanced","Myeloid cells",566,0.132954029800772,0.0989399293286219,0
