"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,0.929910768987041,0.75,0.6,0.816666666666667,"mean_prob"
"test","Categorical EM-MMIL",12,0.955872962151448,0.75,0.6,0.818181818181818,"median_prob"
"test","Categorical EM-MMIL",12,0.977993836565336,0.5,0.4,0.479166666666667,"q90_prob"
"test","Categorical EM-MMIL",12,1.03445798384737,0.416666666666667,0.333333333333333,0.588235294117647,"q99_prob"
"test","Categorical MCEM-MMIL",12,0.929970773711528,0.75,0.6,0.816666666666667,"mean_prob"
"test","Categorical MCEM-MMIL",12,0.959793436711256,0.75,0.6,0.818181818181818,"median_prob"
"test","Categorical MCEM-MMIL",12,0.975799240822301,0.5,0.4,0.479166666666667,"q90_prob"
"test","Categorical MCEM-MMIL",12,1.03536562233004,0.416666666666667,0.333333333333333,0.588235294117647,"q99_prob"
"test","Naive inherited-label classifier",12,0.900939268600975,0.416666666666667,0.333333333333333,0.588235294117647,"median_prob"
"test","Naive inherited-label classifier",12,0.90434430804735,0.416666666666667,0.333333333333333,0.588235294117647,"mean_prob"
"test","Naive inherited-label classifier",12,0.936296977846193,0.416666666666667,0.333333333333333,0.588235294117647,"q90_prob"
"test","Naive inherited-label classifier",12,0.936663354158981,0.5,0.4,0.479166666666667,"q99_prob"
"train","Categorical EM-MMIL",32,0.901924268202731,0.65625,0.505555555555556,0.708974358974359,"q90_prob"
"train","Categorical EM-MMIL",32,0.90278165522414,0.71875,0.561111111111111,0.775,"mean_prob"
"train","Categorical EM-MMIL",32,0.962472771168885,0.5,0.361111111111111,0.403010033444816,"q99_prob"
"train","Categorical EM-MMIL",32,1.21210802995398,0.6875,0.533333333333333,0.736714975845411,"median_prob"
"train","Categorical MCEM-MMIL",32,0.900937749361862,0.65625,0.505555555555556,0.708974358974359,"q90_prob"
"train","Categorical MCEM-MMIL",32,0.903026708188578,0.71875,0.561111111111111,0.775,"mean_prob"
"train","Categorical MCEM-MMIL",32,0.962027452635729,0.46875,0.338888888888889,0.382539682539683,"q99_prob"
"train","Categorical MCEM-MMIL",32,1.21004417430226,0.6875,0.533333333333333,0.736714975845411,"median_prob"
"train","Naive inherited-label classifier",32,0.8602883594987,0.5,0.366666666666667,0.451515151515152,"q90_prob"
"train","Naive inherited-label classifier",32,0.875726944119466,0.5,0.366666666666667,0.451515151515152,"mean_prob"
"train","Naive inherited-label classifier",32,0.897912258545688,0.46875,0.338888888888889,0.382539682539683,"median_prob"
"train","Naive inherited-label classifier",32,0.930732446547235,0.46875,0.338888888888889,0.384848484848485,"q99_prob"
