"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.352408243765455,0.426551907627416
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.351259231923007,0.398178951784157
"test","Categorical EM-MMIL","I","NK cells","I",55,0.337595612816735,0.391131822092497
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.335130622494699,0.401337882730675
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.331229038639901,0.401349599340837
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.330332274506824,0.372196793387353
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.319507261179168,0.406128039382156
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.314533393131248,0.380134865306919
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.304275302890692,0.304275302890692
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.36178818263034,0.44324530422293
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.341900182922141,0.422661050699258
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.337796222239574,0.417739809601188
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.331645896033869,0.400590506439344
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.330141134480994,0.396500239812477
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.32794309054127,0.384274597725837
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.322710985096444,0.420144849685781
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.317505044577626,0.39375272817816
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.313461105659826,0.313461105659826
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.382263591449483,0.382263591449483
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.338592555898691,0.405146986490624
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.33712506532623,0.40496584141094
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.334728243024307,0.402067881486749
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.334461296641995,0.390854137056564
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.331871503253602,0.404653534862029
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.331235723499367,0.361797538964
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.324880771138101,0.375252288901979
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.323678424238412,0.388940101723869
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.3533207391009,0.441575605199362
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.350838740145913,0.355845739487266
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.35030120861915,0.35030120861915
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.337613843234872,0.408103806270689
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.334650660171447,0.416543280412584
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.332373810562998,0.404815469709882
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.319992278825854,0.381545319460553
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.318396653392643,0.398930151956315
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.280909293701102,0.324054171570941
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.362475423602772,0.37114041910243
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.353553253627796,0.353553253627796
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.342138551508521,0.391915820565663
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.33846546606047,0.462615898093248
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.33691168204684,0.392643962470568
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.322715308162216,0.374475452040087
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.322588363374106,0.410726617809018
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.304052962996516,0.370816049816617
