"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.877367508525854,0.975496060108183
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.677855056335743,0.824870538944107
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.636507366035653,0.987891719458263
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.589248872573838,0.820166258552714
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.53271315054789,0.888259187277775
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.528998220686667,0.796344025726223
"test","Categorical EM-MMIL","I","NK cells","I",55,0.479346573116095,0.697556840363508
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.43553561162747,0.884799793825183
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.102982299309423,0.102982299309423
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.355339909339263,0.560874338903348
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.0813996638833606,0.141967223454865
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.0737326078054366,0.157308411252585
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.0512975840506592,0.077598924039188
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.0458756438075551,0.128463955394931
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.0330819059422875,0.0330819059422875
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.0286570766048981,0.0519075828609182
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.0121035027864014,0.0242390877215711
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.0069721850150045,0.0136813544700861
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.863935794748289,0.863935794748289
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.491996350279007,0.762989596491476
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.397269171507896,0.701735922267186
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.385887185568749,0.913191821265814
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.364875483618607,0.636237783554124
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.356520448949342,0.958325325331819
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.270847359613598,0.436906212677011
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.209124479033266,0.533306286124766
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.110528988687745,0.258443917599477
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.876749869834516,0.876749869834516
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.496187235946635,0.712612142459548
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.47536379784547,0.898190462898639
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.465816176317253,0.744337881036682
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.457444722993993,0.749978087472915
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.387931136898994,0.977220606013455
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.327436259367634,0.496956548040139
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.290653173947956,0.550151472275943
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.149312054330246,0.190180927006554
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.437773287111454,0.699932392688093
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.0723367467491224,0.133033151734399
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.0582392941885445,0.130200542371613
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.0542448920374016,0.139426192234442
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.0420282996041341,0.0504455641204125
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.0399958816234091,0.0603112947066572
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.0223194499784987,0.0433828794938617
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.0149468907727742,0.0149468907727742
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.00615001679732338,0.0140163618248077
"test","Categorical EM-MMIL","II_III","Undetermined","IV",2,0.808659646065619,0.857945783258206
"test","Categorical EM-MMIL","II_III","NK cells","IV",20,0.650244290653868,0.850621844270345
"test","Categorical EM-MMIL","II_III","Epithelial cells","IV",41,0.605918846303683,0.993482236149457
"test","Categorical EM-MMIL","II_III","B lymphocytes","IV",35,0.488310384968606,0.767433563129206
"test","Categorical EM-MMIL","II_III","T lymphocytes","IV",108,0.475944529494202,0.767172483487034
"test","Categorical EM-MMIL","II_III","MAST cells","IV",6,0.463816882429956,0.836248394477204
"test","Categorical EM-MMIL","II_III","Myeloid cells","IV",54,0.452299455405408,0.95554019580762
"test","Categorical EM-MMIL","II_III","Fibroblasts","IV",3,0.27157353894059,0.372837257711717
"test","Categorical EM-MMIL","II_III","Endothelial cells","IV",1,0.10830323939271,0.10830323939271
"test","Categorical EM-MMIL","IV","B lymphocytes","I",77,0.398573613031554,0.660954492729555
"test","Categorical EM-MMIL","IV","Fibroblasts","I",5,0.352336382507822,0.776754738611829
"test","Categorical EM-MMIL","IV","T lymphocytes","I",211,0.245927290495542,0.521321392475227
"test","Categorical EM-MMIL","IV","NK cells","I",42,0.190142605254657,0.360126824643916
"test","Categorical EM-MMIL","IV","Myeloid cells","I",146,0.0986790610954329,0.338066279186819
"test","Categorical EM-MMIL","IV","Epithelial cells","I",379,0.0496872417165216,0.10434475553531
"test","Categorical EM-MMIL","IV","Undetermined","I",8,0.0233889734276785,0.0465350433061592
"test","Categorical EM-MMIL","IV","Oligodendrocytes","I",2,0.0112869592347374,0.011361636540076
"test","Categorical EM-MMIL","IV","Oligodendrocytes","II_III",2,0.0997955758549047,0.162911392437383
"test","Categorical EM-MMIL","IV","Fibroblasts","II_III",5,0.0478322680225332,0.0852529955534938
"test","Categorical EM-MMIL","IV","T lymphocytes","II_III",211,0.0348509012650971,0.0664013065595309
"test","Categorical EM-MMIL","IV","B lymphocytes","II_III",77,0.0254548703739301,0.0390004202864532
"test","Categorical EM-MMIL","IV","Myeloid cells","II_III",146,0.017540303338356,0.0566808619665897
"test","Categorical EM-MMIL","IV","NK cells","II_III",42,0.0125851021439933,0.0266195717996978
"test","Categorical EM-MMIL","IV","Undetermined","II_III",8,0.00753952197028385,0.0115613346091425
"test","Categorical EM-MMIL","IV","Epithelial cells","II_III",379,0.00747499482693356,0.0138105565853643
"test","Categorical EM-MMIL","IV","Undetermined","IV",8,0.969071504602038,0.986383241055257
"test","Categorical EM-MMIL","IV","Epithelial cells","IV",379,0.942837763456545,0.985487667183
"test","Categorical EM-MMIL","IV","Oligodendrocytes","IV",2,0.888917464910359,0.952107958798175
"test","Categorical EM-MMIL","IV","Myeloid cells","IV",146,0.883780635566211,0.998965887344658
"test","Categorical EM-MMIL","IV","NK cells","IV",42,0.797272292601349,0.934070472309639
"test","Categorical EM-MMIL","IV","T lymphocytes","IV",211,0.719221808239361,0.932055371341401
"test","Categorical EM-MMIL","IV","Fibroblasts","IV",5,0.599831349469645,0.928779700201252
"test","Categorical EM-MMIL","IV","B lymphocytes","IV",77,0.575971516594516,0.825372900729334
"test","Categorical MCEM-MMIL","I","Endothelial cells","I",6,0.879244169678043,0.97583081001338
"test","Categorical MCEM-MMIL","I","MAST cells","I",21,0.682361902261583,0.831151741410052
"test","Categorical MCEM-MMIL","I","Epithelial cells","I",55,0.631414819092313,0.986944911036988
"test","Categorical MCEM-MMIL","I","B lymphocytes","I",43,0.58919956211913,0.820995658796708
"test","Categorical MCEM-MMIL","I","Myeloid cells","I",212,0.531129184592097,0.888557802490224
"test","Categorical MCEM-MMIL","I","T lymphocytes","I",273,0.529543378409791,0.80020634070679
"test","Categorical MCEM-MMIL","I","NK cells","I",55,0.476527044885369,0.694181118996031
"test","Categorical MCEM-MMIL","I","Fibroblasts","I",20,0.443754163792554,0.87721456072636
"test","Categorical MCEM-MMIL","I","Undetermined","I",1,0.103472586737079,0.103472586737079
"test","Categorical MCEM-MMIL","I","Fibroblasts","II_III",20,0.346688044011682,0.548987879653259
"test","Categorical MCEM-MMIL","I","Myeloid cells","II_III",212,0.0774075949081383,0.133967796412246
"test","Categorical MCEM-MMIL","I","T lymphocytes","II_III",273,0.0731608600432631,0.155354846207211
"test","Categorical MCEM-MMIL","I","MAST cells","II_III",21,0.050755816556541,0.0783388510799062
"test","Categorical MCEM-MMIL","I","B lymphocytes","II_III",43,0.0444072545356936,0.123984074789591
"test","Categorical MCEM-MMIL","I","Undetermined","II_III",1,0.0322188450495359,0.0322188450495359
"test","Categorical MCEM-MMIL","I","NK cells","II_III",55,0.0316551142227632,0.0563864113959582
"test","Categorical MCEM-MMIL","I","Endothelial cells","II_III",6,0.012816382751942,0.0250241145399455
"test","Categorical MCEM-MMIL","I","Epithelial cells","II_III",55,0.00728386756190928,0.0146265051959318
"test","Categorical MCEM-MMIL","I","Undetermined","IV",1,0.864308568213385,0.864308568213385
"test","Categorical MCEM-MMIL","I","NK cells","IV",55,0.491817840891868,0.762551907788406
"test","Categorical MCEM-MMIL","I","T lymphocytes","IV",273,0.397295761546946,0.707015870224445
"test","Categorical MCEM-MMIL","I","Myeloid cells","IV",212,0.391463220499764,0.915591066619307
"test","Categorical MCEM-MMIL","I","B lymphocytes","IV",43,0.366393183345176,0.637592377787261
"test","Categorical MCEM-MMIL","I","Epithelial cells","IV",55,0.361301313345778,0.960267582887368
"test","Categorical MCEM-MMIL","I","MAST cells","IV",21,0.266882281181876,0.429897494166239
"test","Categorical MCEM-MMIL","I","Fibroblasts","IV",20,0.209557792195765,0.534621007657272
