"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.959944764972556,0.999481619111675
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.721624012252406,0.867247256178449
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.687303868812538,0.999934783886034
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.6716853156736,0.950725700248898
"test","Categorical EM-MMIL","I","NK cells","I",55,0.594487194253769,0.910421607521562
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.591619531864225,0.924160502182583
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.565270246032155,0.989296592388081
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.52704605418695,0.897787728870884
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.0131089399094393,0.0131089399094393
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.325521544616214,0.640676352147204
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.112002878514264,0.236307663779971
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.0987489579976206,0.17957009690214
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.0861550280617082,0.224358491632705
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.047334779718011,0.174467505435311
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.013737301555208,0.0272610089888975
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.00295472301552509,0.00295472301552509
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.00251750377186015,0.00699722584034217
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.00058770754817328,0.00170058070081396
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.983936337075036,0.983936337075036
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.391775504191024,0.825360213526604
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.360951067298786,0.992981246195044
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.322225440074067,0.833241722660326
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.312108423639289,0.993366835585338
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.280979904608389,0.664909133227383
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.179627029749973,0.400312096006608
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.109208209351631,0.380647729153174
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.0375377312555841,0.108398084817101
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.992369137551501,0.992369137551501
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.510014136757944,0.883702493432659
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.490690029535215,0.904433529982831
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.470727688335637,0.789493597738122
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.449239539546782,0.863937788466142
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.424796015627132,0.798117725443662
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.403089425064465,0.99983636609083
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.375676845144018,0.671675029783441
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.0346267337636864,0.050563960620177
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.478438154486792,0.791374172116954
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.115943875072186,0.233276099827633
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.0807052689830844,0.143670689041473
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.0655037127705693,0.185683659925719
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.0606876371505325,0.185980213698439
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.00875143667980052,0.0206366640460652
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.00866339696608048,0.01232385170879
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.001600438630529,0.001600438630529
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.000564430057809641,0.00195501765555558
"test","Categorical EM-MMIL","II_III","Undetermined","IV",2,0.956709869270233,0.976307550869433
"test","Categorical EM-MMIL","II_III","NK cells","IV",20,0.615571718176181,0.905259378229109
"test","Categorical EM-MMIL","II_III","Epithelial cells","IV",41,0.596346144877726,0.99989513738701
"test","Categorical EM-MMIL","II_III","B lymphocytes","IV",35,0.448622333314252,0.860459908600224
"test","Categorical EM-MMIL","II_III","MAST cells","IV",6,0.448567042681279,0.946018736232621
"test","Categorical EM-MMIL","II_III","Myeloid cells","IV",54,0.434816585381032,0.997797559446546
"test","Categorical EM-MMIL","II_III","T lymphocytes","IV",108,0.424482150471487,0.860674148245865
"test","Categorical EM-MMIL","II_III","Fibroblasts","IV",3,0.0967658298860762,0.198967410578533
"test","Categorical EM-MMIL","II_III","Endothelial cells","IV",1,0.00603042381797005,0.00603042381797005
"test","Categorical EM-MMIL","IV","Fibroblasts","I",5,0.437095894716312,0.964594188201968
"test","Categorical EM-MMIL","IV","B lymphocytes","I",77,0.39994477197416,0.795410985765159
"test","Categorical EM-MMIL","IV","T lymphocytes","I",211,0.217173102866697,0.619690162912763
