"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,0.825104495489558,0.833333333333333,0.666666666666667,0.909090909090909,"mean_prob"
"test","Categorical EM-MMIL",12,0.909991521858185,0.833333333333333,0.666666666666667,0.916666666666667,"median_prob"
"test","Categorical EM-MMIL",12,0.945452590034589,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Categorical EM-MMIL",12,1.01019183062707,0.666666666666667,0.533333333333333,0.732142857142857,"q90_prob"
"test","Categorical MCEM-MMIL",12,0.825173026903437,0.833333333333333,0.666666666666667,0.909090909090909,"mean_prob"
"test","Categorical MCEM-MMIL",12,0.901778698325512,0.833333333333333,0.666666666666667,0.916666666666667,"median_prob"
"test","Categorical MCEM-MMIL",12,0.943266286912103,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Categorical MCEM-MMIL",12,1.0092025618895,0.666666666666667,0.533333333333333,0.732142857142857,"q90_prob"
"test","Naive inherited-label classifier",12,0.714336143191238,0.833333333333333,0.666666666666667,0.909090909090909,"median_prob"
"test","Naive inherited-label classifier",12,0.748865009381489,0.833333333333333,0.666666666666667,0.916666666666667,"mean_prob"
"test","Naive inherited-label classifier",12,0.863282657341523,0.666666666666667,0.533333333333333,0.732142857142857,"q90_prob"
"test","Naive inherited-label classifier",12,0.951114363644734,0.5,0.4,0.479166666666667,"q99_prob"
"train","Categorical EM-MMIL",32,0.699527453997549,0.71875,0.555555555555556,0.769041769041769,"mean_prob"
"train","Categorical EM-MMIL",32,0.720252757157115,0.78125,0.611111111111111,0.845238095238095,"median_prob"
"train","Categorical EM-MMIL",32,0.839542380621742,0.71875,0.555555555555556,0.775689223057644,"q90_prob"
"train","Categorical EM-MMIL",32,0.911492142939927,0.625,0.472222222222222,0.643631436314363,"q99_prob"
"train","Categorical MCEM-MMIL",32,0.699136535808022,0.71875,0.555555555555556,0.769041769041769,"mean_prob"
"train","Categorical MCEM-MMIL",32,0.725612158506792,0.78125,0.611111111111111,0.841176470588235,"median_prob"
"train","Categorical MCEM-MMIL",32,0.845367404209729,0.71875,0.555555555555556,0.775689223057644,"q90_prob"
"train","Categorical MCEM-MMIL",32,0.905929755374586,0.625,0.472222222222222,0.643631436314363,"q99_prob"
"train","Naive inherited-label classifier",32,0.676353424475146,0.75,0.583333333333333,0.807971014492754,"median_prob"
"train","Naive inherited-label classifier",32,0.706333601558358,0.71875,0.555555555555556,0.769041769041769,"mean_prob"
"train","Naive inherited-label classifier",32,0.78977346778382,0.71875,0.555555555555556,0.769041769041769,"q90_prob"
"train","Naive inherited-label classifier",32,0.886614658737664,0.625,0.472222222222222,0.651260504201681,"q99_prob"
