"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,1.09628978070428,0.416666666666667,0.433333333333333,0.414814814814815,"median_prob"
"test","Categorical EM-MMIL",12,1.09826931439199,0.416666666666667,0.433333333333333,0.395238095238095,"mean_prob"
"test","Categorical EM-MMIL",12,1.10185394218583,0.5,0.5,0.481481481481481,"q90_prob"
"test","Categorical EM-MMIL",12,1.10662024094864,0.0833333333333333,0.0666666666666667,0.181818181818182,"q99_prob"
"test","Categorical MCEM-MMIL",12,1.09262606427762,0.5,0.6,0.484126984126984,"median_prob"
"test","Categorical MCEM-MMIL",12,1.09940410225666,0.416666666666667,0.433333333333333,0.395238095238095,"mean_prob"
"test","Categorical MCEM-MMIL",12,1.10457612602973,0.5,0.5,0.481481481481481,"q90_prob"
"test","Categorical MCEM-MMIL",12,1.10985096684949,0.166666666666667,0.233333333333333,0.242857142857143,"q99_prob"
"test","Naive inherited-label classifier",12,1.08834202426521,0.416666666666667,0.433333333333333,0.388167388167388,"median_prob"
"test","Naive inherited-label classifier",12,1.09892489771714,0.333333333333333,0.366666666666667,0.327561327561328,"mean_prob"
"test","Naive inherited-label classifier",12,1.10753798350211,0.5,0.6,0.485714285714286,"q90_prob"
"test","Naive inherited-label classifier",12,1.11805680035421,0.25,0.3,0.347222222222222,"q99_prob"
"train","Categorical EM-MMIL",32,1.09251573269899,0.5,0.522222222222222,0.487610428786899,"q90_prob"
"train","Categorical EM-MMIL",32,1.09568371004924,0.4375,0.427777777777778,0.425925925925926,"mean_prob"
"train","Categorical EM-MMIL",32,1.09761808519009,0.40625,0.4,0.384603750756201,"median_prob"
"train","Categorical EM-MMIL",32,1.10183022792139,0.4375,0.472222222222222,0.434920634920635,"q99_prob"
"train","Categorical MCEM-MMIL",32,1.09236578828636,0.40625,0.366666666666667,0.380291005291005,"q90_prob"
"train","Categorical MCEM-MMIL",32,1.09542073107433,0.4375,0.422222222222222,0.409259259259259,"median_prob"
"train","Categorical MCEM-MMIL",32,1.09556577894441,0.375,0.377777777777778,0.371677559912854,"mean_prob"
"train","Categorical MCEM-MMIL",32,1.10334720456633,0.375,0.377777777777778,0.360153256704981,"q99_prob"
"train","Naive inherited-label classifier",32,1.09362485810623,0.4375,0.422222222222222,0.409259259259259,"mean_prob"
"train","Naive inherited-label classifier",32,1.09364396905261,0.40625,0.405555555555556,0.394586894586895,"q99_prob"
"train","Naive inherited-label classifier",32,1.09600963315758,0.34375,0.311111111111111,0.325536062378168,"q90_prob"
"train","Naive inherited-label classifier",32,1.09953242120581,0.375,0.377777777777778,0.365079365079365,"median_prob"
