"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,0.827744264809438,0.75,0.6,0.816666666666667,"mean_prob"
"test","Categorical EM-MMIL",12,0.831400341077851,0.75,0.6,0.816666666666667,"median_prob"
"test","Categorical EM-MMIL",12,0.920916876189587,0.75,0.6,0.816666666666667,"q90_prob"
"test","Categorical EM-MMIL",12,0.972265092982062,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Categorical MCEM-MMIL",12,0.827571673175216,0.75,0.6,0.816666666666667,"mean_prob"
"test","Categorical MCEM-MMIL",12,0.833556150897571,0.75,0.6,0.816666666666667,"median_prob"
"test","Categorical MCEM-MMIL",12,0.922021472437129,0.75,0.6,0.816666666666667,"q90_prob"
"test","Categorical MCEM-MMIL",12,0.972876308433196,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Naive inherited-label classifier",12,0.726175065869065,0.75,0.6,0.816666666666667,"median_prob"
"test","Naive inherited-label classifier",12,0.759597859813232,0.75,0.6,0.816666666666667,"mean_prob"
"test","Naive inherited-label classifier",12,0.854067057529197,0.75,0.6,0.816666666666667,"q90_prob"
"test","Naive inherited-label classifier",12,0.949777140980525,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"train","Categorical EM-MMIL",32,0.557704131631568,0.90625,0.8,0.820749143329789,"median_prob"
"train","Categorical EM-MMIL",32,0.598485160832237,0.875,0.772222222222222,0.796309523809524,"mean_prob"
"train","Categorical EM-MMIL",32,0.720379615042684,0.84375,0.705555555555555,0.707474747474747,"q90_prob"
"train","Categorical EM-MMIL",32,0.877667371333707,0.8125,0.638888888888889,0.894927536231884,"q99_prob"
"train","Categorical MCEM-MMIL",32,0.558904699891474,0.90625,0.8,0.820749143329789,"median_prob"
"train","Categorical MCEM-MMIL",32,0.59855599441421,0.875,0.772222222222222,0.796309523809524,"mean_prob"
"train","Categorical MCEM-MMIL",32,0.719389128519235,0.84375,0.705555555555555,0.707474747474747,"q90_prob"
"train","Categorical MCEM-MMIL",32,0.875058968904934,0.8125,0.638888888888889,0.894927536231884,"q99_prob"
"train","Naive inherited-label classifier",32,0.503732157714162,0.90625,0.8,0.820749143329789,"median_prob"
"train","Naive inherited-label classifier",32,0.562025334709536,0.90625,0.8,0.820749143329789,"mean_prob"
"train","Naive inherited-label classifier",32,0.687168323015807,0.84375,0.705555555555555,0.707474747474747,"q90_prob"
"train","Naive inherited-label classifier",32,0.838832241462767,0.8125,0.677777777777778,0.691919191919192,"q99_prob"
