"iter","delta","mean_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0956451658641109,0.571703290878513,0.719335877901232,0.77425589485891
2,0.0474263081420356,0.413157539696191,0.574351929167505,0.780247390800155
3,0.0249960805899831,0.326498083794057,0.542050856230954,0.785272516428295
4,0.014595220449274,0.277460319788826,0.552947368818213,0.788171627367607
5,0.00906930083698282,0.248209757264781,0.577482389261238,0.79126401236954
6,0.00591297900837413,0.230021757916342,0.603532903930891,0.79377657518361
7,0.00408704545411681,0.218266524629551,0.627181907052942,0.795902589872439
8,0.00304558492924458,0.210415311121001,0.64792008659088,0.797255508310785
9,0.0023802773080818,0.205124043193322,0.665431844331865,0.799574797062234
10,0.00186651854260203,0.201467793400283,0.679716631579596,0.800541167375338
11,0.00151327429250637,0.198904654141789,0.691004897840809,0.801507537688442
12,0.00128233725088472,0.19700134361535,0.699962355749258,0.801700811751063
13,0.00111494147205736,0.195528369229203,0.70719384389208,0.801700811751063
14,0.000949483149110093,0.194443902864477,0.712934515377725,0.801894085813684
15,0.000769237596390033,0.193647916606652,0.717447384831977,0.802860456126788
16,0.000620357613217967,0.193063321371922,0.720931878331252,0.802087359876305
17,0.000510964025800324,0.192592300492242,0.723754716231354,0.801507537688442
18,0.000426207268553753,0.192214360640851,0.726030066647408,0.801894085813684
19,0.000357551431134817,0.191929351929556,0.727790486016165,0.801894085813684
20,0.000305450776001414,0.191702722417229,0.72918101597565,0.802280633938925
21,0.000261367392755305,0.191515409305639,0.730300448233663,0.802473908001546
22,0.000230132222343892,0.191382816328468,0.731125374848508,0.802280633938925
23,0.000203586802288763,0.191259394368962,0.731841838673812,0.802087359876305
24,0.000181110308180807,0.191147483068747,0.732461669841242,0.802087359876305
25,0.00016246963400566,0.191023247215645,0.733088650450045,0.801894085813684
26,0.000144282023719576,0.190921142845143,0.733606623216736,0.801894085813684
27,0.000130284055055845,0.190858126934375,0.733954513056377,0.801894085813684
28,0.000114641764734262,0.190788779354314,0.734301707381773,0.802087359876305
29,0.000103103267249147,0.190727268501981,0.734603173098172,0.801894085813684
30,9.15554374573068e-05,0.190668327943017,0.734881389656031,0.802087359876305
