"iter","delta","mean_entropy","mean_mc_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0953298094638766,0.572731326982569,0.786391897736456,0.720572829293445,0.772323154232702
2,0.0479845641904661,0.413586727597908,0.535659872741836,0.57525682120873,0.779281020487051
3,0.0249812307324559,0.326935139211357,0.38058750296392,0.542657749020153,0.787785079242366
4,0.0147733238410496,0.278048620681485,0.303203412472555,0.552882254048219,0.787978353304986
5,0.00992972545241147,0.246986403181183,0.254691171115373,0.578772709377643,0.793003478933127
6,0.00787340470871292,0.224538914468996,0.223740069401105,0.612608854553822,0.796482412060301
7,0.0052553233295876,0.211724525805253,0.207034478839853,0.641960306897542,0.798028604561268
8,0.00437687944183686,0.202700069671045,0.195002917181096,0.66838308718934,0.80092771550058
9,0.00349671457551889,0.196033262661169,0.186805540837073,0.69380126830417,0.801507537688442
10,0.00280947368706774,0.191344908979384,0.180442224227618,0.712544462914973,0.802860456126788
11,0.00286222628935081,0.187103234124166,0.175717702048851,0.7318142124841,0.802667182064167
12,0.00241754250832059,0.185570130002451,0.172663725278505,0.741808078390549,0.804213374565133
13,0.00212996956448879,0.183317294536593,0.170342072937502,0.751430301963875,0.804793196752996
14,0.00208838062349209,0.181835678674479,0.169125092621165,0.762160782345567,0.803633552377271
15,0.0021217272905293,0.180886290538294,0.167194014389061,0.770702728697864,0.804599922690375
16,0.00206403758326646,0.179478067831451,0.165761643000737,0.779782592719491,0.807305759567066
17,0.00183243714036036,0.178951826746828,0.164703450646257,0.782046337503893,0.805952841128721
18,0.00158232129931473,0.179411255211127,0.166531146837125,0.780252848234778,0.806532663316583
19,0.00191157706680283,0.179077384718395,0.16432131411449,0.784195352965906,0.806146115191341
20,0.00199574758012982,0.179114190963806,0.165506888805067,0.783267092377111,0.804406648627754
21,0.00187023385967957,0.178713836101425,0.164804175408182,0.783220895534626,0.805952841128721
22,0.00182224304849831,0.178832319218086,0.16553269997176,0.782711247368984,0.8057595670661
23,0.00200854433451684,0.177601640810825,0.164112555900593,0.784965586838546,0.805373018940858
24,0.00170720215643494,0.177455080594964,0.164698069194092,0.788942539180275,0.806146115191341
25,0.00159754835160154,0.177311243991085,0.163238932290447,0.789009956889815,0.804020100502513
26,0.00170887058717246,0.177607398001432,0.164048560364629,0.789977771413815,0.805952841128721
27,0.00172185859797943,0.178033024759716,0.164870861140207,0.787197719944921,0.806146115191341
28,0.00187433842135147,0.177934464309981,0.165394822175273,0.789150224998236,0.806146115191341
29,0.00171771169704808,0.177383952790593,0.163029250258986,0.792068520219411,0.805952841128721
30,0.00174510191064953,0.177157928322267,0.164444145260814,0.794954875152,0.8057595670661
