"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.973021623476326,0.999992333970431
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.726279328807189,0.979619499381256
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.68868956421492,0.989517419880577
"test","Categorical EM-MMIL","I","NK cells","I",55,0.671169983387412,0.993947572413994
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.609373720557334,0.947797092251106
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.597273817655048,0.888026099648417
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.562201932676751,0.989718080496834
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.507233391110652,0.972426920887596
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.364649879574896,0.364649879574896
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.255705630711466,0.762708946287762
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.215611901064963,0.738518969493145
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.173605967645342,0.442683630038806
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.168166734316801,0.407369015668564
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.124210334380924,0.407685090068924
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.0710591462799452,0.185657549094837
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.0355243402557735,0.112917511096935
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.00793686436397607,0.0237923979280901
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,1.46025018460398e-05,1.46025018460398e-05
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.635335517923258,0.635335517923258
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.313587732942325,0.999616945927913
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.277154707824385,0.780474519095734
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.257770870332643,0.788902984240506
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.238196330937038,0.75532422342199
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.229120214699611,0.652233195116652
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.222459545125866,0.950986672572395
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.0556048050736139,0.0274181921270692
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.0190415121596981,0.0565594576544409
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.953494665125545,0.953494665125545
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.669363981685787,0.950188630455935
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.620210154718282,0.892328491242192
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.522298108561582,0.960862822436254
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.50084798694003,0.938687050312465
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.411967093421523,0.85770239501408
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.406715253068799,0.666324149997818
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.302912910563809,0.666132926527718
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.28023465601812,0.896030605069144
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.36314161634707,0.7798031518606
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.19259195824489,0.556847516147543
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.0880813497320914,0.365162497521698
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.071856468935442,0.153584311068353
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.0429120927694836,0.105038879525817
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.035980023472653,0.035980023472653
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.0279942637529971,0.0552135747787999
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.0013883321169407,0.00270130841515404
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.000116722202849495,0.000166157801486558
"test","Categorical EM-MMIL","II_III","Epithelial cells","IV",41,0.631683994249788,0.999999659423757
"test","Categorical EM-MMIL","II_III","MAST cells","IV",6,0.565290483178204,0.898781292443283
"test","Categorical EM-MMIL","II_III","NK cells","IV",20,0.497763680943029,0.791456459847335
"test","Categorical EM-MMIL","II_III","T lymphocytes","IV",108,0.405845422502977,0.968725605925201
"test","Categorical EM-MMIL","II_III","Myeloid cells","IV",54,0.395440948333587,0.999780208944191
"test","Categorical EM-MMIL","II_III","Undetermined","IV",2,0.379673123078868,0.65174202400414
"test","Categorical EM-MMIL","II_III","Fibroblasts","IV",3,0.33394547308912,0.780718722593515
"test","Categorical EM-MMIL","II_III","B lymphocytes","IV",35,0.287723925544729,0.731822176310801
"test","Categorical EM-MMIL","II_III","Endothelial cells","IV",1,0.010525311401802,0.010525311401802
"test","Categorical EM-MMIL","IV","B lymphocytes","I",77,0.372519631986486,0.785059498606932
"test","Categorical EM-MMIL","IV","NK cells","I",42,0.257966143261469,0.783247945114497
"test","Categorical EM-MMIL","IV","Fibroblasts","I",5,0.22884788234273,0.622136920326472
"test","Categorical EM-MMIL","IV","T lymphocytes","I",211,0.179958568207233,0.570805028330856
"test","Categorical EM-MMIL","IV","Myeloid cells","I",146,0.0630037327936646,0.183891353555685
"test","Categorical EM-MMIL","IV","Undetermined","I",8,0.0289290361378567,0.0813664178968862
"test","Categorical EM-MMIL","IV","Epithelial cells","I",379,0.00839256378915941,0.0101077386934735
"test","Categorical EM-MMIL","IV","Oligodendrocytes","I",2,5.88069235471726e-05,0.000105152559534075
"test","Categorical EM-MMIL","IV","Oligodendrocytes","II_III",2,0.0190837364385181,0.0343498577971987
"test","Categorical EM-MMIL","IV","Fibroblasts","II_III",5,0.0190189983867232,0.0524455755037763
"test","Categorical EM-MMIL","IV","Myeloid cells","II_III",146,0.00967019394496714,0.0130648016704774
"test","Categorical EM-MMIL","IV","B lymphocytes","II_III",77,0.00945957308778984,0.00809760824944901
